,fiberID,subject,fiber_number,plate_number,plate_position,digestion_batch,MS_batch,date_isolation
1,P3_fibNumberE6,P3,E6,11,G6,6,3,17/11/2021
2,P3_fibNumberE5,P3,E5,11,E4,6,3,17/11/2021
3,P3_fibNumberE4,P3,E4,11,F12,6,3,17/11/2021
4,P3_fibNumberE3,P3,E3,11,H4,6,3,17/11/2021
5,P3_fibNumberE1,P3,E1,11,H2,6,3,17/11/2021
6,P3_fibNumber99,P3,99,2,B9,1,1,12/11/2021
7,P3_fibNumber98,P3,98,10,D1,5,3,12/11/2021
8,P3_fibNumber97,P3,97,11,B4,6,3,12/11/2021
9,P3_fibNumber96,P3,96,9,H9,5,3,12/11/2021
10,P3_fibNumber95,P3,95,4,H11,2,1,12/11/2021
11,P3_fibNumber94,P3,94,11,A10,6,3,12/11/2021
12,P3_fibNumber93,P3,93,6,D11,3,2,12/11/2021
13,P3_fibNumber92,P3,92,7,A9,4,2,12/11/2021
14,P3_fibNumber91,P3,91,3,D1,2,1,12/11/2021
15,P3_fibNumber90,P3,90,4,E11,2,1,12/11/2021
16,P3_fibNumber9,P3,9,1,F1,1,1,10/11/2021
17,P3_fibNumber89,P3,89,5,B2,3,2,12/11/2021
18,P3_fibNumber88,P3,88,7,E4,4,2,12/11/2021
19,P3_fibNumber87,P3,87,1,D9,1,1,12/11/2021
20,P3_fibNumber86,P3,86,4,C7,2,1,12/11/2021
21,P3_fibNumber85,P3,85,11,C7,6,3,12/11/2021
22,P3_fibNumber84,P3,84,1,F3,1,1,12/11/2021
23,P3_fibNumber83,P3,83,9,F1,5,3,12/11/2021
24,P3_fibNumber82,P3,82,2,C12,1,1,12/11/2021
25,P3_fibNumber81,P3,81,4,H7,2,1,12/11/2021
26,P3_fibNumber80,P3,80,5,A3,3,2,12/11/2021
27,P3_fibNumber8,P3,8,6,B8,3,2,10/11/2021
28,P3_fibNumber79,P3,79,8,E1,4,3,12/11/2021
29,P3_fibNumber78,P3,78,3,E10,2,1,12/11/2021
30,P3_fibNumber77,P3,77,5,D10,3,2,12/11/2021
31,P3_fibNumber76,P3,76,7,D5,4,2,12/11/2021
32,P3_fibNumber75,P3,75,3,C2,2,1,12/11/2021
33,P3_fibNumber74,P3,74,5,E8,3,2,12/11/2021
34,P3_fibNumber73,P3,73,3,A5,2,1,12/11/2021
35,P3_fibNumber72,P3,72,4,F10,2,1,12/11/2021
36,P3_fibNumber71,P3,71,4,B5,2,1,12/11/2021
37,P3_fibNumber70,P3,70,3,A11,2,1,12/11/2021
38,P3_fibNumber7,P3,7,6,B4,3,2,10/11/2021
39,P3_fibNumber69,P3,69,8,B9,4,3,12/11/2021
40,P3_fibNumber68,P3,68,2,A8,1,1,12/11/2021
41,P3_fibNumber67,P3,67,2,A4,1,1,11/11/2021
42,P3_fibNumber65,P3,65,4,A6,2,1,11/11/2021
43,P3_fibNumber64,P3,64,4,D2,2,1,11/11/2021
44,P3_fibNumber63,P3,63,4,C3,2,1,11/11/2021
45,P3_fibNumber62,P3,62,5,B12,3,2,11/11/2021
46,P3_fibNumber61,P3,61,9,C12,5,3,11/11/2021
47,P3_fibNumber60,P3,60,9,G10,5,3,11/11/2021
48,P3_fibNumber6,P3,6,2,E4,1,1,10/11/2021
49,P3_fibNumber59,P3,59,4,F6,2,1,11/11/2021
50,P3_fibNumber58,P3,58,8,E12,4,3,11/11/2021
51,P3_fibNumber57,P3,57,10,A2,5,3,11/11/2021
52,P3_fibNumber56,P3,56,3,C9,2,1,11/11/2021
53,P3_fibNumber55,P3,55,9,A8,5,3,11/11/2021
54,P3_fibNumber54,P3,54,7,B4,4,2,11/11/2021
55,P3_fibNumber53,P3,53,6,G11,3,2,11/11/2021
56,P3_fibNumber52,P3,52,2,E2,1,1,11/11/2021
57,P3_fibNumber51,P3,51,2,C8,1,1,11/11/2021
58,P3_fibNumber50,P3,50,9,D4,5,3,11/11/2021
59,P3_fibNumber5,P3,5,8,D4,4,3,10/11/2021
60,P3_fibNumber49,P3,49,7,A5,4,2,11/11/2021
61,P3_fibNumber48,P3,48,7,G8,4,2,11/11/2021
62,P3_fibNumber47,P3,47,4,D9,2,1,11/11/2021
63,P3_fibNumber46,P3,46,7,G1,4,2,10/11/2021
64,P3_fibNumber45,P3,45,3,G1,2,1,10/11/2021
65,P3_fibNumber44,P3,44,1,G5,1,1,10/11/2021
66,P3_fibNumber43,P3,43,1,G1,1,1,10/11/2021
67,P3_fibNumber42,P3,42,3,G4,2,1,10/11/2021
68,P3_fibNumber41,P3,41,4,A2,2,1,10/11/2021
69,P3_fibNumber40,P3,40,8,G9,4,3,10/11/2021
70,P3_fibNumber4,P3,4,8,H9,4,3,10/11/2021
71,P3_fibNumber39,P3,39,4,E7,2,1,10/11/2021
72,P3_fibNumber38,P3,38,9,E9,5,3,10/11/2021
73,P3_fibNumber37,P3,37,9,E6,5,3,10/11/2021
74,P3_fibNumber36,P3,36,1,F7,1,1,10/11/2021
75,P3_fibNumber35,P3,35,5,B6,3,2,10/11/2021
76,P3_fibNumber34,P3,34,2,B2,1,1,10/11/2021
