"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"1","TPPP3",3.28397099764728,12.949748561182,6.66503927462435,6.49342076193194e-05,0.0890615534961434,1.99275301203936,1.77126919971331e-14,"Upregulated (π < 0.05)","TPPP3"
"2","SOD3",1.37853215361734,10.7984925533744,6.57284631009993,7.26736462636829e-05,0.0890615534961434,1.89852195284051,1.97140137337222e-06,"Upregulated (π < 0.05)","SOD3"
"3","HPRT1",1.47112002148447,12.2701107238632,6.09237193379881,0.000132994120544981,0.10865619648525,1.38551421755244,1.98468825075595e-06,"Upregulated (π < 0.05)",""
"4","TKT",1.59741148817163,13.315934620051,5.73039882472102,0.000213941310955681,0.131092538288093,0.973925439724985,1.37394870786459e-06,"Upregulated (π < 0.05)",""
"5","DLAT",-1.17215327234738,13.909287329655,-5.19151534237765,0.000448999789790707,0.160148519285878,0.319683774025379,0.00011910208252139,"Downregulated (π < 0.05)","DLAT"
"6","PEA15",1.50245683274967,8.45622945529267,5.41089009983026,0.000480395118416099,0.160148519285878,0.295927309161527,1.03334447357864e-05,"Upregulated (π < 0.05)",""
"7","AIFM1",-1.38136388191216,14.7921748827474,-5.13461296715118,0.000486727590005793,0.160148519285878,0.247657296768782,2.65421733125049e-05,"Downregulated (π < 0.05)","AIFM1"
"8","NPC2",1.06531200732567,11.570152682402,4.99553920382265,0.00059398571892169,0.160148519285878,0.0692441155403838,0.000365649377297682,"Upregulated (π < 0.05)",""
"9","RRAD",1.08099929408669,10.5259609192039,4.91520777549804,0.000667244848496752,0.160148519285878,-0.0353439723765065,0.000369023968396889,"Upregulated (π < 0.05)",""
"10","CNP",5.40946173859318,10.4084084795505,10.6057956365506,0.000671405739510324,0.160148519285878,-1.36120498810896,6.85010185706911e-18,"Upregulated (π < 0.05)","CNP"
"11","ANXA1",1.81738167078723,13.2408120250288,4.77566014218265,0.00081844221937206,0.160148519285878,-0.219687312307572,2.45313256666839e-06,"Upregulated (π < 0.05)","ANXA1"
"12","SERPINA1",1.64087437602358,17.2047914552488,4.76854855320561,0.000827067820417308,0.160148519285878,-0.229171751939875,8.75129279824758e-06,"Upregulated (π < 0.05)",""
"13","CYFIP1",2.08581723048295,7.20834514659737,4.97345028995586,0.000849420950924688,0.160148519285878,-0.210850588618907,3.93288977907654e-07,"Upregulated (π < 0.05)",""
"14","CKMT2",-1.57041702776474,15.7820318436401,-4.64780635932948,0.000989298118075276,0.160817904298568,-0.391523717107187,1.9116599658101e-05,"Downregulated (π < 0.05)",""
"15","S100A11",1.51041421049267,12.8592802378768,4.56194694153632,0.00112510649353417,0.160817904298568,-0.508481329411052,3.51625980827355e-05,"Upregulated (π < 0.05)","S100A11"
"16","ATP5PD",-1.3692638955045,16.2608216671032,-4.49922193572787,0.00123679112205931,0.160817904298568,-0.594710061290479,0.000104372572008184,"Downregulated (π < 0.05)",""
"17","C12orf57",-1.03534096503402,10.6360446277498,-4.47463021016984,0.00128374070475332,0.160817904298568,-0.62869591480233,0.00101458423497123,"Downregulated (π < 0.05)",""
"18","DPYSL3",1.22849058996841,11.9032585618402,4.45586899262644,0.0013208300971217,0.160817904298568,-0.654691542936899,0.000290393959869471,"Upregulated (π < 0.05)",""
"19","PDHA1",-1.19363649158572,13.4380718829795,-4.41805212640646,0.00139909163227348,0.160817904298568,-0.707267666545833,0.000391902309649996,"Downregulated (π < 0.05)",""
"20","ALB",1.37089892593969,20.5840356220445,4.4033717482683,0.00143078509383732,0.160817904298568,-0.727740987394339,0.000126060785682383,"Upregulated (π < 0.05)",""
"21","PDK2",-1.27907949029173,9.9871136336241,-4.38044869561636,0.00148180550486767,0.160817904298568,-0.759780210849061,0.000240556477152671,"Downregulated (π < 0.05)",""
"22","NDUFS3",-1.6343057262983,13.2887355714254,-4.35553379844227,0.00153945363430636,0.160817904298568,-0.794700668476104,2.53102916777667e-05,"Downregulated (π < 0.05)","NDUFS3"
"23","SLC25A12",-1.78470377462787,13.9753115516971,-4.31429518271107,0.00164015491912829,0.160817904298568,-0.852721523648714,1.07002645745993e-05,"Downregulated (π < 0.05)",""
"24","GSN",1.27068976273644,14.9953944228064,4.29349292225295,0.00169357797432149,0.160817904298568,-0.882093355767149,0.000301072530712187,"Upregulated (π < 0.05)",""
"25","TIMM8A",-1.15395709561137,11.1866395783925,-4.21500506013068,0.00191232559018428,0.160817904298568,-0.993535575324108,0.000729523006396794,"Downregulated (π < 0.05)",""
"26","PGD",0.954444043786667,12.6900093324689,4.17020264262972,0.00205041329735205,0.160817904298568,-1.05758363257675,0.00271833542423733,"Upregulated (π < 0.05)",""
"27","ATP5F1D",-1.29051148237768,11.703097138453,-4.16669634708534,0.00206165576558475,0.160817904298568,-1.06260928755821,0.000341951966906953,"Downregulated (π < 0.05)",""
"28","PPIF",-1.16218326142891,13.1471514545792,-4.1403249981069,0.00214832606992505,0.160817904298568,-1.10046876101908,0.000793252606303852,"Downregulated (π < 0.05)",""
"29","THBS1",-2.76197637075347,9.09465246643298,-5.94973332294382,0.0023731786219302,0.160817904298568,-1.50882171560022,5.63280425843362e-08,"Downregulated (π < 0.05)","THBS1"
"30","CSK",0.866711464396605,9.46237533189188,4.07307348665249,0.00238721922959988,0.160817904298568,-1.19749783684827,0.00533813065300937,"Upregulated (π < 0.05)",""
"31","ANP32A",1.03035746875629,14.5277814862695,4.06492813370642,0.0024180007223548,0.160817904298568,-1.20929614741486,0.00201383918237098,"Upregulated (π < 0.05)",""
"32","TXNDC12",1.16244001176266,14.2632660040651,4.06417255365334,0.00242087720239035,0.160817904298568,-1.21039108666864,0.000909966208482455,"Upregulated (π < 0.05)",""
"33","ATP5PB",-1.15384007273698,12.9212838030793,-4.0582143769185,0.0024436865967287,0.160817904298568,-1.21902829031179,0.00096877347109236,"Downregulated (π < 0.05)",""
"34","PDHB",-1.00778790852651,16.0680942115619,-4.04701415918483,0.00248717893392382,0.160817904298568,-1.23527887957629,0.00237369565711065,"Downregulated (π < 0.05)",""
"35","DPYSL4",1.08073389222054,10.5911082102539,4.03226433450704,0.00254570276325634,0.160817904298568,-1.25670806117411,0.0015716956527823,"Upregulated (π < 0.05)",""
"36","HEXB",0.859908024144429,10.7668558400569,4.02834264964152,0.00256150591780039,0.160817904298568,-1.26241106758466,0.00590941334405046,"Upregulated (π < 0.05)",""
"37","UQCRFS1",-1.08577582885007,15.758966834545,-4.0114475625683,0.00263077824556525,0.160817904298568,-1.28700618098396,0.00158048300211832,"Downregulated (π < 0.05)",""
"38","TFAM",-0.924089122309322,10.225202440509,-4.00584405144127,0.00265418672443989,0.160817904298568,-1.2951727665977,0.00416373513784197,"Downregulated (π < 0.05)",""
"39","FBLN1",1.29901126109596,10.8417656291737,4.00023885511404,0.00267782167120315,0.160817904298568,-1.30334639753642,0.000455679404264364,"Upregulated (π < 0.05)",""
"40","PLIN2",-1.30259499532813,11.123007715253,-3.98447787635542,0.00274547418013241,0.160817904298568,-1.32635393946321,0.000460845973023204,"Downregulated (π < 0.05)",""
"41","TALDO1",1.07617480365429,13.1491142655498,3.97417377146776,0.00279067383162654,0.160817904298568,-1.3414151113368,0.00178293894186468,"Upregulated (π < 0.05)",""
"42","DDAH2",1.20991964737915,10.343089161246,3.96857946405626,0.002815540845497,0.160817904298568,-1.34959854140958,0.000820681703465096,"Upregulated (π < 0.05)",""
"43","ANXA5",1.34671314352528,15.8918630527489,3.96727633097896,0.00282136674208015,0.160817904298568,-1.35150542908626,0.000368553344054439,"Upregulated (π < 0.05)","ANXA5"
"44","NDUFAF5",-0.900998577680038,10.1357600025428,-3.91942275551599,0.00304432694326167,0.169582848589417,-1.42169789269273,0.00540292865507711,"Downregulated (π < 0.05)",""
"45","PDLIM7",-1.75959508775722,13.7790038277693,-3.87306664657356,0.00327801456310324,0.176100516559872,-1.49000082702842,4.25090212849201e-05,"Downregulated (π < 0.05)",""
"46","NDUFA2",-1.34196722764417,13.1420358724002,-3.86793306597715,0.00330502805457124,0.176100516559872,-1.49758312697675,0.000468613023552937,"Downregulated (π < 0.05)",""
"47","PPIA",1.25665882895193,17.1153106645571,3.85211239493303,0.00338975711112518,0.176772227220592,-1.52097291962091,0.000787525346837571,"Upregulated (π < 0.05)",""
"48","HAX1",-0.825250388803168,10.1594892456227,-3.80483088924999,0.00365682592558671,0.182901309527227,-1.591076814323,0.00974879337415598,"Downregulated (π < 0.05)",""
"49","COQ5",-0.938640666612237,12.3306591977152,-3.78962147350903,0.00374735194464577,0.182901309527227,-1.6136908920388,0.00527957703980057,"Downregulated (π < 0.05)",""
"50","CNDP2",1.06078420516096,12.708371323239,3.76964418074587,0.00386983619604392,0.182901309527227,-1.64344005499839,0.00276097448644156,"Upregulated (π < 0.05)",""
"51","CSRP3",1.43413744436682,14.5297309199892,3.74962863248229,0.00399676418437212,0.182901309527227,-1.67329794549286,0.00036351337358552,"Upregulated (π < 0.05)",""
"52","SPCS2",-1.60790290904409,8.504091915051,-3.87380547444886,0.00402167636799357,0.182901309527227,-1.63177524015999,0.000140643361543438,"Downregulated (π < 0.05)",""
"53","ATP5F1C",-0.971771424713882,12.746743558842,-3.72925707335351,0.00413042997389825,0.182901309527227,-1.70373941655759,0.00482272302807913,"Downregulated (π < 0.05)",""
"54","CLIC4",1.04493020595886,11.4023044938608,3.71606849361721,0.00421945147435528,0.182901309527227,-1.72347518167461,0.00330033678114111,"Upregulated (π < 0.05)",""
"55","ARPC2",1.00010888517239,12.3990246359822,3.71447670910005,0.00423033070757685,0.182901309527227,-1.72585864468771,0.00422781394780445,"Upregulated (π < 0.05)",""
"56","ATP5ME",-1.00628487956301,15.2216172324219,-3.70407749971135,0.00430213055704347,0.182901309527227,-1.74143768279559,0.00415730198010545,"Downregulated (π < 0.05)",""
"57","PI16",1.54953599110705,10.1290465503476,3.68911421590426,0.00440768450573385,0.182901309527227,-1.76387759552913,0.000223675997975006,"Upregulated (π < 0.05)",""
"58","DLST",-1.14854029491335,11.8965021606764,-3.65359913121467,0.0046691880715828,0.182901309527227,-1.81724740433839,0.00210392276435655,"Downregulated (π < 0.05)",""
"59","ACSL1",-1.45077138893489,14.79790471917,-3.65220886575109,0.00467974844780896,0.182901309527227,-1.81933968741377,0.000416893835475435,"Downregulated (π < 0.05)",""
"60","TXN2",-0.849552935272833,9.19681106208037,-3.76424049350849,0.00474011683761048,0.182901309527227,-1.78424916411919,0.0106037568933338,"Downregulated (π < 0.05)",""
"61","MRPL49",-0.890471287426215,8.10950183913326,-3.63908188821872,0.00478069743414898,0.182901309527227,-1.83910645246525,0.00858328619258562,"Downregulated (π < 0.05)",""
"62","ACSS1",1.24702335142724,12.9296628566991,3.63123411401097,0.00484213095590762,0.182901309527227,-1.85093342164657,0.0012977364297232,"Upregulated (π < 0.05)",""
"63","CFL1",0.965297636966561,14.9081328176856,3.62245659253378,0.00491181915409121,0.182901309527227,-1.86417008761355,0.00590692849775388,"Upregulated (π < 0.05)",""
"64","NDUFB10",-1.14686816669306,12.6339571148864,-3.61032849627485,0.00500983401476582,0.182901309527227,-1.88247417199449,0.00230144503704896,"Downregulated (π < 0.05)",""
"65","PHKG1",-1.02928821627167,12.1370344705301,-3.59367434121475,0.00514776019730491,0.182901309527227,-1.90763659006835,0.00441159554677157,"Downregulated (π < 0.05)",""
"66","NDUFA5",-0.886150805905407,12.9510585701548,-3.58416653504968,0.00522827041077069,0.182901309527227,-1.92201583184367,0.00950869987218455,"Downregulated (π < 0.05)",""
