Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
TPPP3,3.1234511296843284,13.189479788413884,7.58175538336635,8.135479619682455e-6,0.019476338209519797,3.1524612710013917,1.2671573178823212e-16,Upregulated (FDR < 0.05),TPPP3
ATP5PB,-1.338444168249275,12.687008558662715,-5.1116688468946725,2.895685921424047e-4,0.22572493192849094,0.47895054033172624,1.8376037507509642e-5,Downregulated (π < 0.05),ATP5PB
PI16,1.8558888183173803,10.282152178247902,4.7527797805870176,5.217731728319044e-4,0.22572493192849094,6.096531428498864e-4,8.091165347815501e-7,Upregulated (π < 0.05),PI16
BGN,1.7557706587815485,10.641570211284709,4.741510120539027,5.316637071464485e-4,0.22572493192849094,-0.014782946530921492,1.7822537822440625e-6,Upregulated (π < 0.05),BGN
EIF3C,2.988936022742684,7.882425263048869,5.590518531835929,6.32642073687645e-4,0.22572493192849094,-0.681048301123087,2.7470472398966056e-10,Upregulated (π < 0.05),
AIFM1,-1.4625995114510406,14.884926955715787,-4.56813107572863,7.112800941371928e-4,0.22572493192849094,-0.2543813274425393,2.4876896513122674e-5,Downregulated (π < 0.05),AIFM1
SNX2,1.4904116520722894,9.221012652573384,4.649008605598803,7.886496467597829e-4,0.22572493192849094,-0.323905039098328,2.3718101566446817e-5,Upregulated (π < 0.05),
CKMT2,-1.4686945162872629,15.925649992211145,-4.489469354249997,8.127600048167203e-4,0.22572493192849094,-0.36478762946893717,2.8952002691387416e-5,Downregulated (π < 0.05),CKMT2
TXNRD2,-1.4890747259474386,7.877584134632585,-4.6027728469430365,8.48589969655981e-4,0.22572493192849094,-0.3839834678115954,2.6705558096520477e-5,Downregulated (π < 0.05),TXNRD2
GSN,1.3354338454434753,14.926066491280288,4.284078256398524,0.0011556645953138475,0.2367954138407556,-0.6579043384445846,1.1956558342609555e-4,Upregulated (π < 0.05),
PDK2,-1.333021481299248,9.912938176721843,-4.247473046071777,0.0012311684592459123,0.2367954138407556,-0.7108571857639578,1.3223021326244378e-4,Downregulated (π < 0.05),
SF3B3,-1.8000734964765375,8.75294672273471,-4.424224263333403,0.001437266913173459,0.2367954138407556,-0.872248525997267,7.64466500978901e-6,Downregulated (π < 0.05),
ANXA1,1.548237434053851,13.169103774006905,4.138573612933531,0.0014876540064769814,0.2367954138407556,-0.8696162187224523,4.191424551182744e-5,Upregulated (π < 0.05),ANXA1
ATP5F1C,-1.0717081768305583,12.66028017127954,-4.0963746350083765,0.0016014450732924823,0.2367954138407556,-0.9316170900714749,0.0010093753702626166,Downregulated (π < 0.05),
CSRP3,1.376423554776533,14.80466148781426,4.073377159449937,0.0016672254192751262,0.2367954138407556,-0.9655164217725671,1.5006781217332616e-4,Upregulated (π < 0.05),
LUM,1.6329673887070477,15.51516941186354,3.9744980728107584,0.001983601414948279,0.2367954138407556,-1.112131523772737,3.862168203604092e-5,Upregulated (π < 0.05),
SLC25A12,-1.6424297886822998,13.975416066761566,-3.961691343797101,0.0020289065908075383,0.2367954138407556,-1.1312209583328965,3.778913775551598e-5,Downregulated (π < 0.05),
LACTB,-1.13241838037594,11.551872190341797,-3.956485623380889,0.0020476271854181645,0.2367954138407556,-1.1389869035321531,9.020094428293222e-4,Downregulated (π < 0.05),LACTB
COQ3,-1.2495418373074223,13.493464837944138,-3.9550795605326816,0.0020527141954343434,0.2367954138407556,-1.1410851150970167,4.381693525880024e-4,Downregulated (π < 0.05),
S100A11,1.1734804766875229,12.701105486032427,3.918475219509724,0.0021898480876353676,0.2367954138407556,-1.195802234124418,7.56881237017877e-4,Upregulated (π < 0.05),S100A11
DPYSL3,1.0396382990157633,11.750420005316572,3.873154287540378,0.0023728586224726327,0.2367954138407556,-1.2637953765426246,0.0018673774261719251,Upregulated (π < 0.05),
PDHA1,-1.1224754339813021,13.497223048034277,-3.8527111247905146,0.002460510997018748,0.2367954138407556,-1.294552563680707,0.0011789353852439054,Downregulated (π < 0.05),
HDHD3,-2.263233260861014,10.505270699498727,-4.760777025589459,0.002464628005417797,0.2367954138407556,-1.613476043510341,1.250043045925227e-6,Downregulated (π < 0.05),
ANP32A,1.0897153506789703,14.688185363356023,3.8456749175509546,0.0024914468560360355,0.2367954138407556,-1.3051510121434662,0.0014550347738563772,Upregulated (π < 0.05),
S100A6,1.4035608350701416,15.101284880570406,3.8116753108552843,0.002646684857005589,0.2367954138407556,-1.3564512643544466,2.4132693288808046e-4,Upregulated (π < 0.05),
CYFIP1,2.2796981435922508,6.9341089765061055,4.647439795255888,0.0027950574786421768,0.2367954138407556,-1.6860656045523466,1.5084875080040247e-6,Upregulated (π < 0.05),
MPO,1.358927934288169,8.681046070537702,3.8560428028935734,0.002882075771683617,0.2367954138407556,-1.4427358991312174,3.53120311796497e-4,Upregulated (π < 0.05),
PMM2,1.1536603995496062,10.088345365427221,3.759605799869573,0.002904016123853574,0.2367954138407556,-1.4352908205724182,0.0011834841327641886,Upregulated (π < 0.05),
IDH2,-1.0499733839215537,16.308208773249355,-3.7550295712158577,0.0029278305443723946,0.2367954138407556,-1.4422352783849561,0.0021874627423135035,Downregulated (π < 0.05),
STMN1,1.256217860856081,12.1074011943286,3.7016285561519418,0.0032210519912009017,0.2367954138407556,-1.5234508513384206,7.404610954935708e-4,Upregulated (π < 0.05),
PTGES2,-0.9970723898240976,12.236556468704961,-3.6947348704874905,0.003261046908855647,0.2367954138407556,-1.533958771261342,0.0033161713829610692,Downregulated (π < 0.05),
MAIP1,-2.9172050912026926,9.003436549956396,-4.923523407207112,0.0032900295619206618,0.2367954138407556,-2.0611185377993735,5.7169266065197455e-8,Downregulated (π < 0.05),MAIP1
DLAT,-1.1255400160608868,13.982248514604807,-3.676999773606394,0.0033663023892391607,0.2367954138407556,-1.561016213207183,0.0016470693629138146,Downregulated (π < 0.05),
FAM162A,-1.2185272068363222,10.507659241228517,-3.7548138025137177,0.0034197790367812226,0.2367954138407556,-1.5499895271044055,9.88802433680434e-4,Downregulated (π < 0.05),
TKT,1.310022656135942,13.32347586789752,3.652893265789907,0.0035149942737357277,0.2367954138407556,-1.5978490227513484,6.09685202847322e-4,Upregulated (π < 0.05),
SERPINA1,1.4171921964873349,17.06938948733881,3.645672421468262,0.00356083329083843,0.2367954138407556,-1.6088939874035812,3.389050911074841e-4,Upregulated (π < 0.05),
ACSL1,-1.3722586976454476,14.89346750459258,-3.576787749702993,0.004030196963031397,0.25411250236369126,-1.7145296275707773,5.174735400420085e-4,Downregulated (π < 0.05),
PPIF,-1.382309850897613,13.18480576071341,-3.576328319574956,0.004033531783550655,0.25411250236369126,-1.7152357622812628,4.90134708295723e-4,Downregulated (π < 0.05),
NDUFS3,-1.5750202746277164,13.296764214786718,-3.522101503456371,0.004447675978475522,0.2647080974547649,-1.798721849718965,1.9758865872646387e-4,Downregulated (π < 0.05),
COQ5,-0.9632361498115838,12.382017021089881,-3.514209160122906,0.004511480727432224,0.2647080974547649,-1.8108952638372848,0.005502440656473398,Downregulated (π < 0.05),
ALDH5A1,-1.0612494157435215,12.705533086643685,-3.4990293596273054,0.004636843724749995,0.2647080974547649,-1.8343246360751504,0.0033364141030275186,Downregulated (π < 0.05),
IGHG1,1.1658467843548195,17.330866019251005,3.49817532438645,0.004644001709732718,0.2647080974547649,-1.8356434032161908,0.0019052587864220592,Upregulated (π < 0.05),
ACAD8,-0.8855452150339342,10.691353291047212,-3.471637986067692,0.00487213809807765,0.26961849181362124,-1.876652469481657,0.008961302686968478,Downregulated (π < 0.05),
SLC25A4,-1.2576611197824423,15.012852254666694,-3.4610663863855082,0.004966178930585228,0.26961849181362124,-1.8930056079227713,0.0012658344332016841,Downregulated (π < 0.05),
SNCG,-1.4875838945249065,9.560780413156234,-3.6181944193940767,0.005068016763413933,0.26961849181362124,-2.0020552030827568,3.852601035504071e-4,Downregulated (π < 0.05),
MAPK1IP1L,1.2399662580171684,8.004181730560243,3.495307500747056,0.005328252173692859,0.2714151756502178,-1.9436604532328539,0.001517196476077367,Upregulated (π < 0.05),
THBS1,-2.617156316421834,9.024703874267246,-4.417115006100038,0.0053995743983165,0.2714151756502178,-2.2971103813818434,1.1620649954503554e-6,Downregulated (π < 0.05),
OXSM,-1.8859197477527232,7.868275238756252,-3.8502634230343475,0.00544190828371364,0.2714151756502178,-2.087599345971721,5.367950572834905e-5,Downregulated (π < 0.05),
NDUFA5,-1.129449144009227,12.980709825394792,-3.3677236553733945,0.005881236652352342,0.28281885605369783,-2.0377744271535705,0.003025020219414744,Downregulated (π < 0.05),
TF,1.0938567724944903,17.05816807871737,3.3544912742535162,0.006024195172899452,0.28281885605369783,-2.058347884458751,0.003728443123884773,Upregulated (π < 0.05),
DECR1,-0.8929431466815245,16.503522641647706,-3.3232904735169675,0.0063754324805376196,0.28281885605369783,-2.1069034478575093,0.010953475444167186,Downregulated (π < 0.05),
CNDP2,0.887512507989074,12.62439064918867,3.3187099324266134,0.006428721381458437,0.28281885605369783,-2.1140369412390316,0.011341830956689747,Upregulated (π < 0.05),
DDAH2,1.1367057621295142,10.251157229268149,3.316018199085698,0.006460247187534208,0.28281885605369783,-2.118229497235746,0.00324263133284121,Upregulated (π < 0.05),
DLST,-0.9960415932616193,11.880341182357915,-3.309205119883815,0.0065407460633637084,0.28281885605369783,-2.1288432619738784,0.006672274793642587,Downregulated (π < 0.05),
IGKV3D-20,1.6624125767275277,12.744448404123021,3.3070967605580237,0.006565862861567068,0.28281885605369783,-2.1321283285799413,2.352006131417278e-4,Upregulated (π < 0.05),
SLC25A3,-0.8605855601233401,10.558063339573009,-3.369972539183177,0.006615645755642055,0.28281885605369783,-2.1133731177656245,0.013317292612772183,Downregulated (π < 0.05),
PEF1,1.4993136154174866,8.517505040430231,3.6898202998735834,0.006785855405271774,0.28469517372255754,-2.0959108856517226,5.60912676653321e-4,Upregulated (π < 0.05),
NPC2,0.9073164868803509,11.526784516846117,3.27361934092186,0.006978057182179129,0.28469517372255754,-2.184323853467709,0.01105566278366797,Upregulated (π < 0.05),
YWHAZ,0.9502852173405802,12.340984164571994,3.270615914776284,0.00701629709675476,0.28469517372255754,-2.1890095711372375,0.008978178685201938,Upregulated (π < 0.05),
DPYSL4,1.0263795724373441,10.429287031368125,3.2533127508111352,0.007240777738954613,0.28890703178428906,-2.216013739991572,0.006358098705576033,Upregulated (π < 0.05),
LDHB,1.5102574758546172,16.01528335627303,3.2231610517739093,0.007649483278666833,0.29737420663681613,-2.263104910936064,6.364137538074566e-4,Upregulated (π < 0.05),
SLC16A1,-0.8798854166125345,9.424923855642882,-3.2823887160253316,0.007701420556174854,0.29737420663681613,-2.2437347163284755,0.013817341864796315,Downregulated (π < 0.05),
CP,1.0289832650236548,13.02333367781774,3.210460818453328,0.00782855353831421,0.29748503445593993,-2.282952588952276,0.00680195163290126,Upregulated (π < 0.05),
ANXA5,1.2047456875494262,15.605190278325816,3.1978822231796507,0.008010089606022602,0.29962741432528295,-2.3026168728537995,0.002981371992262431,Upregulated (π < 0.05),
MYL4,-2.1607254431079266,11.667613314494728,-3.237118031233596,0.008332522239622324,0.30689320371778217,-2.3113591723876805,3.2163910251197784e-5,Downregulated (π < 0.05),
FUNDC2,-1.0137295182684358,11.491775547336653,-3.1638595154802203,0.008522725162784166,0.3091424854500802,-2.3558356189061844,0.007983003564931434,Downregulated (π < 0.05),
PDHB,-1.0639594602422289,16.11972966151045,-3.1433826009694377,0.00884710734886333,0.3161190297489375,-2.387885127754641,0.006538525414350429,Downregulated (π < 0.05),
FAM136A,-1.047720215503567,10.749292454558594,-3.128266628216152,0.009094533245404254,0.317087642730943,-2.4115520688601992,0.007267298122347919,Downregulated (π < 0.05),
SOD3,1.1443122180491745,10.808446753614765,3.1255869989491445,0.009139117522320411,0.317087642730943,-2.4157482030304016,0.004641280682971091,Upregulated (π < 0.05),SOD3
C12orf57,-1.0394410533276126,10.799152175495086,-3.1049640623739423,0.009489701585988063,0.3238383970542643,-2.448048543518835,0.007897202347826442,Downregulated (π < 0.05),
APOO,-1.3304611213358903,11.645595229454917,-3.0983930283033736,0.009604229820740504,0.3238383970542643,-2.4583424134854766,0.0020689255059698443,Downregulated (π < 0.05),
TNNT1,1.9396792247427115,12.633379825258277,3.064555590556861,0.010216399739532112,0.3396952913394427,-2.5113638419097106,1.3761838280355217e-4,Upregulated (π < 0.05),
S100A7,0.9394974487672059,13.053206596937274,3.0483931464019767,0.010522505913473432,0.34106845185798507,-2.5366958637334154,0.013860727142058347,Upregulated (π < 0.05),
ANXA2,0.8644568770822811,15.417542824638732,3.04734700681754,0.010542633850246822,0.34106845185798507,-2.538335629254033,0.019540009634745205,Upregulated (π < 0.05),
IGKC,1.122563623196351,15.167574423164693,3.023181814485525,0.011018496112417911,0.34417219097619234,-2.5762161067375833,0.006340999820199136,Upregulated (π < 0.05),
SDCBP,1.705335819598023,11.868869722571212,2.9982477972014165,0.011532110924492281,0.34417219097619234,-2.6153054421077075,4.953403126498666e-4,Upregulated (π < 0.05),
ACAT1,-0.8305067594863722,16.73441512218247,-2.9826278265255906,0.011866027406379025,0.34417219097619234,-2.6397935095092024,0.025159243247280826,Downregulated (π < 0.05),
HPRT1,1.0530784871095662,12.028019506846986,2.9799574880734734,0.011924074758025045,0.34417219097619234,-2.6439798693796535,0.009425930274961098,Upregulated (π < 0.05),
ECSIT,-0.7802950340203889,8.756289637571602,-3.0290241002666987,0.011985807761294738,0.34417219097619234,-2.6238528674642394,0.03168061776142033,Downregulated (π < 0.05),
