"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"1","HMGCS2",2.09084975743721,11.4254922206367,5.81256642196686,0.000191756581752039,0.466352006820959,-0.486348624079794,1.68962109584383e-08,"Upregulated (π < 0.05)","HMGCS2"
"2","SKIC8",-2.06390572889015,10.5622832076189,-5.03803646156076,0.000558751536953113,0.575235282220109,-1.00109979817514,1.93448828293132e-07,"Downregulated (π < 0.05)","SKIC8"
"3","TMED9",1.38502990831363,9.05702346478462,4.79221809932935,0.00079872867916501,0.575235282220109,-1.18573236848966,5.12543059172979e-05,"Upregulated (π < 0.05)","TMED9"
"4","EIF2B2",-1.85981552795953,10.1516073950481,-4.37673897115692,0.00149024205207351,0.575235282220109,-1.52273065896781,5.53068761955181e-06,"Downregulated (π < 0.05)","EIF2B2"
"5","PARVB",0.991685485827794,9.79810455501747,4.34302384473801,0.00156929108456721,0.575235282220109,-1.55147933751705,0.00165584572203398,"Upregulated (π < 0.05)",""
"6","UBE2G1",-1.27885932238325,9.83737147227861,-4.31806904224779,0.00210103104879859,0.575235282220109,-1.94129343250797,0.000376502447275042,"Downregulated (π < 0.05)","UBE2G1"
"7","BST1",1.46249868501773,9.6770170181266,4.26680338325408,0.0022612314894014,0.575235282220109,-1.97718226439433,0.000135124181923428,"Upregulated (π < 0.05)",""
"8","TNNT1",-3.75829939533762,15.1149164499385,-4.09523908104648,0.00230552800217131,0.575235282220109,-1.76927321551591,1.22603140302347e-10,"Downregulated (π < 0.05)","TNNT1"
"9","LRRC59",0.973192376019588,9.40293592798445,4.08663642310286,0.00233687751496541,0.575235282220109,-1.7770402104242,0.00274901157127159,"Upregulated (π < 0.05)",""
"10","TMUB1",-0.875381205833536,9.47398802691267,-3.98945201168071,0.0027239310439804,0.575235282220109,-1.86573726874168,0.0056861574007872,"Downregulated (π < 0.05)",""
"11","PDLIM1",-1.51318839046552,13.1985545228754,-3.93582767828918,0.00296587653301886,0.575235282220109,-1.91542496151155,0.00014958614471412,"Downregulated (π < 0.05)",""
"12","THBS1",2.20893684576149,9.09465246643298,5.49452570270767,0.00331278486464648,0.575235282220109,-2.99679329737348,3.32861420855748e-06,"Upregulated (π < 0.05)","THBS1"
"13","OGN",1.83126796382738,13.5613727251786,3.74344187168903,0.00403687280427211,0.575235282220109,-2.09799721042655,4.1307320270636e-05,"Upregulated (π < 0.05)","OGN"
"14","COL6A6",1.69298572714737,9.0080262849002,3.74038643974811,0.00405683619940477,0.575235282220109,-2.10095044533316,8.92679434071543e-05,"Upregulated (π < 0.05)","COL6A6"
"15","FIS1",-0.809487675165151,11.508754449233,-3.69350647753075,0.00437642297152413,0.575235282220109,-2.14646938214075,0.0123172891657033,"Downregulated (π < 0.05)",""
"16","STK38",-1.05233186964189,8.76917795308807,-3.69247914164234,0.00438371413247961,0.575235282220109,-2.14747122701765,0.00329940342019513,"Downregulated (π < 0.05)",""
"17","PITPNB",-1.03771617077926,9.92601174131916,-3.68533400420104,0.00443477658896659,0.575235282220109,-2.1544441941604,0.00361510369597082,"Downregulated (π < 0.05)",""
"18","HSD17B10",-1.40328379019756,8.43440458663296,-3.59253897113074,0.0051573060004066,0.575235282220109,-2.24580913934064,0.000616424848651004,"Downregulated (π < 0.05)",""
"19","SPCS2",1.70612838558266,8.504091915051,3.67650101062646,0.005413203832634,0.575235282220109,-2.42478428638479,0.000135825771826334,"Upregulated (π < 0.05)",""
"20","ME1",-0.797688643399487,14.4568476475651,-3.52250971571255,0.00578320626838511,0.575235282220109,-2.31573356873352,0.0164023989981547,"Downregulated (π < 0.05)",""
"21","TRIM63",-0.90243522152308,9.60804344693271,-3.48933071140117,0.0061068530914032,0.575235282220109,-2.34914920810504,0.0100425430095635,"Downregulated (π < 0.05)",""
"22","CRYM",-2.35008062770955,12.8411808118706,-3.47847936524531,0.00621674109357983,0.575235282220109,-2.36011732540139,6.52671479072954e-06,"Downregulated (π < 0.05)",""
"23","DNAJA2",-0.747533893813948,13.5583468069627,-3.4452947309353,0.00656570585191686,0.575235282220109,-2.39377823923652,0.0233530646918405,"Downregulated (π < 0.05)",""
"24","TMEM258",0.831547404607839,9.38526312251947,3.5350283166375,0.00671962323497107,0.575235282220109,-2.54146117430906,0.015607534719655,"Upregulated (π < 0.05)",""
"25","EMC4",1.36505629493232,8.12713232632405,3.66596504845592,0.00678817068942069,0.575235282220109,-2.55840075739631,0.00109703491035245,"Upregulated (π < 0.05)",""
"26","SNRNP70",0.924730419595816,9.88099896750875,3.39780524705831,0.00710081161207946,0.575235282220109,-2.44225763035343,0.0103047897850588,"Upregulated (π < 0.05)",""
"27","DNAJA4",-1.10017663001648,10.0234805604573,-3.39501984390939,0.00713356693308209,0.575235282220109,-2.44511222036114,0.00434768673387513,"Downregulated (π < 0.05)",""
"28","UGDH",-1.58965110351366,14.7711934397926,-3.38196473085888,0.00728918821129881,0.575235282220109,-2.45850787264221,0.000400318420706708,"Downregulated (π < 0.05)","UGDH"
"29","ZER1",-1.1582902787998,10.0719917192103,-3.33907296549942,0.00782566268208234,0.575235282220109,-2.50270527183302,0.00363149955732259,"Downregulated (π < 0.05)",""
"30","FEZ2",-0.72909776885832,10.3712033993013,-3.2897469958057,0.00849337707588645,0.575235282220109,-2.55388013767315,0.0309098675625824,"Downregulated (π < 0.05)",""
"31","PPT1",-0.985661231346397,9.16046569688618,-3.27133320169268,0.0087574760006111,0.575235282220109,-2.5730773710488,0.00937308829147919,"Downregulated (π < 0.05)",""
"32","PREB",-0.887888240904657,8.7967087611243,-3.35235301183812,0.00891566567851844,0.575235282220109,-2.69734586184495,0.0151344150858845,"Downregulated (π < 0.05)",""
"33","MFAP4",2.94903019330984,8.12588780199579,3.45860207089216,0.00911655415597579,0.575235282220109,-3.01795423993195,9.62673867224955e-07,"Upregulated (π < 0.05)","MFAP4"
"34","NRDC",2.89779942070539,9.09789825365838,3.8330332474156,0.00953156912811315,0.575235282220109,-3.38563219346429,1.39323307084948e-06,"Upregulated (π < 0.05)",""
"35","IGHA1",-1.12088806964516,13.0589676088905,-3.19645528429896,0.00992164403109757,0.575235282220109,-2.65164740216337,0.00568060386643511,"Downregulated (π < 0.05)",""
"36","COPZ1",-0.707280264921939,9.53353133273723,-3.19237590963657,0.00998946849042976,0.575235282220109,-2.65595074585292,0.0384694347900774,"Downregulated (π < 0.05)",""
"37","DHRS7B",-0.919453440415698,9.37443154059651,-3.18297275583355,0.0101476285046593,0.575235282220109,-2.66587894638485,0.0146874038145186,"Downregulated (π < 0.05)",""
"38","KCNC1",-0.811029523573218,10.1521677071955,-3.26394405790526,0.0102372419308551,0.575235282220109,-2.77483792565633,0.0243332231905148,"Downregulated (π < 0.05)",""
"39","SKIC2",-0.653929621724014,11.5765845680552,-3.1474016155483,0.0107695748882957,0.575235282220109,-2.70354573932116,0.0516649899300608,"not signifficant",""
"40","AKAP12",-0.723006174752644,10.7132386606116,-3.14228452332174,0.0108622119399755,0.575235282220109,-2.70897835348065,0.0380151565412793,"Downregulated (π < 0.05)",""
"41","VWA1",-1.63567275350608,10.1694914409022,-3.21086563107816,0.0111274694856621,0.575235282220109,-2.8219822354397,0.000637593439829308,"Downregulated (π < 0.05)",""
"42","MYL2",-3.1466253876626,17.3865607094516,-3.11344934249848,0.0113997246600185,0.575235282220109,-2.7396562951074,7.6873112963431e-07,"Downregulated (π < 0.05)",""
"43","IGHG2",-1.09279050545217,12.6405548117022,-3.10981226242697,0.0114694330674865,0.575235282220109,-2.74353353568991,0.00757680077748571,"Downregulated (π < 0.05)",""
