Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
COPZ1,-3.074438900089608,10.39890782129019,-6.106633354859272,3.8569514087867334e-4,0.5335262953943983,-3.789987418617932,3.196069930518119e-11,Downregulated (π < 0.05),COPZ1
PSME3,-1.4432879163189725,10.009586666121486,-4.653401634254003,8.072934489966596e-4,0.5335262953943983,-3.10767861154153,3.435230119330577e-5,Downregulated (π < 0.05),PSME3
ATP5MF,1.3873148355373282,11.964288400917113,4.147647407570291,0.0018161510556589737,0.5335262953943983,-3.2625901171519622,1.5760894520488612e-4,Upregulated (π < 0.05),ATP5MF
RCN3,-3.0378252606724043,9.246628635141168,-4.675471737094033,0.00193813408234093,0.5335262953943983,-3.899438202513964,5.7483875760293e-9,Downregulated (π < 0.05),RCN3
CSRP3,-1.4681158245694785,14.65137436650154,-3.890929500875989,0.0027762365311563585,0.5335262953943983,-3.350813372126482,1.7648100955261126e-4,Downregulated (π < 0.05),
MIEN1,-1.4064169921662248,10.98753247298764,-3.7985225505296816,0.003240723773772734,0.5335262953943983,-3.3842233280365726,3.154457136235817e-4,Downregulated (π < 0.05),
DNM1L,-1.317405735130757,10.322375532281024,-3.7703481342091956,0.003397901296732893,0.5335262953943983,-3.394586192981496,5.59246011389819e-4,Downregulated (π < 0.05),
EIF2B2,-1.6208075452024833,10.409335697316116,-3.8396691205560733,0.0036383083350701247,0.5335262953943983,-3.603891715275477,1.1134930439151191e-4,Downregulated (π < 0.05),
PCYT1A,-1.1330112677661681,10.337012476255504,-3.7008605605760625,0.0038203480217475325,0.5335262953943983,-3.4204981585292007,0.0018217776621954464,Downregulated (π < 0.05),
TOLLIP,-1.156287198219209,10.242150658106112,-3.6993040256180394,0.0038304123082066794,0.5335262953943983,-3.421084363111722,0.0016052317402060305,Downregulated (π < 0.05),
UGDH,-1.8298394809140923,14.829250103831873,-3.692553218912894,0.003874381207275211,0.5335262953943983,-3.423629705244273,3.861868122432193e-5,Downregulated (π < 0.05),UGDH
ABLIM1,-1.1593392329465697,11.033001609549306,-3.6840899946152956,0.00393024389684075,0.5335262953943983,-3.426827429311827,0.0016259835615281034,Downregulated (π < 0.05),
RBP1,-1.0836232219095354,12.007330627470857,-3.5816863274374318,0.0046762914561339405,0.5335262953943983,-3.4661128864268465,0.0029857348227121097,Downregulated (π < 0.05),
GBE1,-1.4110110617290985,11.445404514347983,-3.5814992060005535,0.0046777813731248685,0.5335262953943983,-3.4661856760274126,5.157040641613507e-4,Downregulated (π < 0.05),
MAP3K20,-1.0757401743707629,11.123787123691567,-3.4977444064295264,0.005396490016886095,0.5335262953943983,-3.4991330593583165,0.003633633311422685,Downregulated (π < 0.05),
NDUFA11,1.3768884410190037,12.020744977802542,3.5700926829403774,0.005588888869526392,0.5335262953943983,-3.6807744855979307,7.912586740312693e-4,Upregulated (π < 0.05),NDUFA11
PAK1,-1.1224885103677078,9.77213492883982,-3.475196790199959,0.005608804217542506,0.5335262953943983,-3.508127744961519,0.002972574546515817,Downregulated (π < 0.05),
VPS37C,-1.0891128706669377,9.845634692414588,-3.548925889781251,0.005782584598368412,0.5335262953943983,-3.6870894911102567,0.003653408727748213,Downregulated (π < 0.05),
PIN4,-1.124746066140201,9.25111958256703,-3.4322527315755145,0.006037313669717429,0.5335262953943983,-3.5254050690581202,0.0031916313825643247,Downregulated (π < 0.05),
CYB5A,-1.6652872794049607,10.267966675840569,-3.521830224600929,0.0060408076890165275,0.5335262953943983,-3.6952331068484217,2.0178354427247125e-4,Downregulated (π < 0.05),
ACAA1,1.9182208402974794,11.002882232280436,3.6313662207175397,0.006105398722095984,0.5335262953943983,-3.985162507221782,5.656014429469215e-5,Upregulated (π < 0.05),
MAT2B,-1.025674157145918,11.236313711634963,-3.370149703948381,0.006717427028954944,0.5335262953943983,-3.550727950706591,0.005907697163561143,Downregulated (π < 0.05),
TUBB,-0.9703457849563559,13.824185216774437,-3.333151659370272,0.0071595577213651364,0.5335262953943983,-3.566002711420672,0.008288918334991366,Downregulated (π < 0.05),
RPL23,1.5105502623937603,8.785079592083223,3.524160557317548,0.007173087318338228,0.5335262953943983,-4.004173738630813,5.76681890124533e-4,Upregulated (π < 0.05),RPL23
NEDD4L,-1.4184568530927804,8.434322302326024,-3.5164906054606937,0.0072566836248381195,0.5335262953943983,-4.005561881934865,9.23739306603128e-4,Downregulated (π < 0.05),
ROCK2,-1.2927873211695644,10.432747661820464,-3.3243892601309466,0.007268575279196998,0.5335262953943983,-3.5696408113072753,0.0017191301615061317,Downregulated (π < 0.05),
EPS15L1,-0.985995909941801,10.417207703476826,-3.3933375419583727,0.007439431428602693,0.5335262953943983,-3.734768283780284,0.007967955394671898,Downregulated (π < 0.05),
MBP,2.6155117259998626,10.601818512033372,3.8346647917190966,0.00754304375293545,0.5335262953943983,-4.1034592649295085,2.8099482037819897e-6,Upregulated (π < 0.05),MBP
DNAJA4,-1.0226217333853889,10.297865860499742,-3.2860954260873414,0.007765348117613893,0.5335262953943983,-3.585631955151653,0.006957171557977182,Downregulated (π < 0.05),
AGK,-2.315032457871819,7.966616241747,-3.582525559514355,0.008093869722544906,0.5335262953943983,-4.088221277380652,1.4365267874646429e-5,Downregulated (π < 0.05),
LRRC14B,-1.9086415384276272,12.165022067057084,-3.329806165234115,0.00825148702685091,0.5335262953943983,-3.7548763995488645,1.055375124238294e-4,Downregulated (π < 0.05),
RBBP7,-0.8750539836241025,11.53352757864207,-3.250435759036991,0.00825921493021261,0.5335262953943983,-3.6006566663251265,0.015038654113678112,Downregulated (π < 0.05),
PFKFB1,-1.163441208601653,8.406339491565399,-3.3450693731772465,0.009419452078625051,0.5335262953943983,-3.8971939904028465,0.0043943833768682215,Downregulated (π < 0.05),
PFDN2,-1.0011275409478628,10.460234928978906,-3.1723051251127665,0.009456656699225408,0.5335262953943983,-3.6340211574125565,0.009407087521068468,Downregulated (π < 0.05),
LDHB,-1.4615154965157124,16.180261299360136,-3.1633777690861153,0.009604318142313146,0.5335262953943983,-3.6378719617575426,0.0011254950258229896,Downregulated (π < 0.05),
IGHG2,-1.3778628179754353,12.678130180866027,-3.1568831908284034,0.009713215728865306,0.5335262953943983,-3.6406783096592106,0.00168601859096771,Downregulated (π < 0.05),
MYBPC2,1.0652645916332126,11.083700345095918,3.1344085695061836,0.010099863018724889,0.5335262953943983,-3.650421586157388,0.007482865664048648,Upregulated (π < 0.05),
TPPP3,-1.7258109623087865,12.826443392522664,-3.1318465579842636,0.010144923195860012,0.5335262953943983,-3.65153540586478,3.6237836391008165e-4,Downregulated (π < 0.05),TPPP3
ALDH7A1,-0.9411992535721492,11.981556023801378,-3.108150219315555,0.010571512193417905,0.5335262953943983,-3.6618674258247355,0.013813996051302332,Downregulated (π < 0.05),
NPC2,-1.3633026916033018,11.40075539796832,-3.0976622874984163,0.010766102051738056,0.5335262953943983,-3.6664576598613747,0.0020753915561933906,Downregulated (π < 0.05),
TNNC2,1.1382140308176218,14.93972156843893,3.0750163204606062,0.011198780268513486,0.5335262953943983,-3.6764050604583733,0.006019199609251057,Upregulated (π < 0.05),
EIF4EBP2,-1.0420283138342548,8.90234260665099,-3.1261536131417507,0.011530456273078313,0.5335262953943983,-3.8218249294176734,0.009558487340710572,Downregulated (π < 0.05),
MYH13,-1.933973660972784,11.143842178646263,-3.0517995734578847,0.011660714332968568,0.5335262953943983,-3.6866538703248475,1.8243046803469943e-4,Downregulated (π < 0.05),
NOL3,-1.1924654518477578,11.90765979708063,-3.014234883311067,0.01244943869741976,0.5335262953943983,-3.703343897359503,0.005352194790710148,Downregulated (π < 0.05),
SKIC2,-1.2363877243717614,11.478189688072368,-3.0131936538403425,0.01247205473958201,0.5335262953943983,-3.703808391406713,0.004424264949262156,Downregulated (π < 0.05),
ANKRD2,-0.9958219512052136,11.834906200155977,-3.0010221107376642,0.012739533261393805,0.5335262953943983,-3.7092455776607047,0.01297389199203597,Downregulated (π < 0.05),
PSMB6,-0.8965318782756526,11.670069988139185,-2.9978757008731787,0.012809617734781445,0.5335262953943983,-3.7106533444197134,0.020106933781321307,Downregulated (π < 0.05),
RCN1,-1.0808190645117683,11.867132994903908,-2.983850728124305,0.01312679270083837,0.5335262953943983,-3.7169394612573776,0.009248471605966415,Downregulated (π < 0.05),
DNAJC7,-1.413715996363317,8.480479112479138,-2.973364302613215,0.013369124075495151,0.5335262953943983,-3.721651323531211,0.0022430645430655534,Downregulated (π < 0.05),
ATOX1,-1.1757167499266714,12.800692641896761,-2.9664879295740496,0.01353048106788042,0.5335262953943983,-3.724746512443269,0.006352631642424652,Downregulated (π < 0.05),
CAND2,-0.9582453024717097,11.269005662831301,-2.9601051730130568,0.013682016159767418,0.5335262953943983,-3.7276233482909076,0.016367207482732262,Downregulated (π < 0.05),
CTBP1,-0.9316954989013464,9.621554094986466,-2.954331299980241,0.013820572271715709,0.5335262953943983,-3.7302289166866567,0.018515543657415045,Downregulated (π < 0.05),
HEXB,-0.9717723865971504,10.579410290046111,-2.9536737794303125,0.013836440475432489,0.5335262953943983,-3.730525825606964,0.01561344810953128,Downregulated (π < 0.05),
SCRN3,-0.8618648530661375,9.247727716653117,-2.9265235665268285,0.014507983310645048,0.5335262953943983,-3.742819523649813,0.026034768958879583,Downregulated (π < 0.05),
TMEM143,1.018938240278409,11.247224394278597,2.9767151318603746,0.014769859501013042,0.5335262953943983,-3.873329521765844,0.013636646226487418,Upregulated (π < 0.05),
TMUB1,-1.4384266487849278,9.466502690485862,-3.0482861658854765,0.01491322545196075,0.5335262953943983,-3.974011894757702,0.0023594821353038176,Downregulated (π < 0.05),
CDC37,-1.096810389701906,11.72046968001063,-2.8975926820648836,0.015259803379954502,0.5335262953943983,-3.7559913439119548,0.01017882394162231,Downregulated (π < 0.05),
CHCHD10,-1.2368958450518637,14.380393630178187,-2.8926732091801672,0.015391495842353492,0.5335262953943983,-3.7582383923384315,0.005726050706797447,Downregulated (π < 0.05),
AARS1,-0.8853970921760865,11.14697027626172,-2.890074824717517,0.015461514922691816,0.5335262953943983,-3.759426094023658,0.024932683556625937,Downregulated (π < 0.05),
MYL6B,-1.7144020672055973,17.752225611093767,-2.888799929660419,0.01549598692157532,0.5335262953943983,-3.760009052712258,7.894200014583756e-4,Downregulated (π < 0.05),
IAH1,-0.9250727948230963,10.884766453994533,-2.8853489030695534,0.015589688243326957,0.5335262953943983,-3.7615877749502915,0.021293304813335075,Downregulated (π < 0.05),
LGALSL,-1.0412206304188878,10.20992496992782,-2.877480375035341,0.015805470574720516,0.5335262953943983,-3.7651911888491645,0.013321745646131243,Downregulated (π < 0.05),
HSPA4L,-1.605528849688481,8.55478322774879,-3.006958034144182,0.015909694481144675,0.5335262953943983,-4.106421650141102,0.0012963318824524513,Downregulated (π < 0.05),
IGHA1,-1.3995568889795074,13.047467317342207,-2.8593363579898314,0.01631456613453001,0.5335262953943983,-3.773520513915585,0.0031506326388097716,Downregulated (π < 0.05),
ATP6V1E1,-0.9830017750005613,9.634717398199491,-2.8555948266278803,0.01642158185553437,0.5335262953943983,-3.775241613582005,0.017609611185360245,Downregulated (π < 0.05),
HSP90AB1,-0.866419529989777,15.255019085869307,-2.852881669730827,0.016499624957327923,0.5335262953943983,-3.776490403365679,0.0285485939636688,Downregulated (π < 0.05),
NDUFAF4,1.3234474197864632,10.053529165797364,2.90351720265938,0.016682753285768452,0.5335262953943983,-3.8992707873960972,0.004438792162647734,Upregulated (π < 0.05),
IGKV3D-20,-1.774240124365427,12.722168187348053,-2.821268656113239,0.01743689630794713,0.5335262953943983,-3.7910864852192905,7.584798854592429e-4,Downregulated (π < 0.05),
PDLIM3,-0.8030433433659603,15.311806957314523,-2.8206630032334425,0.017455365260826475,0.5335262953943983,-3.7913669331058797,0.03874295471559215,Downregulated (π < 0.05),
GPT,-1.3594236788986063,13.533153240447533,-2.8180905231698126,0.017534030162993736,0.5335262953943983,-3.792558458246938,0.00409912599146614,Downregulated (π < 0.05),
TRIM63,-1.2090360990551652,9.776998249008292,-2.817108180292831,0.017564163364377997,0.5335262953943983,-3.7930136050196657,0.007545555907990867,Downregulated (π < 0.05),
ITGB1BP2,-1.2836355353490632,10.464523560085444,-2.8057657702633656,0.017915874514205555,0.5335262953943983,-3.7982745907309274,0.0057252471639768765,Downregulated (π < 0.05),
PC,2.2800841452618545,9.679120804796547,2.9256746269772784,0.018075761334893782,0.5335262953943983,-4.124108549598095,1.0617776696111237e-4,Upregulated (π < 0.05),
SLK,-0.8160336464167681,10.742299252789005,-2.791128444804113,0.01838021042469521,0.5335262953943983,-3.8050793478476472,0.038339954446397796,Downregulated (π < 0.05),
CHMP4B,-1.2648136336461873,7.957188002920744,-2.877256876691363,0.019508630437968317,0.5335262953943983,-4.134851932652687,0.006877894709174126,Downregulated (π < 0.05),
MAPK14,-1.088787643537481,11.41904313154477,-2.7560388413754655,0.019543012852484797,0.5335262953943983,-3.8214620215638213,0.013780109916100536,Downregulated (π < 0.05),
GALM,-1.118481100626667,9.623484441033584,-2.753960869881217,0.01961413631780045,0.5335262953943983,-3.8224352326622504,0.012310364369175507,Downregulated (π < 0.05),
FAM3C,-1.4296876626237065,7.59528005315171,-3.0789512031476156,0.019850191896252055,0.5335262953943983,-4.1983808590905145,0.003684132204124247,Downregulated (π < 0.05),
NEK7,-0.7861329566505955,10.57034383641995,-2.7440735706777883,0.01995611243012374,0.5335262953943983,-3.827070515927732,0.04609286189754629,Downregulated (π < 0.05),
AMBP,-1.7519839193077233,8.06492126210206,-2.844207026904421,0.020553448028504343,0.5335262953943983,-4.142273802898789,0.0011071363384886248,Downregulated (π < 0.05),
SNF8,-0.9223105813969177,11.04757196421268,-2.7182144673568227,0.020878928324850537,0.5335262953943983,-3.8392290820325066,0.02819999921076195,Downregulated (π < 0.05),
CLINT1,-0.9143756057075638,10.316864097857122,-2.699268380222424,0.021581954465786878,0.5335262953943983,-3.8481692842070383,0.0299732088982969,Downregulated (π < 0.05),
IGHG3,-1.2481787922648575,9.428227540748397,-2.742099133690521,0.02184139719041438,0.5335262953943983,-3.9580624459707185,0.0084552224142622,Downregulated (π < 0.05),
SDHC,1.6974910811080175,10.040890353809457,2.8043825534145492,0.02188923705046183,0.5335262953943983,-4.151311658821088,0.0015224964490157292,Upregulated (π < 0.05),SDHC
SPAG9,-1.1629139194862255,11.027051112069456,-2.689830977011808,0.021940897814462776,0.5335262953943983,-3.852632490037486,0.011776646711510824,Downregulated (π < 0.05),
PEBP1,-1.0366382984654,16.444076589609555,-2.664278468244831,0.022942873400983086,0.5335262953943983,-3.8647494526041326,0.01997950544168115,Downregulated (π < 0.05),
LTA4H,-0.744419648956324,11.860055573463788,-2.6592939203028725,0.023143570649683025,0.5335262953943983,-3.8671185659074654,0.060596818850321976,not signifficant,
CBX3,-1.3107785140614592,9.170150888322544,-2.657137525839578,0.023230935364587677,0.5335262953943983,-3.8681440261056004,0.007215647890544189,Downregulated (π < 0.05),
TNNI2,1.1936180751212646,14.583014796703512,2.6549216510699356,0.02332105133844745,0.5335262953943983,-3.869198112947227,0.011264571055655889,Upregulated (π < 0.05),
GOLPH3L,-1.4742684285889318,8.338781851901475,-2.764286148651629,0.02332426802659293,0.5335262953943983,-4.160514840006275,0.003923836470780621,Downregulated (π < 0.05),
THOP1,-1.4774562359109797,8.936314719871103,-2.7623245935867846,0.023396894861296567,0.5335262953943983,-4.160967717473089,0.003894956820885845,Downregulated (π < 0.05),
YWHAB,-0.8767113636155113,11.603138329448926,-2.652032953593777,0.023439051693249564,0.5335262953943983,-3.87057277781969,0.0372312748164006,Downregulated (π < 0.05),
CAPNS1,-0.7046128214428506,14.093151677525643,-2.6482668116684813,0.023593786022727707,0.5335262953943983,-3.8723658752312424,0.07135959088730479,not signifficant,
PSMB2,-1.0685034742255795,10.668246049836064,-2.646444496747524,0.023669020839449956,0.5335262953943983,-3.873233852459797,0.018314960804246366,Downregulated (π < 0.05),
PPP2R1A,-0.7271419966656136,14.97770590094032,-2.640274833169658,0.023925510430815686,0.5335262953943983,-3.876174203398349,0.06625244415804715,not signifficant,
CDNF,-0.8006904628758189,11.050880090775943,-2.6310886957343445,0.024312524225280404,0.5335262953943983,-3.8805570117105015,0.050997573986603664,not signifficant,
IGHG4,-1.8340904820968582,10.428086494843747,-2.8068408272712113,0.024709655809135214,0.5335262953943983,-4.213865758110307,0.0011281636531346177,Downregulated (π < 0.05),
ACTR1B,-1.3606375282510443,8.779379103148715,-2.717866450642736,0.025106465585460137,0.5335262953943983,-4.171297779632981,0.0066479570444305715,Downregulated (π < 0.05),
TCP1,-0.6738871612185271,12.429491231771387,-2.60750225933839,0.025334900378045002,0.5335262953943983,-3.891836557961119,0.08400146567425155,not signifficant,
PAFAH1B1,-0.7099959324021832,10.107576387328601,-2.6061160705146347,0.0253962945554176,0.5335262953943983,-3.892500619232265,0.07368743531167918,not signifficant,
PPIL1,-0.8164383346863211,11.021117163982009,-2.6045484206486464,0.02546590323042583,0.5335262953943983,-3.8932517631525663,0.04995326615331895,Downregulated (π < 0.05),
PPT1,-1.350690977045808,9.125366833250125,-2.7088806453469427,0.02546722181505319,0.5335262953943983,-4.070646859691947,0.0070302972936561745,Downregulated (π < 0.05),
ANP32E,-0.9151105310008898,11.330517917817739,-2.6013037142811495,0.02561057952497516,0.5335262953943983,-3.894806987128169,0.034956491532067833,Downregulated (π < 0.05),
CSDE1,-0.6818581011123346,11.379083889940588,-2.600394749302788,0.025651254588217785,0.5335262953943983,-3.8952427880532534,0.0822693031061808,not signifficant,
TNNT3,1.4188983302549332,17.045650872847457,2.5955009769707855,0.02587134665620645,0.5335262953943983,-3.8975900223690667,0.005596951959843433,Upregulated (π < 0.05),
CFI,-0.7856481672460731,9.279264287625699,-2.5935910700081615,0.025957748943525902,0.5335262953943983,-3.8985065074238547,0.056776915700729354,not signifficant,
SPAG7,-0.906720460122072,9.540599752657885,-2.619192303577561,0.026827938808451666,0.5335262953943983,-4.004204005368585,0.037598278461962474,Downregulated (π < 0.05),
PCYT2,-1.0102066010908004,11.502887863985189,-2.5736205163953003,0.02687847469499208,0.5335262953943983,-3.908103590583349,0.025904438267031687,Downregulated (π < 0.05),
EIF3J,-0.8098288273895822,12.303193236359421,-2.573240455881188,0.026896306640502028,0.5335262953943983,-3.9082864790048437,0.0534958186619481,not signifficant,
FHL1,-1.2313484553554428,16.29716158678011,-2.5725826969114105,0.026927195473913628,0.5335262953943983,-3.908603019813065,0.011668586880299342,Downregulated (π < 0.05),
CIAO2A,-1.0708053658884502,11.05318312135681,-2.555622567883258,0.02773587223590782,0.5335262953943983,-3.9167742502926495,0.021517947077968787,Downregulated (π < 0.05),
CLIP1,-0.8520805072405366,12.975230260017181,-2.550725505233849,0.027973799699680665,0.5335262953943983,-3.919136907152803,0.04747961589705516,Downregulated (π < 0.05),
