"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"1","C12orf57",-1.65705211013385,10.6360446277498,-7.16159765936335,3.60383379779972e-05,0.0312670391599731,2.66517241853896,4.33838070234777e-08,"Downregulated (FDR < 0.05)",""
"2","CKMT2",-2.33101340629112,15.7820318436401,-6.89886746125193,4.90308611552482e-05,0.0312670391599731,2.38982431130895,9.00381739934534e-11,"Downregulated (FDR < 0.05)","CKMT2"
"3","SOD3",1.40093210220849,10.7984925533744,6.67964934625507,6.37919149407707e-05,0.0312670391599731,2.15235898223823,1.32666572080383e-06,"Upregulated (FDR < 0.05)","SOD3"
"4","TIMM8A",-1.79616872949832,11.1866395783925,-6.56078142980943,7.37582692477541e-05,0.0312670391599731,2.02059015460779,3.78347462993024e-08,"Downregulated (FDR < 0.05)","TIMM8A"
"5","HPRT1",1.5488368297127,12.2701107238632,6.41422174504418,8.84302913247244e-05,0.0312670391599731,1.85516074773628,5.27164831463136e-07,"Upregulated (FDR < 0.05)",""
"6","COQ5",-1.55734808481532,12.3306591977152,-6.28756024948829,0.000103669642919034,0.0312670391599731,1.70951864365408,6.23709923823723e-07,"Downregulated (FDR < 0.05)","COQ5"
"7","FABP4",2.41312566561512,15.4824952117685,6.13861172560863,0.000125316455758868,0.0312670391599731,1.53503477324804,3.83710079470066e-10,"Upregulated (FDR < 0.05)",""
"8","NDUFAF5",-1.38826349662712,10.1357600025428,-6.03906784552639,0.000142480338556641,0.0312670391599731,1.41646583786015,4.57507672753489e-06,"Downregulated (FDR < 0.05)","NDUFAF5"
"9","OGN",2.94799912852302,13.5613727251786,6.02624170432774,0.000144870342901427,0.0312670391599731,1.40107330554125,4.81471823355e-12,"Upregulated (FDR < 0.05)",""
"10","AIFM1",-1.5859021684672,14.7921748827474,-5.89489412997601,0.000171994723569194,0.0312670391599731,1.24192316989762,1.07126094424942e-06,"Downregulated (FDR < 0.05)",""
"11","NDUFA5",-1.43538314572263,12.9510585701548,-5.80561705929605,0.00019353334804784,0.0312670391599731,1.13215745316157,4.67812555372609e-06,"Downregulated (FDR < 0.05)",""
"12","ANXA5",1.96713834713732,15.8918630527489,5.79498421165624,0.000196286309478607,0.0312670391599731,1.11899814458725,5.1003711538752e-08,"Upregulated (FDR < 0.05)","ANXA5"
"13","SKIC8",-2.36166956989904,10.5622832076189,-5.76488414018215,0.000204310893114142,0.0312670391599731,1.08164617812221,1.93253677178294e-09,"Downregulated (FDR < 0.05)","SKIC8"
"14","PHKG1",-1.63338222676165,12.1370344705301,-5.70281841851016,0.000221995309040411,0.0312670391599731,1.00416041835968,1.07691864518621e-06,"Downregulated (FDR < 0.05)",""
"15","ATP5PD",-1.73300439570535,16.2608216671032,-5.69442560887613,0.000224510498685444,0.0312670391599731,0.993634095636001,4.74981925173924e-07,"Downregulated (FDR < 0.05)",""
"16","VAPB",-1.39147055700759,12.3741752204764,-5.66457588293461,0.000233707575067001,0.0312670391599731,0.956102860643576,8.85350227764459e-06,"Downregulated (FDR < 0.05)",""
