Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
VPS37C,-1.681367098762868,9.845634692414588,-5.478814352246066,3.3155044197467323e-4,0.1957828356585696,0.17481719286730613,1.4117785999265386e-6,Downregulated (π < 0.05),VPS37C
COPZ1,-3.1818757213641016,10.39890782129019,-5.9585821413943645,4.5019712389404986e-4,0.1957828356585696,-0.7281337823269043,2.24669104035263e-11,Downregulated (π < 0.05),COPZ1
RBP1,-1.5019518461182066,12.007330627470857,-4.9643827143454216,4.991012535472729e-4,0.1957828356585696,0.01585625198303031,1.0985968851242612e-5,Downregulated (π < 0.05),
RPL23,2.262862298187292,8.785079592083223,5.279327842606938,6.290396938272578e-4,0.1957828356585696,-0.6958560079715257,5.699664045503589e-8,Upregulated (π < 0.05),RPL23
NDUFS3,-2.428739668933627,13.37819375576256,-4.7507544668915465,6.934460294147486e-4,0.1957828356585696,-0.24569681364119766,2.1263862129560836e-8,Downregulated (π < 0.05),NDUFS3
CAV1,-2.2158796112776074,11.88300264009464,-4.710949491801928,7.377951542293108e-4,0.1957828356585696,-0.295361184182231,1.1474210016672053e-7,Downregulated (π < 0.05),CAV1
FAM136A,-1.4843420205407618,10.51356181089956,-4.513027788548272,0.0010074903995024773,0.1957828356585696,-0.5465953230767457,3.5627435848826265e-5,Downregulated (π < 0.05),
GATD3B,-1.2363877981800293,14.184129931594052,-4.4410094592369465,0.0011299566149687626,0.1957828356585696,-0.6397647555633883,2.2721737024368114e-4,Downregulated (π < 0.05),
UGDH,-2.183137740973299,14.829250103831873,-4.405496972190232,0.0011960309907920884,0.1957828356585696,-0.6860463380638482,4.171662990839353e-7,Downregulated (π < 0.05),UGDH
ANXA5,1.2776631423686915,15.706763074970276,4.39579814251712,0.0012147753567367566,0.1957828356585696,-0.6987250452729032,1.8835101435958593e-4,Upregulated (π < 0.05),ANXA5
SCRN3,-1.2735534859934852,9.247727716653117,-4.324441676363756,0.0013625535087897895,0.1957828356585696,-0.7925123353894072,2.241021354570164e-4,Downregulated (π < 0.05),
TNNC2,1.5984508009245175,14.93972156843893,4.318398971734166,0.0013759079278087595,0.1957828356585696,-0.8004953402176156,2.6679389748508257e-5,Upregulated (π < 0.05),TNNC2
NDUFB1,-2.526071606327246,12.42054978158082,-4.261721121114797,0.0015080736797746968,0.1957828356585696,-0.8756794216761561,7.455784462038448e-8,Downregulated (π < 0.05),
NDUFAB1,-1.3474703639032803,11.020921132061247,-4.184937580600103,0.0017087583829772527,0.1957828356585696,-0.9784097214049465,1.866892020513799e-4,Downregulated (π < 0.05),
C12orf57,-1.9327569295792788,10.658742224699344,-4.095006441968968,0.001979943466351188,0.1957828356585696,-1.0999869381514822,5.957814083669621e-6,Downregulated (π < 0.05),
ALDH5A1,-1.5561797382767253,12.935813411961798,-4.0926048512177156,0.0019877754414998044,0.1957828356585696,-1.1032519098332934,6.248473958830647e-5,Downregulated (π < 0.05),
NDUFB9,-2.1634165415233344,12.71835773002932,-4.034170439296932,0.0021886783608530387,0.1957828356585696,-1.1829820126064288,1.7607821240529227e-6,Downregulated (π < 0.05),
NDUFB10,-2.272756502600858,12.694724947850082,-3.970003653306639,0.0024339479055510795,0.1957828356585696,-1.2711621211177242,1.1474188039031065e-6,Downregulated (π < 0.05),
TOLLIP,-1.2383162146742226,10.242150658106112,-3.9617390601465403,0.002467565083670833,0.1957828356585696,-1.282566632618229,5.89934702575127e-4,Downregulated (π < 0.05),
NEDD4L,-1.7065133717268415,8.434322302326024,-4.230610347213695,0.0025530061415189173,0.1957828356585696,-1.5619960874412753,3.7592337070515524e-5,Downregulated (π < 0.05),
FABP4,1.534795179656257,15.066209253877375,3.916753171140829,0.0026592459414893784,0.1957828356585696,-1.3448289432163412,1.1156597551090142e-4,Upregulated (π < 0.05),FABP4
BCAT2,-2.4209762358988893,9.874126952925124,-3.915826774621531,0.0026633526790667823,0.1957828356585696,-1.3461143762377672,5.84822421485657e-7,Downregulated (π < 0.05),
NDUFB8,-2.511581931114476,12.998189029533455,-3.911887446684228,0.0026808898176408553,0.1957828356585696,-1.351581898993632,3.474656819052654e-7,Downregulated (π < 0.05),
PLIN5,-1.2140816746691723,12.426423554755534,-3.873662890313654,0.00285744355439842,0.1957828356585696,-1.4047568962205856,8.153594278633938e-4,Downregulated (π < 0.05),
IDH2,-1.3889602107218408,16.487290999958887,-3.869055707009904,0.0028795273624375992,0.1957828356585696,-1.411180859222144,2.958681744630644e-4,Downregulated (π < 0.05),
NDUFV2,-1.923340602447471,14.085902099964933,-3.8676834663860524,0.002886139294856113,0.1957828356585696,-1.4130948356164081,1.3041427226152776e-5,Downregulated (π < 0.05),
TNNT3,2.10861100823249,17.045650872847457,3.8571487577517036,0.0029374289309100615,0.1957828356585696,-1.427797778435675,4.580660647981679e-6,Upregulated (π < 0.05),
TNNI2,1.7306417101098006,14.583014796703512,3.849403961102393,0.002975740445326748,0.1957828356585696,-1.4386174198084305,4.243246025656452e-5,Upregulated (π < 0.05),
PPA2,-1.202013652059593,9.845194870808813,-3.8471869556623894,0.002986802930044292,0.1957828356585696,-1.4417162524636984,9.229195102533118e-4,Downregulated (π < 0.05),
ACAD8,-1.3366646246832232,10.633759896012666,-3.8446093230191627,0.0029997187423937656,0.1957828356585696,-1.4453200641904207,4.243290864667995e-4,Downregulated (π < 0.05),
DLST,-1.9421413212196956,11.971119867835425,-3.8399621396802193,0.0030231516500333327,0.1957828356585696,-1.4518198024020403,1.2784893827986477e-5,Downregulated (π < 0.05),
COX7A2,-1.638495428907552,11.28336004937728,-3.8203971783371626,0.0031239153375680105,0.1957828356585696,-1.4792188149474415,7.85373389052986e-5,Downregulated (π < 0.05),
POTEF,-2.3233952275073797,12.060819441053336,-3.8142844796418585,0.0031561087587723764,0.1957828356585696,-1.487790538129035,1.5471826986095293e-6,Downregulated (π < 0.05),
FHIT,-1.028768876788078,8.875186297563175,-3.802104936647819,0.0032212873788804663,0.1957828356585696,-1.5048857884585445,0.0027311042489562305,Downregulated (π < 0.05),
FAM3C,-2.1072079949161244,7.59528005315171,-4.538047547618038,0.0033116303276072225,0.1957828356585696,-1.841504677150866,5.945828272140807e-6,Downregulated (π < 0.05),
HNRNPA0,-1.6568827268964181,9.966449113161769,-4.242021213531274,0.0033446987923334195,0.1957828356585696,-1.594180815699362,7.909515791933881e-5,Downregulated (π < 0.05),
HIBADH,-1.4374258063494096,12.593158451638828,-3.720679963383499,0.0036945715817693543,0.1957828356585696,-1.6197146540647989,3.1882608331296257e-4,Downregulated (π < 0.05),
