"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TPM3",4.19083586486143,18.5079698308908,71.5336648477174,1.79978536444973e-15,5.31836575194896e-12,24.2527834796056
"ATP2A2",4.47744075976018,15.7084079195986,50.1633207779728,7.42124858175511e-14,1.09648947795432e-10,21.7364736177974
"MYBPC2",-4.61084063079827,16.7988409986635,-38.5562508646283,1.16287109646818e-12,1.14542803002116e-09,19.4790449609216
"TNNT1",5.72435015928435,17.5837031243258,33.3796998987885,5.23127781544524e-12,3.86460648616017e-09,18.132574703806
"TNNC2",-4.83960822779345,16.4432217494848,-32.0478564445111,7.99429196463133e-12,4.54276380040465e-09,17.7408599834784
"MYH7",2.84729515776405,21.2574207948841,31.6104133814028,9.22388588914649e-12,4.54276380040465e-09,17.6076198337691
"ZC3H8",-3.54658953276773,13.250307410148,-30.6104829494708,1.28875264520353e-11,5.44037723796632e-09,17.2940773237266
"SUB1",2.38065746365413,13.7320629989616,28.9879948364024,2.27013317777839e-11,8.38530442541893e-09,16.7570729407
"TNNC1",5.00869098440983,17.1851126133618,26.1061255496089,6.72859570969533e-11,2.20922225801663e-08,15.7064658468359
"DPYSL3",1.90081936527471,13.6217316329999,23.1068009244111,2.37757323099224e-10,7.02572889758207e-08,14.4572964885905
"TNNT3",-3.87253619469557,19.3599951206689,-22.3952160858205,3.28306497181547e-10,8.81950635610428e-08,14.1336760691439
"TNNI1",5.41083446227319,18.612918433268,21.4122947633623,5.21288811204013e-10,1.28367369758988e-07,13.6672860032016
"MYH2",-6.35707670523191,19.5025300211502,-21.1097438327525,6.03488263371669e-10,1.33854170281924e-07,13.5189548809465
"PDLIM1",2.32704277003945,13.6213430061641,21.0082223677499,6.34165273755311e-10,1.33854170281924e-07,13.4686592268823
"MYL3",5.28145932693758,19.8006982352916,20.6403489485391,7.60457338440266e-10,1.49810095672732e-07,13.2841584248412
"MYL2",4.41513943579072,19.2925118881679,19.8329329510515,1.14551675329014e-09,2.00224337078476e-07,12.8663896638959
"MPO",2.40357699447812,13.6096033242262,19.8222201078699,1.15188281906399e-09,2.00224337078476e-07,12.8607241261674
"KIF1C",-3.78554079076305,13.6853167370464,-19.3709838498132,1.45857357631837e-09,2.39449162112266e-07,12.6190600685066
"TNNI2",-5.06600473321659,16.9465732209045,-18.7707293076159,2.01315848492864e-09,3.00358005886878e-07,12.288127613937
"MYOZ2",3.0979854474375,14.632124772847,18.7528480962419,2.03287990447972e-09,3.00358005886878e-07,12.2780982078408
"FASTKD5",-3.18212626508599,14.4226007884962,-18.5314152465641,2.2954066085742e-09,3.22996501349369e-07,12.1530566047575
"USP28",-4.223260319875,13.6803279740016,-16.7438683127987,6.45404847647403e-09,8.66896056726398e-07,11.0827226154089
"TPM1",-0.883535829476934,20.074088981464,-16.3780690296298,8.07647035765854e-09,1.03765086551656e-06,10.8492480389644
"MYL6B",3.74360989738259,15.2818623339939,16.2495665420045,8.7481282923355e-09,1.07711329599381e-06,10.7659736252453
"ATP2A1",-1.72927277520439,19.0187761920704,-15.5727979752915,1.34568476320018e-08,1.59059939010261e-06,10.316169902702
"OXCT1",1.37665045828576,10.3327237907082,15.0497148526655,1.89985015865281e-08,2.15925277646887e-06,9.95494596924931
"PRR33",-1.14264461305366,13.1511585160216,-14.6618908275223,2.47108164292583e-08,2.70446157586882e-06,9.67903949495354
"PFKM",-1.20401607769811,18.0946413833155,-14.1203623303773,3.60585719100986e-08,3.80546714265505e-06,9.28162024326243
"PHKB",-1.13842670310753,14.032931481821,-13.6416406960613,5.09245820188327e-08,5.12936057690225e-06,8.91783610743521
"ENG",-3.64480558308384,13.6447546691346,-13.6017354771568,5.24370389473818e-08,5.12936057690225e-06,8.8869618611662
"C8A",-1.79818405862668,12.521017312948,-13.55381495625,5.43183275493444e-08,5.12936057690225e-06,8.84977190804903
"PRPS1",-1.16134905718876,13.3925187863148,-13.5234999667569,5.55463751136623e-08,5.12936057690225e-06,8.82618043691761
"MYL1",-1.3024887159152,21.2684768850424,-13.4051787790607,6.06373486914225e-08,5.42979895100465e-06,8.73361767848464
"YIPF3",-1.08024641803104,12.1592407097863,-13.0538536198115,7.90000840597811e-08,6.86603671754862e-06,8.45414417824616
"ACTA1",-0.526289202998118,22.180124041126,-12.777810600173,9.76904729553139e-08,8.24786707379864e-06,8.22954637817762
"PGM5",1.01204218738953,12.9212008863814,12.5009612635088,1.21378807161641e-07,9.92276516831988e-06,7.99969787906095
"MYLPF",-4.70116752792701,18.1091727556459,-12.4715249272791,1.24244436963735e-07,9.92276516831988e-06,7.97498176450679
"ARHGAP5",-1.14895273400125,12.602642251311,-11.9359971490101,1.91612164018243e-07,1.47366027729832e-05,7.51569168353431
"PFKFB2",1.49611425156125,11.5562783006624,11.9093363083066,1.95876342633124e-07,1.47366027729832e-05,7.49233684928674
"PHKA1",-1.03618082258439,14.4138220635483,-11.8872918428313,1.99480240581837e-07,1.47366027729832e-05,7.47299001371245
"SNRPA1",1.44345252252502,10.4480259646807,11.7020453551225,2.32780792415141e-07,1.65274067495689e-05,7.30911438509819
"TECR",-0.687977659652312,13.8866796190067,-11.6744551479766,2.38238500426165e-07,1.65274067495689e-05,7.28450657875581
"CKB",1.77308763039258,15.8938167415904,11.6632219810299,2.4050033510371e-07,1.65274067495689e-05,7.27447263973946
"MYH6",1.42151595892282,16.2100821730902,11.5942925795196,2.54901627318679e-07,1.71189615619704e-05,7.21271058656547
"GPD1",-1.0565637957129,17.0359694798553,-11.5594912930926,2.62526964345035e-07,1.72392706586573e-05,7.18140230397295
"USP48",-3.4240210995645,14.1331549356421,-11.5217887857197,2.71069184262616e-07,1.74132486846963e-05,7.14738825198272
"SART3",-0.960967392340168,14.4888039605577,-11.324570204997,3.20974124139805e-07,2.01803944007048e-05,6.96782178980661
"PGM1",-0.591922578801402,19.669924666413,-11.2810341236904,3.33287672840394e-07,2.05180223592368e-05,6.92780644872745
"PHKG1",-0.848313282122126,14.7298909133726,-11.1880944430572,3.61329562940478e-07,2.1453115627652e-05,6.84192110805571
"GPI",-0.797484835542491,17.5870228171328,-11.1783138351494,3.64426680369306e-07,2.1453115627652e-05,6.83284607088242
"MYH4",-1.90560064342439,17.0285238498005,-11.1601453778141,3.70256817939171e-07,2.1453115627652e-05,6.81596958287588
"RYR1",-0.674884396751855,16.0527410869719,-11.1263729765915,3.81365604170922e-07,2.16718338524053e-05,6.78453398564316
"PNN",-1.55796243181078,11.4991603890287,-11.0287934781638,4.15551067163505e-07,2.31689321409086e-05,6.69322989078694
"CASQ1",-0.775794476306988,19.2450888878762,-10.9065034693406,4.6317860996929e-07,2.505335623089e-05,6.57779383648856
"LRRC39",1.07515392269328,13.2745348254762,10.8989572955598,4.66306122740762e-07,2.505335623089e-05,6.5706334045523
"JPH1",-0.717519740591788,13.4521958893897,-10.7880581355789,5.15017389561357e-07,2.71763640384609e-05,6.4648991100537
"MCU",0.853424162678561,13.0313196235007,10.7586408403773,5.28848558728035e-07,2.74166226498482e-05,6.43669242627112
"TIMM17B",-1.15130833722928,14.9842699873779,-10.6867950253428,5.64356169855409e-07,2.8752973826254e-05,6.36751962289006
"PYGM",-0.808267932491038,20.4100617196619,-10.5275769385115,6.52637502456249e-07,3.22444066170519e-05,6.21277403757524
"GPD1L",0.585757652724183,15.1197391145608,10.5241280304711,6.54708763798009e-07,3.22444066170519e-05,6.20939964826555
"CYB5R1",0.871729984745468,16.6577121280478,10.501440989305,6.68512979098135e-07,3.23845221841801e-05,6.18717896260084
"UBE2F",-0.874204473330289,10.019096876641,-10.4804560394051,6.81563534507984e-07,3.24841974914692e-05,6.16658846856112
"CACNA1S",-0.677255503613178,14.1452987251532,-10.3923164398091,7.39482101226017e-07,3.46852318908394e-05,6.07971595467493
"PPP3CB",-0.806253018697458,13.4605224052323,-10.3490434042953,7.69857535055489e-07,3.55457658763901e-05,6.03683303320554
"PKM",-0.811208871290656,18.6229516331147,-10.3169606725962,7.9325277626366e-07,3.60624915978326e-05,6.00494018475845
"DNAH7",-3.47827848739406,16.4312769084163,-10.1899089990778,8.93782551283219e-07,4.00170824097259e-05,5.87780202898986
"JSRP1",-0.895550862054822,13.4940516008967,-10.1428419303379,9.34470565253025e-07,4.12143361242192e-05,5.83035989737665
"ENO2",-0.863484768922127,18.8085251654397,-10.0380757746231,1.03245040973972e-06,4.46527242141604e-05,5.72408465627225
"MACF1",-1.51672602577634,11.3907051241868,-10.0277930369385,1.04265244357938e-06,4.46527242141604e-05,5.71360329081595
"PGK1",-1.00572558043828,19.2931177000074,-9.91882672232204,1.15775411567442e-06,4.88737630259703e-05,5.60197164998782
"FBP2",-1.18349087566579,16.122634375786,-9.8750797905735,1.20778570334583e-06,5.02677007519286e-05,5.55686437540723
"GMPR",-0.62864241010921,11.4822820003147,-9.80709400291214,1.29025889165424e-06,5.29543753449759e-05,5.48643113703093
"NEK7",-0.563492123500293,12.0164211371944,-9.74586776924443,1.36978210998214e-06,5.54480292465374e-05,5.42265085518731
"PFKL",-1.56572324017494,15.7325244155145,-9.66209529066732,1.48733279216505e-06,5.93928162276719e-05,5.33484129846743
"LNPEP",-0.560757824977635,11.5294397361499,-9.47235654642982,1.79612621213007e-06,7.07673727579248e-05,5.13360551564961
"CMBL",-0.763231233572684,16.333139882522,-9.41063556956379,1.91105983210947e-06,7.4305023735309e-05,5.06743001338381
"CSNK1D",2.10051458817892,11.0748536604656,15.8079003361568,1.95237098878038e-06,7.49254061278703e-05,5.88031779985562
"PDLIM7",-1.03410735129287,15.7277838505884,-9.34279064380671,2.04667669894361e-06,7.7537559556133e-05,4.99427794646088
"HACD1",-0.624542529635063,12.9220203625995,-9.29409881331649,2.1504326172548e-06,8.0437068151746e-05,4.94150998805699
"ENO3",-1.06942190303223,19.9939608103562,-9.2444478053693,2.26213538675186e-06,8.35576258481469e-05,4.88747086441228
