"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","GO:0015980","energy derivation by oxidation of organic compounds",157,-0.714834617616779,-3.26769742653124,1e-10,5.23695652173913e-09,4.37528604118993e-09,431,"tags=67%, list=18%, signal=59%","BNIP3/DHTKD1/ACADVL/NDUFS2/GYG1/UQCR10/COA6/MYBBP1A/NDUFB5/PFKM/TRAP1/NDUFS5/IDH3B/CHCHD10/UQCRQ/GYS1/UQCR11/COX7C/NDUFS1/SUCLG1/DLD/ACADM/CS/MRPS36/SIRT3/ATP5PO/NDUFB4/SUCLA2/PPP1R3A/NIPSNAP2/NDUFV1/NNT/NDUFB11/ATP5F1A/COX6C/COQ9/NDUFA6/COX5A/UQCC2/NDUFA13/ETFDH/NDUFA9/ACTN3/AGL/NDUFA10/PHKA1/ATP5MG/SDHA/OGDH/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/PYGM/NDUFS4/PHKB/NDUFB8/NDUFA7/LYRM7/NDUFA8/NDUFB9/GFPT1/COQ10A/ATP5F1C/NDUFV3/IDH2/COX7A2/ATP5F1B/ATP5ME/NDUFC2/PDHB/NDUFA4/PHKG1/ATP5PF/NDUFV2/UQCRFS1/COX4I1/NDUFB1/NDUFA11/NDUFA12/NDUFB10/DLST/ATP5PB/PPIF/NDUFB3/DLAT/CYC1/PDHA1/GPD2/UQCRH/UQCRB/ATP5F1D/UQCRC1/NDUFA2/UQCRC2/ATP5PD/SDHB/COX6B1/COX7A1/CISD1/NDUFS7/NDUFS3/SLC25A12"
"2","GO:0045333","cellular respiration",132,-0.73255647560659,-3.25681236192745,1e-10,5.23695652173913e-09,4.37528604118993e-09,431,"tags=70%, list=18%, signal=61%","BNIP3/DHTKD1/NDUFS2/UQCR10/COA6/MYBBP1A/NDUFB5/TRAP1/NDUFS5/IDH3B/CHCHD10/UQCRQ/UQCR11/COX7C/NDUFS1/SUCLG1/DLD/CS/MRPS36/SIRT3/ATP5PO/NDUFB4/SUCLA2/NIPSNAP2/NDUFV1/NNT/NDUFB11/ATP5F1A/COX6C/COQ9/NDUFA6/COX5A/UQCC2/NDUFA13/ETFDH/NDUFA9/ACTN3/NDUFA10/ATP5MG/SDHA/OGDH/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/LYRM7/NDUFA8/NDUFB9/COQ10A/ATP5F1C/NDUFV3/IDH2/COX7A2/ATP5F1B/ATP5ME/NDUFC2/PDHB/NDUFA4/ATP5PF/NDUFV2/UQCRFS1/COX4I1/NDUFB1/NDUFA11/NDUFA12/NDUFB10/DLST/ATP5PB/PPIF/NDUFB3/DLAT/CYC1/PDHA1/GPD2/UQCRH/UQCRB/ATP5F1D/UQCRC1/NDUFA2/UQCRC2/ATP5PD/SDHB/COX6B1/COX7A1/CISD1/NDUFS7/NDUFS3/SLC25A12"
"3","GO:0006119","oxidative phosphorylation",88,-0.780343579376906,-3.24134979995281,1e-10,5.23695652173913e-09,4.37528604118993e-09,409,"tags=80%, list=17%, signal=69%","NDUFS2/UQCR10/COA6/NDUFB5/NDUFS5/CHCHD10/UQCRQ/UQCR11/COX7C/NDUFS1/DLD/ATP5PO/NDUFB4/NIPSNAP2/NDUFV1/NDUFB11/ATP5F1A/COX6C/COQ9/NDUFA6/COX5A/UQCC2/NDUFA13/NDUFA9/ACTN3/NDUFA10/ATP5MG/SDHA/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/NDUFA8/NDUFB9/ATP5F1C/NDUFV3/COX7A2/ATP5F1B/ATP5ME/NDUFC2/NDUFA4/ATP5PF/NDUFV2/UQCRFS1/COX4I1/NDUFB1/NDUFA11/NDUFA12/NDUFB10/ATP5PB/PPIF/NDUFB3/CYC1/UQCRH/UQCRB/ATP5F1D/UQCRC1/NDUFA2/UQCRC2/ATP5PD/SDHB/COX6B1/COX7A1/NDUFS7/NDUFS3"
"4","GO:0009060","aerobic respiration",118,-0.730902988615767,-3.20159727955155,1e-10,5.23695652173913e-09,4.37528604118993e-09,431,"tags=72%, list=18%, signal=62%","BNIP3/DHTKD1/NDUFS2/UQCR10/COA6/NDUFB5/NDUFS5/IDH3B/CHCHD10/UQCRQ/UQCR11/COX7C/NDUFS1/SUCLG1/DLD/CS/MRPS36/SIRT3/ATP5PO/NDUFB4/SUCLA2/NIPSNAP2/NDUFV1/NNT/NDUFB11/ATP5F1A/COX6C/COQ9/NDUFA6/COX5A/UQCC2/NDUFA13/NDUFA9/ACTN3/NDUFA10/ATP5MG/SDHA/OGDH/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/NDUFA8/NDUFB9/ATP5F1C/NDUFV3/IDH2/COX7A2/ATP5F1B/ATP5ME/NDUFC2/PDHB/NDUFA4/ATP5PF/NDUFV2/UQCRFS1/COX4I1/NDUFB1/NDUFA11/NDUFA12/NDUFB10/DLST/ATP5PB/PPIF/NDUFB3/DLAT/CYC1/PDHA1/UQCRH/UQCRB/ATP5F1D/UQCRC1/NDUFA2/UQCRC2/ATP5PD/SDHB/COX6B1/COX7A1/NDUFS7/NDUFS3"
"5","GO:0015986","proton motive force-driven ATP synthesis",52,-0.839353124287713,-3.17330892221148,1e-10,5.23695652173913e-09,4.37528604118993e-09,223,"tags=83%, list=9%, signal=77%","ATP5PO/NDUFB4/NDUFV1/NDUFB11/ATP5F1A/NDUFA6/ATP5MJ/NDUFA13/NDUFA9/ATP5MK/NDUFA10/ATP5MG/SDHA/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/NDUFA8/NDUFB9/ATP5F1C/NDUFV3/ATP5F1B/ATP5ME/NDUFC2/ATP5PF/NDUFV2/NDUFB1/NDUFA11/NDUFA12/NDUFB10/ATP5PB/NDUFB3/ATP5F1D/NDUFA2/ATP5PD/SDHB/NDUFS7/NDUFS3"
"6","GO:0006754","ATP biosynthetic process",59,-0.811273982138752,-3.13965703111424,1e-10,5.23695652173913e-09,4.37528604118993e-09,223,"tags=73%, list=9%, signal=68%","ATP5PO/NDUFB4/NDUFV1/NDUFB11/ATP5F1A/NDUFA6/ATP5MJ/NDUFA13/NDUFA9/ATP5MK/NDUFA10/ATP5MG/SDHA/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/NDUFA8/NDUFB9/ATP5F1C/NDUFV3/ATP5F1B/ATP5ME/NDUFC2/ATP5PF/NDUFV2/NDUFB1/NDUFA11/NDUFA12/NDUFB10/ATP5PB/NDUFB3/ATP5F1D/NDUFA2/ATP5PD/SDHB/NDUFS7/NDUFS3"
"7","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",49,-0.840194316409919,-3.12770780496611,1e-10,5.23695652173913e-09,4.37528604118993e-09,223,"tags=84%, list=9%, signal=78%","ATP5PO/NDUFB4/NDUFV1/NDUFB11/ATP5F1A/NDUFA6/NDUFA13/NDUFA9/NDUFA10/ATP5MG/SDHA/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/NDUFA8/NDUFB9/ATP5F1C/NDUFV3/ATP5F1B/ATP5ME/NDUFC2/ATP5PF/NDUFV2/NDUFB1/NDUFA11/NDUFA12/NDUFB10/ATP5PB/NDUFB3/ATP5F1D/NDUFA2/ATP5PD/SDHB/NDUFS7/NDUFS3"
"8","GO:0022904","respiratory electron transport chain",71,-0.774061561666899,-3.12118219473611,1e-10,5.23695652173913e-09,4.37528604118993e-09,409,"tags=77%, list=17%, signal=66%","NDUFS2/UQCR10/COA6/MYBBP1A/NDUFB5/NDUFS5/UQCRQ/UQCR11/COX7C/NDUFS1/DLD/NDUFB4/NDUFV1/COX6C/COQ9/NDUFA6/COX5A/ETFDH/NDUFA9/NDUFA10/SDHA/NDUFS8/NDUFA5/NDUFB7/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/NDUFA8/NDUFB9/NDUFV3/COX7A2/NDUFC2/NDUFA4/NDUFV2/UQCRFS1/COX4I1/NDUFB1/NDUFA12/NDUFB10/NDUFB3/CYC1/GPD2/UQCRH/UQCRB/UQCRC1/NDUFA2/UQCRC2/SDHB/COX6B1/COX7A1/NDUFS7/NDUFS3/SLC25A12"
"9","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",62,-0.791107440838499,-3.10264833551344,1e-10,5.23695652173913e-09,4.37528604118993e-09,223,"tags=69%, list=9%, signal=65%","ATP5PO/NDUFB4/NDUFV1/NDUFB11/ATP5F1A/NDUFA6/ATP5MJ/NDUFA13/NDUFA9/ATP5MK/NDUFA10/ATP5MG/SDHA/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/NDUFA8/NDUFB9/ATP5F1C/NDUFV3/ATP5F1B/ATP5ME/NDUFC2/ATP5PF/NDUFV2/NDUFB1/NDUFA11/NDUFA12/NDUFB10/ATP5PB/NDUFB3/ATP5F1D/NDUFA2/ATP5PD/SDHB/NDUFS7/NDUFS3"
"10","GO:0046034","ATP metabolic process",76,-0.766212007647031,-3.10068477560987,1e-10,5.23695652173913e-09,4.37528604118993e-09,282,"tags=62%, list=12%, signal=56%","NDUFS1/MYH6/ATP5PO/MYH8/NDUFB4/NDUFV1/NDUFB11/ATP5F1A/NDUFA6/ATP5MJ/NDUFA13/AK2/NDUFA9/ATP5MK/NDUFA10/ATP5MG/SDHA/NDUFS8/NDUFA5/NDUFB7/ATP5MF/NDUFS6/NDUFB6/NDUFS4/NDUFB8/NDUFA7/NDUFA8/NDUFB9/ATP5F1C/NDUFV3/ATP5F1B/ATP5ME/NDUFC2/ATP5PF/NDUFV2/NDUFB1/NDUFA11/NDUFA12/NDUFB10/ATP5PB/NDUFB3/ATP5F1D/NDUFA2/ATP5PD/SDHB/NDUFS7/NDUFS3"
