"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","GO:0015986","proton motive force-driven ATP synthesis",51,-0.903705261641524,-3.13726183832026,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=90%, list=8%, signal=85%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/ATP5MK/NDUFV3/NDUFA9/ATP5MG/NDUFA5/NDUFS8/NDUFB7/SDHA/ATP5ME/NDUFS1/ATP5MJ/ATP5F1A/NDUFC2/NDUFA13/ATP5PF/ATP5F1B/ATP5F1C/SDHB/NDUFB11/NDUFA8/NDUFA10/ATP5MF/NDUFV1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/NDUFA7/NDUFB9/NDUFA2/NDUFB8/NDUFB4/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"2","GO:0006119","oxidative phosphorylation",86,-0.826019029529946,-3.13630160124724,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=70%, list=8%, signal=66%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/NDUFV3/NDUFA9/ATP5MG/PPIF/NDUFA5/NDUFS8/NDUFB7/SDHA/ATP5ME/NDUFS1/UQCC2/COX7A2/COX7C/ATP5F1A/COX5A/NDUFC2/NDUFA13/ATP5PF/COX6C/ATP5F1B/UQCRFS1/ATP5F1C/SDHB/NDUFA4/NDUFB11/NDUFA8/UQCRH/NDUFA10/ATP5MF/NDUFV1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/CYC1/NDUFA7/NDUFB9/COX6B1/COX7A1/NDUFA2/NDUFB8/COX4I1/UQCRC1/NDUFB4/UQCRB/UQCRC2/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"3","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",48,-0.904347978453926,-3.11636988378868,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=92%, list=8%, signal=86%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/NDUFV3/NDUFA9/ATP5MG/NDUFA5/NDUFS8/NDUFB7/SDHA/ATP5ME/NDUFS1/ATP5F1A/NDUFC2/NDUFA13/ATP5PF/ATP5F1B/ATP5F1C/SDHB/NDUFB11/NDUFA8/NDUFA10/ATP5MF/NDUFV1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/NDUFA7/NDUFB9/NDUFA2/NDUFB8/NDUFB4/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"4","GO:0006754","ATP biosynthetic process",58,-0.87527374690327,-3.10790219060995,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=79%, list=8%, signal=75%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/ATP5MK/NDUFV3/NDUFA9/ATP5MG/NDUFA5/NDUFS8/NDUFB7/SDHA/ATP5ME/NDUFS1/ATP5MJ/ATP5F1A/NDUFC2/NDUFA13/ATP5PF/ATP5F1B/ATP5F1C/SDHB/NDUFB11/NDUFA8/NDUFA10/ATP5MF/NDUFV1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/NDUFA7/NDUFB9/NDUFA2/NDUFB8/NDUFB4/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"5","GO:0045333","cellular respiration",130,-0.76706991311309,-3.07503576438565,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=58%, list=8%, signal=57%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/PDHB/SUCLG1/OGDH/NDUFV3/NDUFA9/LYRM7/ATP5MG/PPIF/ETFDH/NDUFA5/NDUFS8/NDUFB7/SDHA/IDH2/ATP5ME/NDUFS1/UQCC2/COX7A2/NNT/COX7C/GPD2/ATP5F1A/COX5A/MRPS36/NDUFC2/NDUFA13/ATP5PF/COQ10A/COX6C/CISD1/DLAT/ATP5F1B/UQCRFS1/PDHA1/ATP5F1C/SDHB/NDUFA4/NDUFB11/NDUFA8/UQCRH/NDUFA10/ATP5MF/NDUFV1/DHTKD1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/DLST/CYC1/NDUFA7/NDUFB9/COX6B1/COX7A1/NDUFA2/NDUFB8/COX4I1/UQCRC1/NDUFB4/UQCRB/UQCRC2/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/SLC25A12/NDUFB6/NDUFS3"
"6","GO:0009060","aerobic respiration",116,-0.776427516783227,-3.07128695130356,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=60%, list=8%, signal=58%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/PDHB/SUCLG1/OGDH/NDUFV3/NDUFA9/ATP5MG/PPIF/NDUFA5/NDUFS8/NDUFB7/SDHA/IDH2/ATP5ME/NDUFS1/UQCC2/COX7A2/NNT/COX7C/ATP5F1A/COX5A/MRPS36/NDUFC2/NDUFA13/ATP5PF/COX6C/DLAT/ATP5F1B/UQCRFS1/PDHA1/ATP5F1C/SDHB/NDUFA4/NDUFB11/NDUFA8/UQCRH/NDUFA10/ATP5MF/NDUFV1/DHTKD1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/DLST/CYC1/NDUFA7/NDUFB9/COX6B1/COX7A1/NDUFA2/NDUFB8/COX4I1/UQCRC1/NDUFB4/UQCRB/UQCRC2/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"7","GO:0009201","ribonucleoside triphosphate biosynthetic process",62,-0.848431384823573,-3.06110333794081,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=74%, list=8%, signal=70%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/ATP5MK/NDUFV3/NDUFA9/ATP5MG/NDUFA5/NDUFS8/NDUFB7/SDHA/ATP5ME/NDUFS1/ATP5MJ/ATP5F1A/NDUFC2/NDUFA13/ATP5PF/ATP5F1B/ATP5F1C/SDHB/NDUFB11/NDUFA8/NDUFA10/ATP5MF/NDUFV1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/NDUFA7/NDUFB9/NDUFA2/NDUFB8/NDUFB4/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"8","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",61,-0.850308953136489,-3.05468390945695,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=75%, list=8%, signal=71%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/ATP5MK/NDUFV3/NDUFA9/ATP5MG/NDUFA5/NDUFS8/NDUFB7/SDHA/ATP5ME/NDUFS1/ATP5MJ/ATP5F1A/NDUFC2/NDUFA13/ATP5PF/ATP5F1B/ATP5F1C/SDHB/NDUFB11/NDUFA8/NDUFA10/ATP5MF/NDUFV1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/NDUFA7/NDUFB9/NDUFA2/NDUFB8/NDUFB4/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"9","GO:0046034","ATP metabolic process",75,-0.817801680902048,-3.04364141939189,1e-10,5.19782608695652e-09,4.62242562929062e-09,217,"tags=64%, list=9%, signal=60%","MYH8/AK2/ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/ATP5MK/NDUFV3/NDUFA9/ATP5MG/NDUFA5/NDUFS8/NDUFB7/SDHA/ATP5ME/NDUFS1/ATP5MJ/ATP5F1A/NDUFC2/NDUFA13/ATP5PF/ATP5F1B/ATP5F1C/SDHB/NDUFB11/NDUFA8/NDUFA10/ATP5MF/NDUFV1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/NDUFA7/NDUFB9/NDUFA2/NDUFB8/NDUFB4/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"10","GO:0009145","purine nucleoside triphosphate biosynthetic process",62,-0.838789754705248,-3.02631675806372,1e-10,5.19782608695652e-09,4.62242562929062e-09,200,"tags=74%, list=8%, signal=70%","ATP5PO/NDUFS6/SDHC/NDUFB5/NDUFA6/ATP5MK/NDUFV3/NDUFA9/ATP5MG/NDUFA5/NDUFS8/NDUFB7/SDHA/ATP5ME/NDUFS1/ATP5MJ/ATP5F1A/NDUFC2/NDUFA13/ATP5PF/ATP5F1B/ATP5F1C/SDHB/NDUFB11/NDUFA8/NDUFA10/ATP5MF/NDUFV1/ATP5PB/NDUFV2/NDUFS4/NDUFB3/NDUFA7/NDUFB9/NDUFA2/NDUFB8/NDUFB4/NDUFB10/NDUFS7/NDUFA11/NDUFA12/ATP5F1D/ATP5PD/NDUFB1/NDUFB6/NDUFS3"
"11","GO:0022904","respiratory electron transport chain",70,-0.809141885018218,-2.97839257988201,1e-10,5.19782608695652e-09,4.62242562929062e-09,199,"tags=67%, list=8%, signal=63%","NDUFS6/SDHC/NDUFB5/NDUFA6/NDUFV3/NDUFA9/ETFDH/NDUFA5/NDUFS8/NDUFB7/SDHA/NDUFS1/COX7A2/COX7C/GPD2/COX5A/NDUFC2/COX6C/UQCRFS1/SDHB/NDUFA4/NDUFA8/UQCRH/NDUFA10/NDUFV1/NDUFV2/NDUFS4/NDUFB3/CYC1/NDUFA7/NDUFB9/COX6B1/COX7A1/NDUFA2/NDUFB8/COX4I1/UQCRC1/NDUFB4/UQCRB/UQCRC2/NDUFB10/NDUFS7/NDUFA12/NDUFB1/SLC25A12/NDUFB6/NDUFS3"
