"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","GO:0050878","regulation of body fluid levels",70,0.685076308330968,2.64341502781565,1e-10,1.2025e-07,1.02315789473684e-07,444,"tags=59%, list=18%, signal=49%","MYL9/THBS1/COPA/C4BPB/VWF/HK2/COL3A1/VKORC1/F13A1/PF4/FLNA/GNAQ/EMILIN1/ANXA2/PRDX2/SERPING1/CD9/ANXA5/KNG1/SLC4A1/TLN1/PPIA/GNAS/SERPINF2/ACTB/AK3/F2/SERPINC1/CSRP1/GNAI2/RAP2B/PDIA3/PPP3CA/CLIC1/FGA/FGG/CD36/APOE/MYH9/PLG/NME1"
"2","GO:0007155","cell adhesion",229,0.517677252480886,2.43094724328561,1e-10,1.2025e-07,1.02315789473684e-07,466,"tags=42%, list=19%, signal=37%","MFAP4/TFRC/TGFB1I1/MYL9/THBS1/COL6A6/POSTN/BST1/LAMA5/AOC3/ITGA7/MMRN2/LGALS3BP/CORO1C/VWF/PARVB/COL3A1/PECAM1/TNXB/MCAM/APOA4/ASS1/S100A10/APOA1/BCAM/COL6A2/ITGA6/FLNA/PARVA/MBP/EMILIN1/ANXA2/FBN1/PRDX2/LIMS1/NID1/PTK2/RSU1/CD58/ACTN4/SPTA1/COL6A3/CD9/COL6A1/CTNNA1/COL5A3/KNG1/JUP/TPM1/COL1A1/COL18A1/LAMC1/LAMB1/APOD/PNP/LAMB2/ACTN1/SYMPK/LGALS1/TLN1/HSD17B12/IGFBP7/PPIA/GNAS/SERPINF2/ACTB/RPSA/HLA-DRA/HSPG2/TMOD3/FBLN5/NID2/LAMA4/CSRP1/VAMP3/CNN3/RAP2B/PDIA3/PPP3CA/HSPD1/CLIC1/FGA/FGG/CDK5/MIA3/CD36/FLOT2/MYH9/PLG/TGFBI/CD44/CD34/FLOT1/PML/ARPC2/RPS3"
"3","GO:0007596","blood coagulation",60,0.678824611688221,2.541903909831,2.09617194588589e-10,1.26032338246389e-07,1.07235743757952e-07,435,"tags=60%, list=18%, signal=51%","MYL9/THBS1/C4BPB/VWF/COL3A1/VKORC1/F13A1/PF4/FLNA/GNAQ/EMILIN1/ANXA2/PRDX2/SERPING1/CD9/ANXA5/KNG1/SLC4A1/TLN1/PPIA/GNAS/SERPINF2/ACTB/AK3/F2/SERPINC1/CSRP1/RAP2B/PDIA3/CLIC1/FGA/FGG/CD36/APOE/MYH9/PLG"
"4","GO:0050817","coagulation",60,0.678824611688221,2.541903909831,2.09617194588589e-10,1.26032338246389e-07,1.07235743757952e-07,435,"tags=60%, list=18%, signal=51%","MYL9/THBS1/C4BPB/VWF/COL3A1/VKORC1/F13A1/PF4/FLNA/GNAQ/EMILIN1/ANXA2/PRDX2/SERPING1/CD9/ANXA5/KNG1/SLC4A1/TLN1/PPIA/GNAS/SERPINF2/ACTB/AK3/F2/SERPINC1/CSRP1/RAP2B/PDIA3/CLIC1/FGA/FGG/CD36/APOE/MYH9/PLG"
"5","GO:0007599","hemostasis",61,0.676561070219711,2.54319248118288,3.23692249682767e-10,1.55695972097411e-07,1.32475312291221e-07,435,"tags=59%, list=18%, signal=50%","MYL9/THBS1/C4BPB/VWF/COL3A1/VKORC1/F13A1/PF4/FLNA/GNAQ/EMILIN1/ANXA2/PRDX2/SERPING1/CD9/ANXA5/KNG1/SLC4A1/TLN1/PPIA/GNAS/SERPINF2/ACTB/AK3/F2/SERPINC1/CSRP1/RAP2B/PDIA3/CLIC1/FGA/FGG/CD36/APOE/MYH9/PLG"
"6","GO:0030155","regulation of cell adhesion",132,0.51585093829289,2.24813801877493,3.0563643562247e-09,1.22509271278673e-06,1.04238110675453e-06,466,"tags=40%, list=19%, signal=34%","TFRC/THBS1/POSTN/BST1/LAMA5/CORO1C/TNXB/ASS1/S100A10/APOA1/ITGA6/FLNA/MBP/EMILIN1/PRDX2/LIMS1/NID1/PTK2/RSU1/ACTN4/SPTA1/CD9/KNG1/JUP/TPM1/COL1A1/LAMC1/LAMB1/APOD/PNP/LAMB2/LGALS1/TLN1/HSD17B12/SERPINF2/ACTB/HLA-DRA/HSPG2/LAMA4/PPP3CA/HSPD1/FGA/FGG/MIA3/CD36/FLOT2/PLG/TGFBI/CD44/FLOT1/PML/ARPC2/RPS3"
"7","GO:0042060","wound healing",102,0.554635633002516,2.26625549484981,4.2325347068555e-09,1.4541779957125e-06,1.23730037144768e-06,446,"tags=47%, list=18%, signal=40%","MYL9/THBS1/C4BPB/VWF/COL3A1/VKORC1/MCAM/CHMP4A/S100A10/F13A1/PF4/FLNA/GNAQ/EMILIN1/ANXA2/PRDX2/PTK2/SERPING1/MYLK/CD9/ANXA5/KNG1/TPM1/AHNAK/SLC4A1/TLN1/CORO1B/PPIA/GNAS/SERPINF2/ACTB/AK3/F2/SERPINC1/CSRP1/RAP2B/PDIA3/PPP3CA/CLIC1/FGA/FGG/MIA3/CD36/APOE/MYH9/PLG/CD44/CD34"
"8","GO:0048738","cardiac muscle tissue development",50,-0.670633432722356,-2.37169328387894,6.01351683842321e-09,1.80781349955098e-06,1.53819430709141e-06,319,"tags=46%, list=13%, signal=41%","PLEC/MAP2K4/MYLK3/NDUFV2/MYLK2/ASB2/PDLIM5/MAPK14/MYO18B/ACTN2/SGCG/CSRP3/NRAP/KDM6B/TTN/MYH7/EGLN1/NEB/TNNC1/ACTC1/TNNI1/MYL3/MYL2"
"9","GO:0009611","response to wounding",121,0.516707744264449,2.21600595650771,1.65797310579412e-08,4.43047257714985e-06,3.76970727212137e-06,446,"tags=44%, list=18%, signal=38%","MYL9/THBS1/C4BPB/VWF/COL3A1/VKORC1/MCAM/CHMP4A/APOA4/S100A10/F13A1/PF4/FLNA/GNAQ/EMILIN1/ANXA2/PRDX2/MAP1B/PTK2/SERPING1/MYLK/CD9/ANXA5/CTNNA1/KNG1/TPM1/AHNAK/APOD/LAMB2/SLC4A1/TLN1/CORO1B/PPIA/GNAS/SERPINF2/ACTB/AK3/F2/SERPINC1/CSRP1/RAP2B/PDIA3/PPP3CA/CLIC1/FGA/FGG/MIA3/CD36/APOE/MYH9/PLG/CD44/CD34"
"10","GO:0014706","striated muscle tissue development",54,-0.650954839761242,-2.31973423008942,1.86752831192147e-08,4.49140559017114e-06,3.82155267197404e-06,319,"tags=44%, list=13%, signal=39%","PLEC/MAP2K4/SIRT2/MYLK3/NDUFV2/MYLK2/ASB2/PDLIM5/MAPK14/MYO18B/ACTN2/SGCG/CSRP3/NRAP/KDM6B/TTN/MYH7/EGLN1/NEB/TNNC1/ACTC1/TNNI1/MYL3/MYL2"
