"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","GO:0006119","oxidative phosphorylation",87,-0.762742151203775,-2.78397090064301,1e-10,6.87941176470588e-09,5.98142414860681e-09,226,"tags=62%, list=10%, signal=58%","ATP5MG/PPIF/ATP5F1A/NDUFB9/COX6C/NDUFC2/NDUFV1/ATP5F1B/ATP5PO/UQCC2/ATP5PF/CHCHD10/NDUFA7/NDUFA10/NDUFB7/UQCRFS1/NIPSNAP2/COX5A/SDHA/ATP5F1C/NDUFA5/ATP5F1D/NDUFB8/NDUFS8/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NDUFA2/NDUFS4/ATP5ME/UQCRB/UQCRC1/ATP5PB/COX7A2/NDUFB10/ACTN3/NDUFS6/UQCRH/COX6B1/NDUFS7/NDUFB3/NDUFA11/ATP5PD/COX4I1/NDUFS3/CYC1/COX7A1/UQCRC2/NDUFA12/NDUFA8/NDUFA4/SDHB"
"2","GO:0045333","cellular respiration",130,-0.717618057127905,-2.75444237250602,1e-10,6.87941176470588e-09,5.98142414860681e-09,231,"tags=58%, list=10%, signal=56%","COX5B/UQCR10/SIRT3/DLD/SUCLA2/NDUFS1/NDUFS2/SUCLG1/MRPS36/ATP5MG/PPIF/LYRM7/ATP5F1A/IDH2/NDUFB9/COX6C/NDUFC2/NDUFV1/ATP5F1B/ATP5PO/OGDH/GPD2/UQCC2/ATP5PF/CHCHD10/NDUFA7/NDUFA10/NDUFB7/PDHA1/UQCRFS1/DLAT/NIPSNAP2/COX5A/SDHA/ATP5F1C/NDUFA5/ATP5F1D/NDUFB8/NDUFS8/PDHB/ETFDH/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NNT/NDUFA2/NDUFS4/ATP5ME/COQ10A/UQCRB/UQCRC1/DLST/ATP5PB/COX7A2/NDUFB10/ACTN3/NDUFS6/UQCRH/COX6B1/NDUFS7/NDUFB3/NDUFA11/ATP5PD/COX4I1/CISD1/NDUFS3/CYC1/COX7A1/UQCRC2/NDUFA12/NDUFA8/NDUFA4/SDHB/SLC25A12"
"3","GO:0009060","aerobic respiration",117,-0.72269490181242,-2.7504964225396,1e-10,6.87941176470588e-09,5.98142414860681e-09,355,"tags=60%, list=15%, signal=53%","COX5B/UQCR10/SIRT3/DLD/SUCLA2/NDUFS1/NDUFS2/SUCLG1/MRPS36/ATP5MG/PPIF/ATP5F1A/IDH2/NDUFB9/COX6C/NDUFC2/NDUFV1/ATP5F1B/ATP5PO/OGDH/UQCC2/ATP5PF/CHCHD10/NDUFA7/NDUFA10/NDUFB7/PDHA1/UQCRFS1/DLAT/NIPSNAP2/COX5A/SDHA/ATP5F1C/NDUFA5/ATP5F1D/NDUFB8/NDUFS8/PDHB/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NNT/NDUFA2/NDUFS4/ATP5ME/UQCRB/UQCRC1/DLST/ATP5PB/COX7A2/NDUFB10/ACTN3/NDUFS6/UQCRH/COX6B1/NDUFS7/NDUFB3/NDUFA11/ATP5PD/COX4I1/NDUFS3/CYC1/COX7A1/UQCRC2/NDUFA12/NDUFA8/NDUFA4/SDHB"
"4","GO:0015980","energy derivation by oxidation of organic compounds",154,-0.699889736366844,-2.73944755495752,1e-10,6.87941176470588e-09,5.98142414860681e-09,355,"tags=56%, list=15%, signal=51%","COX5B/UQCR10/SIRT3/DLD/SORBS1/PYGB/SUCLA2/NDUFS1/NDUFS2/SUCLG1/PYGL/MRPS36/ATP5MG/PPIF/LYRM7/ATP5F1A/IDH2/NDUFB9/COX6C/PYGM/NDUFC2/NDUFV1/ATP5F1B/PPP1R3A/ATP5PO/OGDH/GPD2/UQCC2/ATP5PF/CHCHD10/NDUFA7/NDUFA10/NDUFB7/PDHA1/UQCRFS1/PHKA1/DLAT/NIPSNAP2/COX5A/AGL/SDHA/ATP5F1C/NDUFA5/ATP5F1D/NDUFB8/NDUFS8/PDHB/ETFDH/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NNT/NDUFA2/PRKAG3/NDUFS4/ATP5ME/COQ10A/UQCRB/UQCRC1/DLST/ATP5PB/COX7A2/NDUFB10/ACTN3/PHKB/NDUFS6/UQCRH/COX6B1/NDUFS7/NDUFB3/NDUFA11/ATP5PD/COX4I1/PHKG1/CISD1/NDUFS3/CYC1/COX7A1/UQCRC2/NDUFA12/NDUFA8/NDUFA4/SDHB/SLC25A12"
"5","GO:0022904","respiratory electron transport chain",69,-0.758922368205206,-2.68222676414602,1e-10,6.87941176470588e-09,5.98142414860681e-09,186,"tags=59%, list=8%, signal=56%","NDUFB9/COX6C/NDUFC2/NDUFV1/GPD2/NDUFA7/NDUFA10/NDUFB7/UQCRFS1/COX5A/SDHA/NDUFA5/NDUFB8/NDUFS8/ETFDH/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NDUFA2/NDUFS4/UQCRB/UQCRC1/COX7A2/NDUFB10/NDUFS6/UQCRH/COX6B1/NDUFS7/NDUFB3/COX4I1/NDUFS3/CYC1/COX7A1/UQCRC2/NDUFA12/NDUFA8/NDUFA4/SDHB/SLC25A12"
"6","GO:0042773","ATP synthesis coupled electron transport",61,-0.769375403473003,-2.67413150981244,1e-10,6.87941176470588e-09,5.98142414860681e-09,186,"tags=62%, list=8%, signal=59%","NDUFB9/COX6C/NDUFC2/NDUFV1/NDUFA7/NDUFA10/NDUFB7/UQCRFS1/COX5A/SDHA/NDUFA5/NDUFB8/NDUFS8/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NDUFA2/NDUFS4/UQCRB/UQCRC1/COX7A2/NDUFB10/NDUFS6/UQCRH/COX6B1/NDUFS7/NDUFB3/COX4I1/NDUFS3/CYC1/COX7A1/UQCRC2/NDUFA12/NDUFA8/NDUFA4/SDHB"
"7","GO:0042775","mitochondrial ATP synthesis coupled electron transport",61,-0.769375403473003,-2.67413150981244,1e-10,6.87941176470588e-09,5.98142414860681e-09,186,"tags=62%, list=8%, signal=59%","NDUFB9/COX6C/NDUFC2/NDUFV1/NDUFA7/NDUFA10/NDUFB7/UQCRFS1/COX5A/SDHA/NDUFA5/NDUFB8/NDUFS8/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NDUFA2/NDUFS4/UQCRB/UQCRC1/COX7A2/NDUFB10/NDUFS6/UQCRH/COX6B1/NDUFS7/NDUFB3/COX4I1/NDUFS3/CYC1/COX7A1/UQCRC2/NDUFA12/NDUFA8/NDUFA4/SDHB"
"8","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",49,-0.793781774541305,-2.66934979175326,1e-10,6.87941176470588e-09,5.98142414860681e-09,226,"tags=73%, list=10%, signal=68%","ATP5MG/ATP5F1A/NDUFB9/NDUFC2/NDUFV1/ATP5F1B/ATP5PO/ATP5PF/NDUFA7/NDUFA10/NDUFB7/SDHA/ATP5F1C/NDUFA5/ATP5F1D/NDUFB8/NDUFS8/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NDUFA2/NDUFS4/ATP5ME/ATP5PB/NDUFB10/NDUFS6/NDUFS7/NDUFB3/NDUFA11/ATP5PD/NDUFS3/NDUFA12/NDUFA8/SDHB"
"9","GO:0015986","proton motive force-driven ATP synthesis",52,-0.781069762832079,-2.6615449469081,1e-10,6.87941176470588e-09,5.98142414860681e-09,226,"tags=69%, list=10%, signal=64%","ATP5MG/ATP5F1A/NDUFB9/NDUFC2/NDUFV1/ATP5F1B/ATP5PO/ATP5PF/NDUFA7/NDUFA10/NDUFB7/SDHA/ATP5F1C/NDUFA5/ATP5F1D/NDUFB8/NDUFS8/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NDUFA2/NDUFS4/ATP5ME/ATP5PB/NDUFB10/NDUFS6/NDUFS7/NDUFB3/NDUFA11/ATP5PD/NDUFS3/NDUFA12/NDUFA8/SDHB"
"10","GO:0019646","aerobic electron transport chain",57,-0.774171019486259,-2.65339983537768,1e-10,6.87941176470588e-09,5.98142414860681e-09,186,"tags=65%, list=8%, signal=61%","NDUFB9/COX6C/NDUFC2/NDUFV1/NDUFA7/NDUFA10/NDUFB7/UQCRFS1/COX5A/SDHA/NDUFA5/NDUFB8/NDUFS8/NDUFA9/NDUFB1/NDUFB4/NDUFB6/NDUFV2/NDUFA2/NDUFS4/UQCRB/UQCRC1/COX7A2/NDUFB10/NDUFS6/UQCRH/COX6B1/NDUFS7/NDUFB3/COX4I1/NDUFS3/CYC1/COX7A1/UQCRC2/NDUFA8/NDUFA4/SDHB"
