Protein	Enrich	Rank	X
RPLP1	1.10	1	1
RPL29	0.68	2	1
RPL38	0.58	3	1
RPLP0	0.56	4	1
RPS25	0.54	5	1
RPS13	0.50	6	1
RPL37A	0.47	7	1
RPS23	0.45	8	1
RPS2	0.37	9	1
RPS24	0.36	10	1
RPL4	0.35	11	1
RPS16	0.33	12	1
RPL10	0.32	13	1
RPL30	0.31	14	1
RPL27	0.28	15	1
UBA52	0.28	16	1
RPL32	0.25	17	1
RPL18A	0.23	18	1
RPL39	0.22	19	1
RPS15A	0.20	20	1
RPL35	0.20	21	1
RPL14	0.20	22	1
RPL19	0.19	23	1
RPL12	0.17	24	1
RACK1	0.17	25	1
RPS29	0.17	26	1
RPS5	0.14	27	1
RPL23A	0.13	28	1
RPS21	0.09	29	1
RPL7	0.08	30	1
RPL22	0.06	31	1
RPLP2	0.06	32	1
RPL41	0.06	33	1
RPL23	0.05	34	1
RPS15	0.00	35	1
RPL37	0.00	36	1
RPL13	0.00	37	1
RPS17	-0.01	38	1
RPL21	-0.03	39	1
RPL24	-0.04	40	1
FAU	-0.05	41	1
RPS11	-0.06	42	1
RPS14	-0.06	43	1
RPL6	-0.07	44	1
RPL13A	-0.08	45	1
RPL26	-0.08	46	1
RPL7A	-0.08	47	1
RPL10A	-0.08	48	1
RPS28	-0.10	49	1
RPS20	-0.12	50	1
RPS26	-0.13	51	1
RPS18	-0.18	52	1
RPL36A	-0.18	53	1
RPS8	-0.21	54	1
RPS27	-0.21	55	1
RPS3A	-0.25	56	1
RPL27A	-0.26	57	1
RPS9	-0.27	58	1
RPL31	-0.31	59	1
RPL5	-0.31	60	1
RPS10	-0.33	61	1
RPL9	-0.34	62	1
RPS12	-0.38	63	1
RPS3	-0.39	64	1
RPL15	-0.40	65	1
RPS7	-0.43	66	1
RPSA	-0.44	67	1
RPL35A	-0.44	68	1
RPL11	-0.50	69	1
RPS6	-0.54	70	1
RPL34	-0.55	71	1
RPS19	-0.57	72	1
RPL36	-0.58	73	1
RPL18	-0.59	74	1
RPS27A	-0.63	75	1
RPL28	-0.68	76	1
RPL17	-0.76	77	1
RPL3	-2.24	78	1
