Genes,actin_A1,actin_A2,actin_A3,control_C1,control_C2,control_C3,troponin_T1,troponin_T2,troponin_T3
IGKV3-7,11.298325717759159,11.713711871869346,11.244928671068275,10.190069568180618,10.250516637346852,10.8778661756273,11.45910882049775,11.78297674657441,11.381499691314392
IGKV2D-24,11.008880203208268,10.7290989248013,11.37160786636669,10.398925353209354,9.707288989716748,10.458406613236532,9.538717103877532,11.201407197150004,10.637284722525902
IGKV3D-11,13.620781120823242,14.659847715334077,13.738841708864918,12.748155114890299,12.861348161036625,12.887386279753363,13.470430098780707,14.857899525760548,13.882719461270488
IGHV3-49,9.735202001501385,9.146445045873753,9.391548639372377,8.390491430226238,8.885728068977894,9.062402481975782,9.148362178916695,10.25726997063565,8.74994985414683
IGLV1-36,8.37173186498759,9.301850537725654,7.188321792604129,7.087354305695845,9.317952957883492,7.776985658098731,8.403681006175718,10.646810687282231,NA
GATD3B,13.975360815631547,14.361199380244155,14.055765399866875,13.759845067867685,15.047690549523988,15.017964922141985,13.807686977426227,12.783351365268377,13.727210181378465
IGKV3D-20,13.281876477252784,15.453830058650237,12.891250703826952,11.928398870782495,11.872892646919711,12.279340703360395,12.160096620947993,13.24086435929817,12.511572991260653
IGHV1-18,11.060578441992217,12.163493684483926,12.414603322224908,10.213719117962679,10.046250940275339,11.11573946236376,12.655324992517707,13.625400639528074,11.855877224590952
IGHV5-51,11.004452234148198,11.336992103063068,10.652558197661197,10.622335570397189,10.88897226259591,11.410493344358224,11.658189163658347,12.325759476987002,10.612010352878926
IGHV4-61,11.340629025951822,11.886874565234558,11.763685312151129,10.503229459813719,10.169987617055737,11.360790701131101,12.058313112917288,13.00160347282187,11.835525427951374
UBA6,9.245131957886196,9.959400727316511,9.28973304516686,8.865435371476408,9.116213982856292,9.35360632629163,9.599176433607882,9.488309723996055,10.118656283564395
ESYT2,8.280319259095053,7.4113544701415295,8.173303424172426,7.876963758867305,7.625402009467243,7.718514545551123,7.888688461970366,8.439219560897675,9.575834184478078
TMEM223,9.971960208482503,10.033023727244224,10.152759330350923,10.16984403902417,10.051086511478111,9.993334704293833,10.036352220883021,9.990302551276304,10.579589363669117
ARHGAP10,9.163257189456596,8.73673047326771,9.359115572532797,8.901910724107186,8.738389552555288,8.802390345940921,8.796416056055312,10.033426473521073,9.891395337724434
ILVBL,NA,NA,NA,7.731101761765281,7.720387003269553,7.2950066411740515,NA,NA,NA
NDUFAF8,7.689337678190686,8.078878114484592,8.208795229621929,7.763238929424474,8.422751118002992,8.342981346941437,8.5432251980507,7.845571592272714,7.355218935100609
FSD2,7.2154123344054035,7.752454243031376,7.233514226756832,7.453731564207094,7.491299957205561,7.929857808708089,6.636234532669094,7.4396813095714345,NA
FRMD3,7.770267448285566,7.986245948861926,8.470923191432236,7.9229767980737416,8.410387748557223,8.56617964994889,8.180897659717102,8.182293097477183,8.782755828894675
VWA8,9.44741911326637,9.635904750971617,9.295830910441882,9.209533783888173,9.621605027449505,9.765267862876803,9.555656175582069,9.546338876758115,NA
XIRP2,11.264577480043052,11.018693977362187,11.525971631365964,11.09784120283275,10.65965702438116,10.820178962415188,10.793518271563887,11.598867826849483,11.54236469411679
POTEF,12.664265267140644,12.337148901564483,12.749083774139455,12.793245639133675,12.75910555680286,12.685602940728321,12.640088007656765,13.292607190459062,11.730430950040132
VPS37C,9.930171086902275,9.873550234366828,10.080605132199054,9.737959781154096,10.065793084597926,10.249901501072124,9.960783904165156,9.703798048725194,10.118649664944652
CARNS1,9.153597629777217,9.176085861546593,9.843945189623584,8.539609756278457,9.26470296559196,9.350302753025419,9.06005900542986,9.332279549165367,10.28894679824859
MAP1LC3B2,11.100110382870998,11.376065682828328,11.192970845093564,10.94820342097809,10.623570609680469,10.98580819368805,11.39628367088468,11.341599210174142,12.189131994312223
PGP,10.503635795957509,10.635899465946382,11.016355633778836,10.38278087935845,10.920799441099158,10.706521918996385,10.772529023797489,10.672955647083473,11.202980392851963
LRRC14B,10.36414426358716,10.288162430197955,10.366223845321322,10.724360366759798,10.204461103990258,10.421801860469873,10.508517788174581,10.398551319774311,NA
COL6A6,8.20552305658443,8.368845041274671,9.586729095799443,6.967513042205519,7.326501395363403,8.432754843997975,10.212484225892469,10.426516365615893,11.417605216209445
DHRS7C,9.31249436422215,8.854279344317048,9.37581396522769,9.434721237268729,9.405607391156378,9.089804439368123,9.694579019663989,9.894979705230522,9.587555550834924
MYH7B,10.078844629235235,10.568577439711083,9.928869198401895,10.416579104878073,10.403842878914297,11.366889738071427,9.632435199556493,NA,NA
SMTNL1,13.300681448154094,13.547133750723678,13.657492015801516,12.683189825729377,11.705140473091895,12.331748316333615,12.726929111847456,11.559584912577543,13.466661333643312
PRR33,13.383951576192796,12.829286689926198,12.776127252561713,13.046862703521358,13.012294552723231,13.475353457730131,12.338819933921346,12.39305690325584,12.59700561419254
C4orf54,8.94509986374309,8.837839197631629,8.669759150849742,8.528446296552477,8.427922310650317,8.7341439457922,8.488008338407063,9.301186427971123,10.501787435939693
PROB1,13.246632280968155,13.38722809816366,12.646980694429963,13.457957944272914,13.402238018648788,12.917921964406954,13.266555621898618,12.698825035325978,12.171264382723251
NACA,11.462302878568675,11.408728409996298,11.634471477317584,11.266129542619982,11.262834549000026,11.391672916233542,11.367668823992506,11.744812819062044,11.730426217603485
SLC35A4,10.255006028817792,10.38520451974171,9.67774254138055,10.480188135223333,10.030709950851659,10.13490115058243,10.484581250292921,10.163712564577152,11.564478204046553
AGPS,9.482032841267795,9.491954254807197,9.43078705086501,9.410550990483323,9.180863937575612,9.37182890706069,9.514945169043159,10.111274170049299,9.998667200826043
PDLIM1,14.064313327318631,13.865566502075398,14.14437958807499,14.00143826011341,12.67527717696645,12.496200041343418,12.337195385432654,12.875538191137197,12.46327913514142
MYO1C,10.248822149931154,10.706654955597877,10.522993390827079,10.333088246655128,9.9489993673188,10.294368025396889,10.365545016167841,11.791394906063509,10.85331429425667
SNAP23,9.662658873770782,9.445608774496579,9.423920568738309,9.4155263587324,9.29873439074088,9.741321809135872,9.47418048252921,10.311941266819604,9.888774796519233
HAX1,9.909383101424918,9.697636572992355,9.722744358524322,9.975690366097389,10.478830278118165,10.448302181128078,10.092857926742546,10.5346725074646,10.670452664288863
FXYD1,9.625095110598512,NA,NA,7.732995873714323,8.20239813025475,9.027554953347009,NA,9.78118704710667,9.037250422891498
STXBP3,10.144471915093469,10.04042672259658,10.256586122727096,9.964984810134537,9.975762005463235,10.243269207725708,10.173357978205377,10.319322128995804,10.525804622127849
NDUFS8,12.839977296789893,13.042196502815981,12.787156975172081,13.493896360322854,13.765698801684177,13.444031325413516,13.109772622596742,12.679637288233513,12.634440150167515
PSMD11,11.934288323036089,11.79091910087108,12.28194716634982,11.999915464610801,11.97369418811647,11.921844595264664,11.958351490362926,11.91790979778412,11.969338854218162
PSMD12,11.060770225867495,10.905274819379091,11.063644370947989,10.962783269791434,10.95676092142365,10.953198820851258,10.98349244422709,11.01339305143888,10.802055857044465
