"","...1","order_7","order_2","order_1","fiber_ID","MYHs","values"
"1",1,165,933,685,"P5_fibNumberE6","MYH7",98.9526346491455
"2",2,165,933,685,"P5_fibNumberE6","MYH2",0.5291975503898
"3",3,165,933,685,"P5_fibNumberE6","MYH1",0.518167800464734
"4",4,492,351,691,"P5_fibNumber99","MYH7",25.4510724795856
"5",5,492,351,691,"P5_fibNumber99","MYH2",74.0372173264586
"6",6,492,351,691,"P5_fibNumber99","MYH1",0.51171019395581
"7",7,901,480,111,"P5_fibNumber98","MYH7",10.0561620716298
"8",8,901,480,111,"P5_fibNumber98","MYH2",62.6391304387771
"9",9,901,480,111,"P5_fibNumber98","MYH1",27.3047074895931
"10",10,46,934,1032,"P5_fibNumber97","MYH7",99.4711344710753
"11",11,46,934,1032,"P5_fibNumber97","MYH2",0.5288655289247
"12",12,46,934,1032,"P5_fibNumber97","MYH1",0
"13",13,256,940,449,"P5_fibNumber96","MYH7",98.0203284348364
"14",14,256,940,449,"P5_fibNumber96","MYH2",0.516182404150998
"15",15,256,940,449,"P5_fibNumber96","MYH1",1.4634891610126
"16",16,723,147,548,"P5_fibNumber95","MYH7",14.4606273610858
"17",17,723,147,548,"P5_fibNumber95","MYH2",84.5907136832176
"18",18,723,147,548,"P5_fibNumber95","MYH1",0.948658955696676
"19",19,291,743,778,"P5_fibNumber94","MYH7",97.0136136358182
"20",20,291,743,778,"P5_fibNumber94","MYH2",2.65994189768466
"21",21,291,743,778,"P5_fibNumber94","MYH1",0.326444466497121
"22",22,516,310,700,"P5_fibNumber93","MYH7",23.2146936023964
"23",23,516,310,700,"P5_fibNumber93","MYH2",76.3078599964378
"24",24,516,310,700,"P5_fibNumber93","MYH1",0.477446401165849
"25",25,361,670,735,"P5_fibNumber92","MYH7",81.0818171697344
"26",26,361,670,735,"P5_fibNumber92","MYH2",18.5112145382361
"27",27,361,670,735,"P5_fibNumber92","MYH1",0.406968292029474
"28",28,337,700,815,"P5_fibNumber91","MYH7",92.1295662727674
"29",29,337,700,815,"P5_fibNumber91","MYH2",7.59476160835096
"30",30,337,700,815,"P5_fibNumber91","MYH1",0.275672118881646
"31",31,426,520,226,"P5_fibNumber90","MYH7",35.383505359126
"32",32,426,520,226,"P5_fibNumber90","MYH2",56.2797929115124
"33",33,426,520,226,"P5_fibNumber90","MYH1",8.33670172936158
"34",34,324,713,654,"P5_fibNumber9","MYH7",94.3007416463982
"35",35,324,713,654,"P5_fibNumber9","MYH2",5.07020411824904
"36",36,324,713,654,"P5_fibNumber9","MYH1",0.629054235352757
"37",37,858,106,365,"P5_fibNumber89","MYH7",10.9696841270745
"38",38,858,106,365,"P5_fibNumber89","MYH2",86.4331654272258
"39",39,858,106,365,"P5_fibNumber89","MYH1",2.5971504456997
"40",40,982,31,392,"P5_fibNumber88","MYH7",8.29365582838694
"41",41,982,31,392,"P5_fibNumber88","MYH2",89.7972014691681
"42",42,982,31,392,"P5_fibNumber88","MYH1",1.90914270244498
"43",43,357,675,762,"P5_fibNumber87","MYH7",83.6905070048369
"44",44,357,675,762,"P5_fibNumber87","MYH2",15.9537341709044
"45",45,357,675,762,"P5_fibNumber87","MYH1",0.355758824258698
"46",46,923,329,178,"P5_fibNumber86","MYH7",9.61245406237772
"47",47,923,329,178,"P5_fibNumber86","MYH2",75.3037592746404
"48",48,923,329,178,"P5_fibNumber86","MYH1",15.0837866629819
"49",49,436,437,588,"P5_fibNumber85","MYH7",31.8582453292661
"50",50,436,437,588,"P5_fibNumber85","MYH2",67.3364380247373
"51",51,436,437,588,"P5_fibNumber85","MYH1",0.805316645996581
"52",52,52,929,1031,"P5_fibNumber84","MYH7",99.4515988226489
"53",53,52,929,1031,"P5_fibNumber84","MYH2",0.548401177351069
"54",54,52,929,1031,"P5_fibNumber84","MYH1",0
"55",55,830,383,171,"P5_fibNumber83","MYH7",11.4147869482372
"56",56,830,383,171,"P5_fibNumber83","MYH2",72.3772860656341
"57",57,830,383,171,"P5_fibNumber83","MYH1",16.2079269861287
"58",58,779,150,359,"P5_fibNumber82","MYH7",12.8094913961786
"59",59,779,150,359,"P5_fibNumber82","MYH2",84.4520101206507
"60",60,779,150,359,"P5_fibNumber82","MYH1",2.73849848317075
"61",61,230,800,806,"P5_fibNumber81","MYH7",98.4371351123494
"62",62,230,800,806,"P5_fibNumber81","MYH2",1.27951122132708
"63",63,230,800,806,"P5_fibNumber81","MYH1",0.283353666323577
"64",64,218,832,732,"P5_fibNumber80","MYH7",98.5747764418112
"65",65,218,832,732,"P5_fibNumber80","MYH2",1.01373457225013
"66",66,218,832,732,"P5_fibNumber80","MYH1",0.411488985938636
"67",67,57,966,965,"P5_fibNumber8","MYH7",99.4220925030638
"68",68,57,966,965,"P5_fibNumber8","MYH2",0.449850160259874
"69",69,57,966,965,"P5_fibNumber8","MYH1",0.128057336676323
"70",70,683,186,432,"P5_fibNumber79","MYH7",15.8779809409549
"71",71,683,186,432,"P5_fibNumber79","MYH2",82.5601937586492
"72",72,683,186,432,"P5_fibNumber79","MYH1",1.56182530039586
"73",73,353,682,721,"P5_fibNumber78","MYH7",86.7813150608906
"74",74,353,682,721,"P5_fibNumber78","MYH2",12.7901526823716
"75",75,353,682,721,"P5_fibNumber78","MYH1",0.428532256737823
"76",76,695,306,232,"P5_fibNumber77","MYH7",15.4794513903373
"77",77,695,306,232,"P5_fibNumber77","MYH2",76.7648854337663
"78",78,695,306,232,"P5_fibNumber77","MYH1",7.75566317589643
"79",79,385,640,686,"P5_fibNumber76","MYH7",62.9041454235578
"80",80,385,640,686,"P5_fibNumber76","MYH2",36.5791818999592
"81",81,385,640,686,"P5_fibNumber76","MYH1",0.516672676482943
"82",82,813,79,684,"P5_fibNumber75","MYH7",11.863573339227
"83",83,813,79,684,"P5_fibNumber75","MYH2",87.612262006407
"84",84,813,79,684,"P5_fibNumber75","MYH1",0.524164654366008
"85",85,660,190,622,"P5_fibNumber74","MYH7",16.9879152426004
"86",86,660,190,622,"P5_fibNumber74","MYH2",82.3227549004039
"87",87,660,190,622,"P5_fibNumber74","MYH1",0.689329856995707
"88",88,228,789,947,"P5_fibNumber73","MYH7",98.4497524048832
"89",89,228,789,947,"P5_fibNumber73","MYH2",1.40899191300597
"90",90,228,789,947,"P5_fibNumber73","MYH1",0.141255682110826
"91",91,387,636,553,"P5_fibNumber72","MYH7",61.9526829742052
"92",92,387,636,553,"P5_fibNumber72","MYH2",37.112313794438
"93",93,387,636,553,"P5_fibNumber72","MYH1",0.935003231356733
"94",94,454,402,744,"P5_fibNumber71","MYH7",29.0603194844213
"95",95,454,402,744,"P5_fibNumber71","MYH2",70.5516478183818
"96",96,454,402,744,"P5_fibNumber71","MYH1",0.388032697196879
"97",97,270,763,763,"P5_fibNumber70","MYH7",97.6940861097537
"98",98,270,763,763,"P5_fibNumber70","MYH2",1.95412077719501
"99",99,270,763,763,"P5_fibNumber70","MYH1",0.351793113051276
"100",100,916,442,136,"P5_fibNumber7","MYH7",9.74684875344548
"101",101,916,442,136,"P5_fibNumber7","MYH2",67.0618619431912
"102",102,916,442,136,"P5_fibNumber7","MYH1",23.1912893033633
"103",103,931,30,630,"P5_fibNumber69","MYH7",9.48374085093979
"104",104,931,30,630,"P5_fibNumber69","MYH2",89.8401644292145
"105",105,931,30,630,"P5_fibNumber69","MYH1",0.676094719845748
"106",106,610,235,566,"P5_fibNumber68","MYH7",18.7587873123977
"107",107,610,235,566,"P5_fibNumber68","MYH2",80.3627241623853
"108",108,610,235,566,"P5_fibNumber68","MYH1",0.878488525216963
"109",109,351,683,726,"P5_fibNumber67","MYH7",86.9326347986451
"110",110,351,683,726,"P5_fibNumber67","MYH2",12.6458249766521
"111",111,351,683,726,"P5_fibNumber67","MYH1",0.421540224702808
"112",112,939,48,426,"P5_fibNumber66","MYH7",9.27288011942407
"113",113,939,48,426,"P5_fibNumber66","MYH2",89.1073959529333
"114",114,939,48,426,"P5_fibNumber66","MYH1",1.61972392764261
"115",115,378,656,866,"P5_fibNumber65","MYH7",68.951923748052
"116",116,378,656,866,"P5_fibNumber65","MYH2",30.838062764146
"117",117,378,656,866,"P5_fibNumber65","MYH1",0.210013487802062
"118",118,274,760,742,"P5_fibNumber64","MYH7",97.5164402480653
"119",119,274,760,742,"P5_fibNumber64","MYH2",2.08785536332131
"120",120,274,760,742,"P5_fibNumber64","MYH1",0.395704388613346
"121",121,183,848,826,"P5_fibNumber63","MYH7",98.8581110367043
"122",122,183,848,826,"P5_fibNumber63","MYH2",0.883437596434815
"123",123,183,848,826,"P5_fibNumber63","MYH1",0.258451366860895
"124",124,717,162,446,"P5_fibNumber62","MYH7",14.7002126680513
"125",125,717,162,446,"P5_fibNumber62","MYH2",83.8162812981093
"126",126,717,162,446,"P5_fibNumber62","MYH1",1.48350603383936
"127",127,300,731,863,"P5_fibNumber61","MYH7",96.3074888007418
"128",128,300,731,863,"P5_fibNumber61","MYH2",3.47818767470583
"129",129,300,731,863,"P5_fibNumber61","MYH1",0.214323524552387
"130",130,655,240,358,"P5_fibNumber60","MYH7",17.0589404238313
"131",131,655,240,358,"P5_fibNumber60","MYH2",80.1637344507226
"132",132,655,240,358,"P5_fibNumber60","MYH1",2.77732512544609
"133",133,114,892,1007,"P5_fibNumber6","MYH7",99.2198451427436
"134",134,114,892,1007,"P5_fibNumber6","MYH2",0.689796675559803
