,Gene_name,C2_266,A3_154,T3_41,T3_46,C1_214,C3_111,T2_178,A1_51,C2_257,T1_141,A1_71,C2_258,T3_48,T3_33,A3_156,A2_19,T3_39,C2_247,T3_34,T3_32,T2_179,T2_180,T2_197,T1_134,C3_119,C2_262,A1_77,T3_42,A2_4,C3_110,T1_123,C3_87,C3_99,C3_104,T1_139,C2_249,T1_130,A3_157,A1_52,T2_187,C3_108,C2_243,C2_256,T2_193,T2_186,A2_13,C3_102,C3_84,C3_120,C1_210,T2_198,C3_116,T1_138,C2_241,A2_30,C3_112,T1_133,A1_74,A3_169,A3_166,C3_103,C2_251,T2_185,T1_124,C1_216,C1_236,A1_70,T1_127,C3_85,T1_131,A1_60,A3_155,C3_113,C1_208,A1_53,A2_21,C3_101,C3_86,T2_188,A1_66,C2_265,A2_29,T2_189,C2_239,T1_144,A3_176,C3_88,A1_54,T2_192,A3_149,C1_222,T1_145,A1_73,C3_107,A2_18,A2_25,A3_167,C2_261,A1_78,A3_153,A2_8,C1_205,C2_255,C1_234,C1_209,A1_59,A1_76,C1_231,A2_22,A2_6,C1_226,C2_238,C3_105,C1_218,A1_75,C1_206,A1_68,C3_117,T1_126,C1_201,T2_196,T2_194,A3_174,C1_229,A3_162,C1_224,C2_252,C1_203,A2_2,A1_55,A2_10,A1_67,C3_92,C1_207,A1_80,C2_240,C3_82,C1_228,A2_23,A2_12,T1_128,A2_26,T2_191,A1_69,C3_91,T1_143,A1_62,C1_230,C3_95,A1_61,C1_232,C2_254,T1_132,A3_158,C2_264,A3_151,A3_173,C2_268,C2_260,C1_202,T1_140,A3_175,A2_9,C2_242,T1_146,A1_56,A2_14,T1_136,T2_190,C1_211,C3_97,A1_58,A3_160,A2_24,A3_168,A3_150,C3_100,C3_118,A3_159,A2_5,C2_270,T2_199,T3_47,A1_63,A1_64,C1_235,A3_163,T2_183,C3_89,T3_31,C2_246,C3_122,T3_45,C2_263,C1_212,C3_96,A3_165,A3_161,A2_17,T1_137,A2_20,A2_3,C3_98,C3_90,T2_181,C1_220,C2_259,A2_7,C3_81,T3_44,T3_35,T3_43,A2_1,T3_36,A3_170,C1_227,T1_135,T2_184,C1_215,C1_219,C2_245,T2_200,C1_223,C2_248,C2_272,T2_182,C1_221,A1_57,C3_83,A2_15,A2_11,T1_142,A1_72,A3_171,T3_50,C2_271,T2_177,C2_269,C1_204,A2_16,T3_38,A3_164,C1_225,A3_147,A1_65,T3_40,C2_244,C3_93,C2_250,T3_37,C1_233,C3_94,A3_148,C3_121,C2_267,C3_109,C2_237,A2_28,T3_49,A2_27,A3_172,C3_106,C3_115,C1_217,C3_114,T2_195,A1_79,T1_129,C2_253,T1_125,A3_152,C1_213
1,IGKV3-7,NA,NA,NA,NA,NA,NA,3330.26,1590.78,NA,NA,NA,NA,NA,NA,NA,2910.85,NA,517.921,2017.36,NA,NA,3729.03,NA,NA,1400.89,NA,1758.28,NA,2716.2,NA,NA,1397.37,NA,NA,NA,1219.54,NA,NA,NA,NA,960.365,NA,1216.83,NA,NA,3734.72,NA,1240.7,2031.18,NA,2455.83,NA,NA,2147.3,NA,320.197,1805.14,8602.67,NA,3200.76,NA,667.18,NA,NA,NA,NA,5973.72,NA,2169.2,NA,4544.64,NA,5027.68,753.865,NA,NA,NA,6601.63,NA,NA,NA,NA,NA,1279.1,7138.15,NA,2656.13,5911.15,NA,NA,NA,NA,6636.13,NA,NA,NA,3361.2,NA,898.491,NA,1937.6,1777.74,1235.05,NA,NA,2619.42,NA,NA,5506.83,5028.41,1810.41,6141.73,3418.41,705.43,NA,NA,975.276,4113.69,2667.69,1877.87,NA,NA,3571.87,NA,1416.66,2882.92,NA,541.423,3341.88,NA,4362.94,NA,1116.47,NA,NA,NA,2558.79,NA,6501.38,3998.8,1184.89,1362.73,1392.92,NA,NA,NA,1833.11,NA,NA,NA,NA,6340.04,NA,826.566,NA,NA,1460.18,645.026,4897.23,NA,8959.99,4908.58,NA,NA,2815.37,1204.56,940.334,NA,3835.49,3497.79,3051.08,3684.17,6166.29,2959.57,NA,NA,NA,NA,NA,9092.38,NA,3028.58,NA,3708.19,1757.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923.09,3375.72,NA,6098.53,4409.31,1357.61,NA,3728.9,NA,527.72,2337.81,NA,2667.92,NA,2798.99,2145.5,NA,2201.85,NA,2845.58,NA,NA,NA,776.435,NA,NA,1296.52,NA,NA,NA,NA,NA,5719.75,2894.6,NA,1841.94,NA,NA,622.396,NA,660.101,NA,4578.2,2514.67,2105.01,464.955,NA,3392.74,6776.76,NA,1410.66,1627.68,NA,NA,1743.33,2426.95,NA,414.274,674.905,NA,3335.79,NA,3298.73,NA,NA,2395.28,767.653,NA,4522.97,2421.39,NA,NA,NA,3546.84,NA
2,IGKV2D-24,NA,NA,NA,NA,NA,NA,2194.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1279.74,NA,NA,1523.91,1869.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,770.842,NA,NA,NA,NA,NA,1737.6,NA,2354.83,NA,NA,NA,NA,1719.87,2362.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138.8,1549.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3172.13,NA,NA,NA,NA,1407,NA,NA,NA,NA,NA,603.074,485.772,NA,987.944,2816.13,NA,3086.49,NA,NA,NA,NA,NA,NA,3005.96,NA,NA,NA,NA,NA,NA,847.52,NA,NA,NA,NA,2162.9,1100.08,NA,NA,2796.18,1350.17,NA,NA,NA,NA,NA,NA,NA,NA,2649.69,NA,NA,NA,NA,NA,2024.58,NA,NA,502.815,317.222,NA,NA,1122.28,NA,NA,NA,NA,NA,NA,NA,NA,4631.19,NA,NA,NA,NA,NA,NA,1733.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205.99,NA,NA,NA,NA,NA,NA,699.319,NA,NA,NA,1427.6,1423.07,NA,NA,NA,NA,NA,1049.06,NA,3126.88,NA,NA,NA,4793.58,892.888,3679.89,NA,1187.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3188.91,1067.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3097.73,NA,NA,479.347,NA,NA,622.686,NA,3651.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2739.68,2135.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3152.42,NA,NA,NA,NA,NA,NA
3,IGKV3D-11,5642.98,18229.1,9624.57,NA,6061.05,6904.03,41090.7,6840.45,3157.04,NA,18308.7,4015.74,15104.8,20637.2,10727.4,31829.9,17041.9,6437.49,16974.1,15544.6,52095.7,18312.1,32204.6,NA,14388.5,5616.35,13343.6,6908.77,21830.7,5749.24,12771.6,12557.4,6817.34,6370,12769.4,10684.3,10554.5,16848.1,3244.12,39327.5,6723.35,5123.4,7072.23,27875.1,29895.5,27126.3,7576.87,8589.68,10666.5,3989.79,13415.2,5832.15,7370.66,13079,5466.46,6369.46,20197,64969,6165.62,14148.8,5407.53,4985.04,5377.56,3565.56,9267.74,9330.06,53523.6,4980.04,12788.7,NA,40263.7,NA,70715.2,5981.4,4170.4,7692.28,12164.9,50278.9,10884.8,16691.2,18370.7,13437.2,12676.5,9676.75,38228.6,7069.11,18392.3,47527.3,16072.6,12110.8,7647.94,10540.7,31832.5,11750.1,5522.46,4529.91,27893.9,12717.8,4722.54,12612.7,10356.3,14966.7,11058,7100.31,5390.02,30816.3,6764.47,10105.8,52853.9,24435.3,8111.51,39880.5,89019.5,6583.65,10911.1,13518.1,9166.28,12349.4,18006.2,8148.54,2433.33,8491.9,21424.7,5117.39,16209,17471,14442.6,6785.9,31015.6,13341.2,26084.3,8679.16,8811.68,4577.65,NA,11762.9,19448.2,4503.15,33523.7,25687.9,5292.53,11537.2,7340.61,5438.31,13176.8,3277.51,14788.8,6989.82,8700.69,1950.92,30696.4,34632.3,9095.64,6074.08,8658.88,3736.91,9401.07,4510.59,30923.2,12880.5,37678.2,28809.1,6822.7,4552.47,16800.8,5754.57,4244.8,6651.55,43857.4,23590.2,8793.82,26087.1,50358.4,20622.8,6080.16,6560.39,6413.45,6961.13,14362.2,60253.6,3922.13,29494.5,19121.1,12596.9,12173,7135.18,13671.1,50533.3,3861.42,15442.4,4475.47,7558.69,11199.6,9090.11,4679.16,7196.88,NA,11524.7,27453.8,12009.7,46572.7,41033.3,3798.26,3939.5,50776.4,5111.07,3576,23865.8,7237.83,10846.2,20177.8,26044.4,11596,7034.16,17268.9,10496,18547.4,38948.2,7255.13,5233.18,9003.74,18565.7,5763.52,10869.1,8795.13,52082.5,6975.04,5728.99,6701.34,38720.6,29857.9,8054.87,12526.7,11477.5,9471.65,6700.04,39923.9,7829.73,2525.77,32472.2,12451.7,13898.1,5054.29,NA,27790,54664.9,4626.42,9512.15,8499.15,13942.2,6662.92,8834.92,15224.2,10682,6187.12,5094.62,2290.8,50441.2,2217.08,30731.5,9611.22,NA,6226.21,6695.44,6490.56,36185.7,18419.7,11350.2,5022.79,15867.3,14639.2,3117.93
4,IGHV3-49,NA,1338.2,NA,NA,282.11,NA,NA,NA,NA,637.554,NA,NA,NA,430.524,NA,571.051,NA,NA,NA,NA,1223.9,NA,NA,NA,NA,NA,NA,NA,385.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2676.32,NA,NA,NA,NA,NA,NA,NA,NA,918.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,791.092,NA,NA,NA,NA,NA,NA,NA,NA,619.329,NA,NA,351.717,NA,NA,NA,NA,NA,463.479,NA,NA,687.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.005,NA,NA,NA,NA,NA,227.474,NA,343.073,NA,401.776,NA,668.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.161,566.765,NA,NA,234.755,NA,NA,NA,758.728,NA,849.362,NA,NA,NA,NA,NA,567.455,479.929,NA,NA,NA,1014.35,NA,NA,NA,NA,NA,NA,NA,NA,1696.97,NA,NA,NA,335.575,1379.61,1003.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.158,NA,NA,NA,NA,NA,676.204,NA,641.68,NA,NA,NA,NA,2267.51,NA,NA,NA,1393.96,NA,NA,NA,591.62,NA,NA,NA,NA,NA,NA,934.561,NA,NA,NA,269.444,NA,NA,NA,NA,1490.19,NA,NA,NA,NA,NA,NA,671.642,NA,NA,NA,NA,542.252,NA,562.385,653.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,IGLV1-36,NA,NA,NA,NA,NA,NA,1603.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.921,250.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,994.598,NA,NA,NA,338.657,NA,NA,NA,NA,246.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.937,NA,NA,2267.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.37,145.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1329,NA,NA,NA,NA,NA,NA,NA,79.0205,114.257,NA,638.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.148,NA,NA,NA,1559.11,NA,NA,NA,NA,NA,NA,NA,154.094,NA,NA,NA,312.648,NA,NA,1714.3,NA,NA,NA,306.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.798,NA,NA,NA,NA,NA,2153.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.282,NA,631.155,NA,NA,NA,NA,NA,NA,NA,1039.8,NA,NA,NA,NA,NA,NA
6,GATD3B,25223.9,21075.3,9475.8,11576.1,11532.2,40659.9,11307.5,6547.19,27463.8,14339.3,16184.9,34007.3,10087.6,13341.2,10828.1,18470.5,18937.3,45913.1,21401.7,25634.4,4965.86,33236.9,6447.15,6630.32,45378.7,34993.8,16349.8,12405.1,19345.3,39201,6451.45,39552,35500.2,43385.4,11008.9,34850.2,14027.5,19403.2,8587.37,NA,32753.9,24264.3,35317,4493.93,4643.9,18701.2,47272.4,35770.2,35901.9,20054.2,9218.68,10379,38192.3,12774,10649.2,33047.3,26129,12362.7,22342,14840.8,12257.3,31903.4,33890.4,12679,10841.3,14810.7,22258.8,29374.9,18637,5587.68,28538.6,NA,5034.07,14585.1,21308.9,5869.83,17216.1,26647.5,16137.8,15213.5,NA,50553.6,5287.94,56950,15870.6,36892.8,25825.6,16828.8,14366.5,11260.3,43513.2,52273.7,4479.95,11866,8100.21,5775.96,27386.7,19069.1,27456.5,20807.5,9031.78,11055.7,53501.1,26381.1,4073.15,16002,33613.2,35211.6,7198.03,22499.7,33290.6,14331.1,11457.7,39210.4,9748.74,13891.7,33879.5,22602.9,NA,10422.6,10655.3,9572.48,17503.5,38642.7,8749.91,11954,17813.6,45480.3,21853.8,19402.2,23513.6,31214.8,67849.3,10680.8,6276.5,6731.1,16647.9,12253,18237.9,20266.4,18077,41107,45711.5,10397.6,13131.5,5165.13,25157.4,33310.9,16106,16028.6,5334.68,9341.66,13782.4,11345.5,13414.4,11396.1,57462.2,18898,20369.9,7140.49,29590.7,19649.8,39756.4,7429.49,19196.5,17213.9,22345.2,14116.1,26009.2,23736.6,15473.9,10748.4,11183.6,19916.8,43830.1,11280.7,34347.9,37435.5,18002.1,39815.8,33869.3,4340.54,12560.2,12329.8,9463.75,13291.4,11385.6,4164.35,29344.9,21849.3,46579,41605.1,10201.4,53630.9,14029,44161.9,NA,13844.4,24817.8,15760.2,27812.4,27497,17000.7,44681.5,4607.13,13851.5,28650.9,26285.8,13701.3,13769.8,15341.3,18737.7,18743.5,13356,17879.3,25113.3,24676.7,4608.33,10316.5,10394.1,60190.9,NA,25326.6,50658.5,33955.5,3896.19,22905.2,5972.89,37852.9,36507.3,26764.7,14566.5,11160.1,9877.58,10268.2,42230.7,7708.62,100673,7117.87,34200.2,14699.8,17281.5,17963.4,NA,26800.1,16563.5,47823.3,50872.8,45690.7,22440,12543.4,47115.7,12048.2,40895.7,39897.9,34532.7,28322.1,19612.3,7488.69,12681,12359.2,11669.4,32795.5,10850.8,33310.4,4178.69,17815.8,10364.6,22605.9,11959.3,17029.7,5546.07
7,IGKV3D-20,3252.71,8435.92,NA,5389.56,2717.74,3655.13,11607.8,5306.66,1841.89,3087.79,13077.6,2016.66,6028.74,9098.65,8278.26,63062.8,8707.34,3144.72,6037.36,8071.52,18711.4,7458.07,8996.32,NA,7199.24,3433.56,10606.8,NA,42667.8,4190.84,8022.86,6078.47,4255.14,4411.34,4615.19,5097.8,4538.56,10311.3,2684.45,7622.94,3470.4,3066.38,2414.55,5926.62,10447.9,55666.2,3677.17,4195.48,5395.38,2501.77,11095.9,2124.7,3151.05,9896.87,3345.53,2851.62,6114.94,54264.6,2468.82,8283.86,NA,2896.01,2817.54,2321.19,5423.54,6883.8,84333.1,2279.94,5262.33,3842.26,75023,NA,18095.5,3566.12,2387.33,NA,8099.25,97388.1,6983.14,11322.7,5936.31,6463.93,NA,4589.08,76002.3,3907.39,6145.78,36849.9,7659.26,6944.66,4845.77,6302.31,8215.73,7373.29,1932.5,2667.35,26272.6,6717.38,3016,5486.54,7592.57,14789.5,6934.69,4343.09,4407.91,54381.8,3514.67,6042.08,17620.5,21244.3,3996.36,88622.3,26822.2,2370.48,NA,7610.44,4681.44,8358.48,4734.06,6873.61,1141.62,3401.24,17460.6,3381.25,31739.8,28687.7,6898.19,2330.33,27828.6,7347.89,65734.4,4549.98,4761.54,3263.83,1220.37,11638,17023.7,1504.77,80246.8,44881.4,4004.24,5151.12,5532.52,2923.73,13159.3,2311.79,10005.4,3833.46,5252.19,NA,9661.13,12196.4,7489.9,3576.61,8383.18,2053.87,5752.08,3039.77,59437.2,8357.63,72303.9,25566.1,2807.86,2506.68,14407.7,1892.39,2994.99,3511.78,79174,51112.1,3845.89,54476.7,11639.3,14831.4,4060.6,6703.95,3469.23,3448.82,13138,82632.2,2024.3,9680.49,4571.14,10805.6,12954,2467.53,7387.11,13014.3,2492.53,6881.19,2119.71,4971.07,3931.95,4255.84,2533.25,4608.04,NA,7657.4,69665.6,4022.06,79779.6,81430.5,NA,6405.4,15202.9,3360.5,2167.17,51336.7,6004.14,4565.55,6937.98,5655.76,28592.5,NA,7334.49,6707.16,6208.51,10307.4,2104.94,2095.78,4096.84,6391.56,3053.71,6389.65,4761.55,11569.3,3962.97,4470.55,6552.72,73977,54588.5,3873.64,9914.07,6556.39,NA,NA,13058.4,5636.95,1843.58,73191.7,5649.91,7634.73,2047.01,9393.81,21054.9,30174.6,2146.75,6204.87,2641.64,4405.54,4228.5,4204.59,8175.44,6289.11,2882.74,3372.5,926.179,94457.9,996.279,62547.2,6016.29,NA,3886.41,5667.53,2974.34,11407.7,15663.5,6244.92,NA,NA,7559.84,1939.72
8,IGHV1-18,520.022,6998.34,2062.42,1994.76,482.24,972.959,13191.8,2017.02,NA,8633.17,2962.12,408.46,4225.95,5727.6,11067.3,NA,2097.46,NA,3251.06,2714.65,NA,NA,19177.7,NA,2219.07,922.617,2686.8,NA,4543.71,NA,9053.15,2010.8,NA,1535.74,NA,1052.8,9765.13,NA,1003.7,18858.7,1446.82,808.235,897.412,12637.3,9936.66,3565.72,NA,2293.57,1830.88,660.239,1546.4,NA,1633.05,1805.87,481.228,636.344,6919.44,13773.4,624.082,3152.06,5492.32,533.128,885.816,NA,7691.67,4209.88,NA,522.593,9602.47,NA,2261.63,NA,22472.6,744.617,768.077,NA,6637.82,6401.25,5516.25,NA,9439.55,2770.77,7727.7,1268.95,6602.76,NA,NA,10918.8,4114.84,4673.16,1217.48,1621.45,NA,6913.32,772.969,1104.66,5459.69,6338.42,824.086,9317.3,2221.38,8753.04,1374.14,NA,NA,4076.06,1004.62,NA,15059.9,4708.2,1516.15,5824.79,14795.1,737.106,NA,5974.74,1120.8,3709.95,7080.23,6926.55,467.728,7167.56,3117.13,NA,1914.36,3368.02,5586.21,NA,6197.01,4674.26,6587.02,1719.23,1013.48,1112.49,NA,3940.85,3859.91,797.98,3955.71,7104.38,1314.04,2333.72,NA,NA,2792.8,708.591,1971.99,989.523,8619.08,474.91,NA,NA,6451.08,1106.53,8363.55,885.324,1155.71,1004.13,6400.81,3816.35,5757.28,7105.54,1096.29,NA,5018.25,NA,NA,NA,5075.04,4484.66,4557.22,9814.97,14258.9,NA,2079.11,15208.4,1584.95,1873.62,5454.47,6965.54,777.898,24304.4,5276.01,NA,5621.26,NA,5767.85,14348.2,1018.1,NA,720.773,NA,5324.48,NA,1026.57,1130.43,5358.44,7200.64,4486.4,11980.7,4631.72,8255.06,1143.45,NA,NA,1009.75,NA,8234.48,4893.13,3018.91,6226.94,5063.05,3865.17,2924.13,5804.64,2037.35,7444.01,13982.4,1158.27,NA,1629.62,13809.7,NA,2143.14,3375.11,17979.3,NA,1373.98,NA,6007.04,6196.16,5836.6,1887.37,9305.26,4660.14,369.808,14800.8,NA,NA,3897.29,NA,7227.79,702.527,NA,3002.92,13675,NA,3614.56,704.345,NA,NA,1662.08,NA,NA,810.462,1060.61,NA,7299.33,924.363,6720.22,6184.38,NA,NA,2464.91,1456.85,NA,7046.74,6125.01,1057.36,17024.6,5265.98,509.817
9,IGHV5-51,NA,NA,NA,NA,NA,NA,NA,NA,NA,3753.24,NA,NA,NA,NA,NA,NA,1449.03,2251.34,NA,NA,NA,1482.13,NA,NA,NA,NA,3826.77,NA,2155.27,NA,5437.7,1362.65,NA,NA,NA,521.735,NA,NA,NA,NA,NA,2429.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942.542,NA,NA,NA,NA,NA,1590.43,NA,NA,NA,NA,NA,2261.59,NA,2370.19,NA,NA,NA,NA,11668.5,NA,NA,NA,NA,3060.5,NA,NA,NA,NA,NA,NA,3136.99,NA,2421.08,NA,NA,NA,NA,1517.34,NA,NA,NA,NA,1609.68,NA,1791.02,NA,NA,NA,NA,NA,669.466,1720.94,NA,NA,NA,1812.05,NA,2788.4,7858.17,NA,NA,3306.56,NA,NA,NA,NA,NA,4353.43,1116.27,NA,2551.98,NA,NA,1365.81,2675.24,NA,2501.42,NA,NA,NA,NA,NA,NA,NA,1419.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4229.9,4841.61,NA,886.761,NA,NA,NA,1157.27,3268.53,NA,3540.36,2165.37,NA,NA,2104.11,NA,NA,NA,NA,1998.79,NA,4275.64,NA,NA,NA,NA,758.548,NA,NA,2898.23,2306.3,NA,1690.4,2130.55,NA,NA,NA,NA,NA,2185.82,NA,3315.2,NA,1438.03,553.331,NA,NA,NA,NA,5247.11,NA,3637.88,NA,NA,5117.72,NA,1810.07,NA,2047.91,NA,NA,NA,NA,1378.84,2266.8,NA,NA,5149.56,531.074,NA,NA,NA,NA,NA,NA,5765.85,1576.31,NA,NA,NA,2823.36,NA,876.631,NA,2488.2,NA,7359.81,NA,NA,1855.05,NA,NA,NA,NA,NA,NA,1986.64,NA,NA,1193.76,NA,NA,NA,NA,302.198,NA,NA,NA,NA,2999.52,NA,NA,NA,NA,NA,NA,2054.33,3231.95,1645.39,NA,NA,NA
10,IGHV4-61,NA,3849,4118.95,3689.17,NA,NA,10348.2,1904.49,438.798,5356.52,2186.32,NA,3627.8,3152.83,5877.37,2391.62,4776.55,377.697,3859.34,3670.25,8201.11,7774.04,9123.58,NA,NA,357.826,2593.4,3654.67,3195.05,NA,NA,NA,1162.02,NA,7950.51,NA,5200.87,3694.42,NA,17917.6,NA,919.419,NA,8800.89,11831.6,4670.27,1325.28,1632.26,NA,773.708,4430.51,2089.38,NA,2990.03,NA,NA,7077.67,8889.88,1476.1,2862.16,3235.63,NA,671.816,NA,9639.23,3923.5,8551.21,NA,5366.22,1014.1,2043.28,NA,14912.5,479.191,826.035,NA,3778.44,4844.51,3147.85,6380.17,7030.86,1559.24,NA,1379.56,6033.1,NA,3777.44,6927.97,2846.92,3693.13,NA,1020.18,5358.87,NA,NA,NA,3037.9,NA,565.328,8194.13,NA,5119.14,1080.5,1496.04,NA,3143.91,608.885,534.335,13025.6,2726.1,NA,5193.02,8635.67,313.836,6180.65,2245.93,903.47,2988.08,3638.86,5074.63,NA,4641.88,3047.75,NA,1076.86,3739.93,2631.25,NA,3114.78,3419.83,4702.58,NA,618.786,NA,NA,2256.94,1673.7,411.915,5517.85,5685.37,1274.78,1090.07,NA,NA,2314.65,NA,1066.66,NA,NA,NA,13887.3,5473.67,3284.42,1544.96,3658.17,NA,NA,NA,5778.91,3002.73,4264.95,3428.48,870.223,2129.06,2473.84,NA,NA,NA,3526.1,4136.23,NA,6053.14,8401.57,2422.85,NA,NA,NA,NA,4001.09,5768.5,NA,13810.2,4557.09,4905.03,4019.28,NA,4838.35,6900.03,NA,2328.09,NA,850.913,4772.93,425.712,658.045,NA,NA,4000.98,2481.76,4769.18,2701.68,4221.29,NA,NA,8353.81,713.25,NA,7082.85,3037.07,3748.92,2896.75,2754.42,2480.43,1309.4,2798.22,NA,3481.2,5164.67,NA,1451.4,936.769,6492.65,936.497,1126.58,1152.05,9044.43,515.672,NA,NA,3662.52,4255.93,4077.97,1016.77,2776.15,NA,776.988,11015.9,NA,465.126,3915.9,2704.29,4270.32,NA,NA,1760.92,6858.42,NA,NA,NA,2971.55,NA,NA,3291.19,NA,446.122,596.597,NA,5168.09,879.787,4744.28,1962.43,NA,NA,1689.61,NA,13964.3,2243.46,5433.61,NA,14123.9,3526.49,466.778
