"","P1_slow","P2_slow","P3_slow","P4_slow","P5_slow","P1_fast","P2_fast","P3_fast","P4_fast","P5_fast"
"IGKV3-7",14.3885920332786,13.6921577765854,14.1038777992116,14.0380433325568,14.3814281068988,14.5570328989954,13.7568377456962,13.8419770488573,13.8630247102369,13.9611512123177
"IGKV2D-28",11.288932167731,11.6981316415972,11.8079239888084,11.5154830235578,11.8942114615378,11.5445488410271,10.0790751560624,11.2553591003743,11.221340982776,10.7905651600237
"IGKV1-27",11.940313597146,11.9700483542688,11.6160377187308,12.159827197706,11.6739980121618,11.9906152670603,11.6474465729192,11.9908745017518,11.8437562072915,11.8174873589584
"IGKV3D-15",12.2348174311173,11.7399111280447,12.5140138996811,11.8610869059954,12.2551082582195,12.2309087731553,11.7276755886721,12.2803213075774,11.9542658208626,11.9680788537701
"IGKV3D-11",14.0014081943928,13.3816693040177,13.8266904305661,14.3043897134949,13.9807650372347,14.2553310672394,13.3924918452286,13.8219084806873,13.8552245659132,13.6096404744368
"IGKV3D-20",12.7679771309264,12.0734721539765,12.3617115060923,12.6707111578404,12.5511071647254,12.7984859768676,12.3565582129013,12.5444211471338,12.9216141037856,12.6788245799902
"IGHV1-18",11.7795721845968,10.9068905956085,11.5636777259083,11.7860906761145,11.7364454822713,11.8241529507487,11.2142644722263,11.3162815317462,11.7362271638224,12.2347396072941
"IGHV5-51",11.244185690854,11.2327154453558,11.8409329638283,11.7071865505817,11.6129928621927,11.5089079078087,11.0901124196643,10.883704362754,11.4422927608117,11.1951507105647
"IGHV4-61",11.9531006998615,11.4715947183357,11.834390127727,12.0017423748149,11.7833628630331,12.1779475801397,11.7486189878008,11.715026765911,11.7483647884616,12.2758555035537
"ESYT2",11.7772803743535,11.8057438721516,11.7018457282839,11.8915487437196,11.6860212233099,12.1153785923176,11.7160520486685,11.8277555243184,11.7061763393301,11.7767291082275
"ILVBL",12.9751382481678,13.1567740738103,13.2792967497052,13.2548854147838,13.0392069510068,12.4445084459202,12.5392359305216,12.625240804362,12.8611276266517,12.1807203778221
"FSD2",12.3628314815607,12.558145637428,12.3820430492471,12.4291225681486,12.4929251975664,12.6771056747182,12.9032510935214,12.8325993103017,12.8691154930796,12.663922290689
"FRMD3",10.6019419260788,10.5410966153495,10.6078403172403,10.8503353197434,10.3663222142458,10.4798595102913,10.2003892101981,10.6020205957629,10.5726478928879,10.2876703051801
