fiber_ID,MYH7,MYH2,MYH1,fiber_type,sample_order_left_to_right
P3_fibNumber33,98.94942111076831,0.5187707404776164,0.5318081487540679,Type 1,1
P5_fibNumber175,98.68199202141358,0.9836926415326954,0.3343153370537307,Type 1,2
P3_fibNumber180,99.36244086818951,0.3142920287616029,0.32326710304889045,Type 1,3
P4_fibNumber162,99.08401330156492,0.6979190858522343,0.21806761258284268,Type 1,4
P1_fibNumber192,90.20411497292868,8.337497554291975,1.4583874727793498,Type 1,5
P2_fibNumber36,99.50462000715767,0.38821563229911504,0.10716436054321295,Type 1,6
P5_fibNumber159,99.25569239245634,0.6415759124877687,0.10273169505589397,Type 1,7
P2_fibNumber90,97.86174059726144,0.7452710775218094,1.3929883252167412,Type 1,8
P2_fibNumber164,99.1709450948838,0.6566001033339924,0.17245480178219902,Type 1,9
P1_fibNumber177,96.30727554973988,3.000228309873576,0.6924961403865396,Type 1,10
P5_fibNumber35,79.43913725624637,20.142397150329288,0.4184655934243553,Hybrid 1/2A,1
P5_fibNumber187,32.394317224907674,66.41188585516645,1.193796919925871,Hybrid 1/2A,2
P5_fibNumber128,89.0414237233007,10.748314498383223,0.2102617783160802,Hybrid 1/2A,3
P5_fibNumber78,86.78131506089062,12.790152682371556,0.42853225673782297,Hybrid 1/2A,4
P4_fibNumber136,71.12622344964565,28.151132310628423,0.7226442397259215,Hybrid 1/2A,5
P4_fibNumber159,43.914274488095906,54.23306677377593,1.8526587381281692,Hybrid 1/2A,6
P4_fibNumber188,56.66134708796591,42.95811759352259,0.38053531851149974,Hybrid 1/2A,7
P4_fibNumber60,34.02365311456221,45.15524879161243,20.821098093825366,Hybrid 1/2A,8
P4_fibNumber24,47.149365343852985,52.15840622604363,0.6922284301033802,Hybrid 1/2A,9
P3_fibNumber108,32.53116317517865,66.83633717527864,0.6324996495427164,Hybrid 1/2A,10
P4_fibNumber108,11.103495447856746,85.6349773078601,3.261527244283165,Type 2A,1
P3_fibNumber110,25.07788578906167,73.89221161376527,1.0299025971730635,Type 2A,2
P4_fibNumber182,15.564241051114594,82.47534445293259,1.960414495952819,Type 2A,3
P2_fibNumber29,10.395935625601307,88.83352801679219,0.7705363576065062,Type 2A,4
P4_fibNumber152,10.021625961709024,89.29473617346932,0.6836378648216552,Type 2A,5
P3_fibNumber177,10.073165385090888,89.28790310464368,0.6389315102654286,Type 2A,6
P2_fibNumber194,13.726347852854456,83.14946921085176,3.1241829362937876,Type 2A,7
P4_fibNumber199,19.226336142044186,79.99017553148026,0.783488326475554,Type 2A,8
P3_fibNumber88,25.778341418085617,72.30063824062198,1.921020341292409,Type 2A,9
P3_fibNumber193,22.09977405275008,77.30975178821251,0.5904741590374112,Type 2A,10
P4_fibNumber57,9.595234926420849,61.90143726551079,28.503327808068352,Hybrid 2A/2X,1
P3_fibNumber100,15.50576248626722,56.48332523451365,28.010912279219134,Hybrid 2A/2X,2
P1_fibNumber100,23.73485279884892,66.49958170173576,9.76556549941532,Hybrid 2A/2X,3
P3_fibNumber185,12.169792998707255,76.16498819619335,11.665218805099398,Hybrid 2A/2X,4
P3_fibNumber80,7.48689483905181,67.67267606810917,24.84042909283902,Hybrid 2A/2X,5
P1_fibNumber171,23.788904165272022,64.67292870725268,11.538167127475301,Hybrid 2A/2X,6
P1_fibNumber198,8.384907045666216,53.450366928611146,38.164726025722636,Hybrid 2A/2X,7
P5_fibNumber199,10.988520285938788,76.1645931829339,12.84688653112732,Hybrid 2A/2X,8
P4_fibNumber181,11.212167951723231,63.679651698540255,25.10818034973652,Hybrid 2A/2X,9
P5_fibNumber119,15.070454283610424,58.46307975134371,26.46646596504586,Hybrid 2A/2X,10
