ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,foldEnrich
BP,GO:0002181,cytoplasmic translation,49/328,119/6414,5.137547310194694e-33,1.491943738880539e-29,1.395249690558138e-29,RPS29/RPL27/RPS24/PKM/RPL32/RPL31/RPS16/RPS21/RPS11/RPL27A/RPLP2/RPS12/RPL38/RPS23/RPS28/RPL29/RPL23/RPS3/YBX3/RPL4/RPS27A/RPL28/RPS8/RPL35/RPL30/RPL8/RPL36/RPL15/CSDE1/RPS9/RPLP0/FAU/RPL34/RPS15/RPS19/RACK1/RPL35A/RPS14/RPS4X/RPS10/RPS6/RPL7A/RPL37/EIF4A2/RBM24/UBA52/CPEB3/RPS5/RPL24,49,8.052008608321376
BP,GO:0006091,generation of precursor metabolites and energy,56/328,283/6414,1.7381734993705288e-19,2.523827921086008e-16,2.3602566465136657e-16,PKM/GPD1/CHCHD10/PGM1/PFKM/LDHA/ACTN3/AGL/COX7B/NDUFAB1/PPP1R3C/ALDOA/CHCHD2/COX8A/NDUFA4/PGAM2/UQCRH/GAPDH/NDUFB4/COX7C/ENO3/PYGM/COX6C/ACO2/PPP1R1A/SLC25A4/UQCRB/PGK1/PPP1R3A/TPI1/COX4I1/IDH2/NDUFC1/ACADVL/ASPH/NDUFA6/NDUFA1/PDHA1/NDUFB3/COX5B/UQCRQ/ISCU/GYS1/PHKA1/MDH1/AKR1B1/NDUFB1/NDUFB9/NR1D1/CYC1/UQCRFS1/UQCR10/PTGES3/CYCS/NDUFB7/UQCRC1,56,3.869516504352323
BP,GO:0042773,ATP synthesis coupled electron transport,26/328,71/6414,2.1949758330421422e-16,1.274841963830876e-13,1.1922184524734163e-13,COX7B/NDUFAB1/CHCHD2/COX8A/NDUFA4/UQCRH/NDUFB4/COX7C/COX6C/UQCRB/COX4I1/NDUFC1/NDUFA6/NDUFA1/NDUFB3/COX5B/UQCRQ/ISCU/NDUFB1/NDUFB9/CYC1/UQCRFS1/UQCR10/CYCS/NDUFB7/UQCRC1,26,7.160941257299897
BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,26/328,71/6414,2.1949758330421422e-16,1.274841963830876e-13,1.1922184524734163e-13,COX7B/NDUFAB1/CHCHD2/COX8A/NDUFA4/UQCRH/NDUFB4/COX7C/COX6C/UQCRB/COX4I1/NDUFC1/NDUFA6/NDUFA1/NDUFB3/COX5B/UQCRQ/ISCU/NDUFB1/NDUFB9/CYC1/UQCRFS1/UQCR10/CYCS/NDUFB7/UQCRC1,26,7.160941257299897
BP,GO:0006936,muscle contraction,36/328,172/6414,1.493465986062659e-13,3.3361732488661244e-11,3.1199532340418304e-11,TNNC2/TNNI2/MYH2/ATP2A1/TPM2/ACTN3/MYOM2/ALDOA/TPM1/ATP1B1/PGAM2/TNNT3/BIN1/CRYAB/ATP1A2/CSRP3/MYLK2/CACNB1/MYOT/DES/CACNG1/CALM1/ACTA1/ASPH/LMOD1/DMD/CKMT2/SNTA1/FXYD1/MYL1/TRIM63/TMEM38A/JSRP1/CACNA1S/SGCA/HRC,36,4.092881452070335
BP,GO:0046034,ATP metabolic process,24/328,124/6414,1.0779328403780909e-8,1.956448105286235e-6,1.8296491632733385e-6,PKM/GPD1/PGM1/PFKM/LDHA/AK1/ACTN3/NDUFAB1/ALDOA/ATP1B1/PGAM2/GAPDH/NDUFB4/ENO3/ATP1A2/PGK1/TPI1/NDUFC1/NDUFA6/NDUFA1/NDUFB3/NDUFB1/NDUFB9/NDUFB7,24,3.7848151062155777
BP,GO:0009205,purine ribonucleoside triphosphate metabolic process,25/328,135/6414,1.353402169064061e-8,2.3119293523306076e-6,2.1620913908267977e-6,PKM/GPD1/PGM1/PFKM/LDHA/AK1/ACTN3/NDUFAB1/ALDOA/ATP1B1/PGAM2/GAPDH/NDUFB4/ENO3/ATP1A2/PGK1/TPI1/NDUFC1/NDUFA6/NDUFA1/NDUFB3/NDUFB1/NDUFB9/AK3/NDUFB7,25,3.621273712737127
BP,GO:1902600,proton transmembrane transport,15/328,61/6414,2.5650250451685906e-7,3.103680304653994e-5,2.902528340585511e-5,COX7B/COX8A/ATP1B1/NDUFA4/UQCRH/UCP3/ATP1A2/SLC25A4/COX4I1/COX5B/ATP6V1G1/CYC1/UQCRFS1/UQCR10/UQCRC1,15,4.808576569372251
BP,GO:0006937,regulation of muscle contraction,17/328,78/6414,2.6768403581613117e-7,3.1094177600401796e-5,2.9078939469710253e-5,TNNC2/TNNI2/ATP2A1/ACTN3/TPM1/ATP1B1/TNNT3/BIN1/ATP1A2/MYLK2/CACNB1/CACNG1/CALM1/DMD/TMEM38A/CACNA1S/HRC,17,4.261960600375234
BP,GO:0006734,NADH metabolic process,9/328,23/6414,9.272398082560049e-7,9.972979271020142e-5,9.326622632750459e-5,PKM/GPD1/PFKM/ACTN3/PGAM2/ENO3/PGK1/TPI1/MDH1,9,7.651908801696712
