ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,foldEnrich
BP,GO:0032787,monocarboxylic acid metabolic process,44/342,261/6414,3.5914671524657642e-12,6.4454712336399735e-9,5.488492561198951e-9,LDHB/TECRL/PLIN5/LPL/FABP3/CD36/HADHB/PFKFB2/ECH1/PAM/PROX1/CAV1/ACADVL/CES2/CRAT/CD74/AKR1C2/ECI2/PDK2/MPC2/QKI/ACSL1/DCXR/ACADS/ACSS1/PPARA/MLXIPL/HADHA/ACAA2/IDH2/ACAT1/ETFB/VDAC1/ECHS1/PDK4/IRS2/MLYCD/MGLL/ACOT11/ALDH5A1/DBI/ALDH1A1/PFKL/GPAM,44,3.161658936613564
BP,GO:0006631,fatty acid metabolic process,34/342,165/6414,3.978685946691342e-12,6.4454712336399735e-9,5.488492561198951e-9,TECRL/PLIN5/LPL/FABP3/CD36/HADHB/ECH1/PAM/CAV1/ACADVL/CES2/CRAT/CD74/AKR1C2/ECI2/PDK2/QKI/ACSL1/ACADS/ACSS1/PPARA/MLXIPL/HADHA/ACAA2/ACAT1/ETFB/ECHS1/PDK4/IRS2/MLYCD/MGLL/ACOT11/DBI/GPAM,34,3.8645401382243483
BP,GO:0006936,muscle contraction,34/342,172/6414,1.3634283465801145e-11,1.1164692527988998e-8,9.507036749791802e-9,TPM3/TNNI1/MYL3/ATP2A2/TNNT1/MYH7/MYL2/TNNC1/MYL6B/PLN/MYOM3/CASQ2/LMOD2/CSRP3/ANKRD2/SMPX/MYOT/CRYAB/GPD1L/MYOM1/CAV1/DMPK/VEGFB/CKMT2/KCNMA1/GSN/ROCK2/CHRNA1/MYH14/TCAP/CAMK2D/MYL9/PRKG1/GSTO1,34,3.7072623419012647
BP,GO:0003012,muscle system process,40/342,230/6414,1.378357102220864e-11,1.1164692527988998e-8,9.507036749791802e-9,TPM3/TNNI1/MYL3/ATP2A2/TNNT1/MYH7/MYL2/TNNC1/MYL6B/MYOZ2/PLN/MYOM3/CASQ2/LMOD2/CSRP3/ANKRD2/SMPX/MYOT/CRYAB/CFLAR/LMCD1/GPD1L/MYOM1/CAV1/DMPK/VEGFB/CKMT2/KCNMA1/GSN/ROCK2/CHRNA1/PPARA/MYH14/TCAP/CAMK2D/AKAP6/MYL9/PRKG1/IL6ST/GSTO1,40,3.2616323417238746
BP,GO:0003013,circulatory system process,40/342,237/6414,3.648312311084505e-11,1.9700886479856326e-8,1.677583608307454e-8,TNNI1/MYL3/ATP2A2/MYH7/MYL2/TNNC1/MYLK3/PLN/CASQ2/CD36/CSRP3/HSPB7/SMTNL1/GPD1L/CAV1/DMPK/VEGFB/SLC16A1/KCNMA1/GSN/S100A1/ROCK2/PPARA/ACTC1/TBC1D8/TCAP/EPAS1/VEGFA/CAMK2D/SLC38A2/WNK1/PRKG1/TMEM65/ITGA1/THRB/TGFB2/ABCC5/GNAI2/GSTO1/KLF2,40,3.1652972092678953
BP,GO:0061061,muscle structure development,50/342,368/6414,3.894302690399591e-10,1.2617540716894675e-7,1.0744176159512978e-7,TNNI1/MYL3/ATP2A2/TNNT1/MYH7/MYL2/TNNC1/MYL6B/MYLK3/MYOZ2/PDLIM1/LMOD2/CSRP3/SMTNL1/ANKRD2/CRYAB/BTG2/CFLAR/ALPK2/CFL2/PROX1/CAV1/DMPK/ASS1/ACTN2/SIX1/QKI/KLHL40/CHRNA1/ALPK3/PPARA/ACTC1/PDLIM2/MYH14/TCAP/NRAP/EPAS1/MYH9/EGLN1/VEGFA/ACTG1/AKAP6/FBXO40/FLNC/SIRT2/MYL9/TGFB2/TCF15/EHD2/BTG1,50,2.5481502669717773
BP,GO:0030029,actin filament-based process,52/342,395/6414,5.314512645396341e-10,1.5653655428258315e-7,1.3329509706778766e-7,TPM3/ATP2A2/TNNT1/MYH7/MYL2/TNNC1/MYL6B/MYLK3/MYOZ2/PLN/PDLIM1/LMOD2/CSRP3/SMTNL1/DPYSL3/CFLAR/XIRP1/PFN2/CFL2/GPD1L/SH3KBP1/PAM/PROX1/CAV1/TWF2/CORO6/ACTN2/GSN/ROCK2/ENAH/TMSB10/ACTC1/PDLIM2/SORBS1/MYH14/TCAP/NRAP/MYH9/SYNPO2/ACTG1/CAMK2D/DBN1/SDC4/ID1/FNBP1L/FLNC/PALLD/MYL9/PRKG1/NRP1/WIPF3/EHD2,52,2.4689318232289583
BP,GO:0030239,myofibril assembly,17/342,53/6414,8.544960969929851e-10,2.1296671955825167e-7,1.8134690447114282e-7,TNNT1/MYH7/MYL2/MYLK3/MYOZ2/LMOD2/CSRP3/CFLAR/CFL2/PROX1/ACTN2/ACTC1/TCAP/NRAP/ACTG1/FLNC/MYL9,17,6.015557762330355
BP,GO:0055002,striated muscle cell development,17/342,53/6414,8.544960969929851e-10,2.1296671955825167e-7,1.8134690447114282e-7,TNNT1/MYH7/MYL2/MYLK3/MYOZ2/LMOD2/CSRP3/CFLAR/CFL2/PROX1/ACTN2/ACTC1/TCAP/NRAP/ACTG1/FLNC/MYL9,17,6.015557762330355
BP,GO:0031032,actomyosin structure organization,25/342,120/6414,2.5103324440709347e-9,5.083423199243643e-7,4.328671931519684e-7,TNNT1/MYH7/MYL2/MYLK3/MYOZ2/PDLIM1/LMOD2/CSRP3/CFLAR/PFN2/CFL2/PROX1/ACTN2/ROCK2/ACTC1/SORBS1/MYH14/TCAP/NRAP/MYH9/ACTG1/SDC4/FLNC/MYL9/NRP1,25,3.9071637426900585
