MYH1,MYH2,MYH7,TPM3,TPM1,ATP2A2,ATP2A1,TNNT1,TNNT3,MYL2,MYL1,MYL3,sum_MYH,MYH7_fraction,order_MYH7,MYH2_fraction,order_MYH2,MYH1_fraction,order_MYH1,sum_MYH_slowfast,MYH7_fraction_slowfast,order_MYH7_slowfast,MYH2_fraction_slowfast,order_MYH2_slowfast,sum_TNNT,TNNT1_fraction,order_TNNT1,TNNT3_fraction,order_TNNT3,sum_TPM,TPM1_fraction,order_TPM1,TPM3_fraction,order_TPM3,sum_ATP2A,ATP2A1_fraction,order_ATP2A1,ATP2A2_fraction,order_ATP2A2,sum_MYL,MYL1_fraction,order_MYL1,MYL3_fraction,order_MYL3,fiber_type_MYH,fiber_type_MYH_slowfast,fiber_type_TPM_slowfast,fiber_type_TNNT_slowfast,fiber_type_ATP2A_slowfast,fiber_type_MYL_slowfast,fiber_type_combined,fiber_type_MYH_hybrids,Sample,subject,fiber
11,45,845,244,11,71,9,637,19,536,19,177,901,93.78468368479467,229,4.994450610432852,657,1.2208657047724751,536,890,94.9438202247191,230,5.056179775280898,696,656,97.10365853658537,210,2.8963414634146343,716,255,4.313725490196078,741,95.68627450980392,185,80,11.25,695,88.75,232,196,9.693877551020408,925,90.3061224489796,1,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,6_15,6,15
2,21,624,179,6,84,3,611,5,530,19,169,647,96.44513137557959,122,3.2457496136012365,757,0.3091190108191654,828,645,96.74418604651163,143,3.255813953488372,783,616,99.18831168831169,39,0.8116883116883116,887,185,3.2432432432432434,792,96.75675675675676,135,87,3.4482758620689653,824,96.55172413793103,102,188,10.106382978723403,924,89.8936170212766,2,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,6_90,6,90
3,8,715,212,3,93,4,546,5,499,15,102,726,98.48484848484848,25,1.1019283746556474,898,0.4132231404958678,796,723,98.89349930843707,23,1.1065006915629323,903,551,99.09255898366605,47,0.9074410163339384,879,215,1.3953488372093024,887,98.6046511627907,39,97,4.123711340206185,810,95.87628865979381,116,117,12.82051282051282,923,87.17948717948718,3,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,2_19,2,19
7,22,371,177,5,143,5,410,8,659,33,201,400,92.75,249,5.5,640,1.7500000000000002,427,393,94.40203562340967,241,5.597964376590331,685,418,98.08612440191388,153,1.9138755980861244,773,182,2.7472527472527473,814,97.25274725274726,111,148,3.3783783783783785,826,96.62162162162163,100,234,14.102564102564102,922,85.8974358974359,4,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,11_15,11,15
10,9,614,104,6,49,9,474,14,509,25,141,633,96.99842022116904,91,1.4218009478672986,885,1.579778830963665,461,623,98.5553772070626,37,1.4446227929373996,889,488,97.1311475409836,208,2.8688524590163933,718,110,5.454545454545454,707,94.54545454545455,219,58,15.517241379310345,661,84.48275862068965,265,166,15.060240963855422,921,84.93975903614458,5,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_2,8,2
8,26,708,130,5,73,7,385,9,316,24,135,742,95.4177897574124,164,3.5040431266846364,741,1.078167115902965,571,734,96.45776566757493,158,3.5422343324250685,768,394,97.71573604060913,173,2.284263959390863,753,135,3.7037037037037033,768,96.29629629629629,158,80,8.75,728,91.25,198,159,15.09433962264151,920,84.90566037735849,6,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,4_20,4,20
0,3,850,260,2,168,1,944,1,469,42,228,853,99.64830011723329,3,0.3516998827667058,922,0,923,853,99.64830011723329,4,0.3516998827667058,922,945,99.89417989417989,4,0.10582010582010583,922,262,0.7633587786259541,913,99.23664122137404,13,169,0.591715976331361,918,99.40828402366864,8,270,15.555555555555555,919,84.44444444444444,7,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,1_77,1,77
1,15,668,183,3,137,2,428,7,518,37,200,684,97.6608187134503,55,2.1929824561403506,840,0.14619883040935672,873,683,97.80380673499268,76,2.1961932650073206,850,435,98.39080459770115,130,1.6091954022988506,796,186,1.6129032258064515,870,98.38709677419355,56,139,1.4388489208633095,890,98.56115107913669,36,237,15.611814345991561,918,84.38818565400844,8,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_10,13,10
0,25,636,215,9,120,5,539,7,447,42,207,661,96.2178517397882,132,3.7821482602118004,720,0,887,661,96.2178517397882,171,3.7821482602118004,755,546,98.71794871794873,98,1.282051282051282,827,224,4.017857142857143,750,95.98214285714286,176,125,4,814,96,114,249,16.867469879518072,917,83.13253012048193,9,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,9_3,9,3
11,39,734,144,15,128,6,371,13,557,37,173,784,93.62244897959184,233,4.974489795918367,658,1.403061224489796,496,773,94.95472186287192,229,5.045278137128072,697,384,96.61458333333334,236,3.3854166666666665,690,159,9.433962264150944,645,90.56603773584906,281,134,4.477611940298507,801,95.52238805970148,125,210,17.61904761904762,916,82.38095238095238,10,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_16,13,16
