"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006165","BP","GO:0006165","nucleoside diphosphate phosphorylation","16/81","43/2737",1.06054763415128e-14,4.94568713392549e-12,4.4617425029733e-12,"AK1/GPD1/PGK1/PFKM/LDHA/ALDOA/ENO3/GPI/PGM1/PGAM2/PKM/PGK2/ENO2/ACTN3/GAPDH/PFKL",16
"GO:0046031","BP","GO:0046031","ADP metabolic process","16/81","43/2737",1.06054763415128e-14,4.94568713392549e-12,4.4617425029733e-12,"AK1/GPD1/PGK1/PFKM/LDHA/ALDOA/ENO3/GPI/PGM1/PGAM2/PKM/PGK2/ENO2/ACTN3/GAPDH/PFKL",16
"GO:0046939","BP","GO:0046939","nucleotide phosphorylation","16/81","43/2737",1.06054763415128e-14,4.94568713392549e-12,4.4617425029733e-12,"AK1/GPD1/PGK1/PFKM/LDHA/ALDOA/ENO3/GPI/PGM1/PGAM2/PKM/PGK2/ENO2/ACTN3/GAPDH/PFKL",16
"GO:0016052","BP","GO:0016052","carbohydrate catabolic process","18/81","60/2737",1.50750621116809e-14,5.27250297356040e-12,4.75657880839617e-12,"GPD1/PGK1/PFKM/AGL/LDHA/ALDOA/ENO3/GPI/PGM1/PGAM2/PYGM/PKM/GPD2/PGK2/ENO2/ACTN3/GAPDH/PFKL",18
"GO:0006936","BP","GO:0006936","muscle contraction","24/81","134/2737",1.04663886536723e-13,1.62694196960972e-11,1.46774268956176e-11,"MYLPF/MYBPC2/ATP2A1/MYH2/MYH1/TNNC2/TNNI2/TNNT3/ALDOA/MYL1/PGAM2/MYH4/RYR1/ACTA1/CACNA1S/CASQ1/TPM1/ACTN3/STAC3/SNTB1/CACNA2D1/BIN1/JSRP1/MYOM2",24
"GO:0006090","BP","GO:0006090","pyruvate metabolic process","15/81","53/2737",7.93506412261307e-12,8.53934977502745e-10,7.70375860972718e-10,"GPD1/PGK1/PFKM/LDHA/ALDOA/ENO3/GPI/PGM1/PGAM2/PKM/PGK2/ENO2/ACTN3/GAPDH/PFKL",15
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","20/81","137/2737",8.70644348416697e-10,5.80014973064266e-08,5.23259435464471e-08,"AK1/GPD1/PGK1/PFKM/LDHA/ALDOA/ENO3/GPI/PGM1/PGAM2/PKM/PGK2/ADSL/ENO2/ACTN3/GAPDH/TECR/PFKL/HINT1/NT5C1A",20
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","24/81","227/2737",1.12890988818217e-08,6.58060388986189e-07,5.93667963127378e-07,"GPD1/PGK1/PFKM/AGL/PHKB/PHKA1/LDHA/ALDOA/ENO3/GPI/PGM1/PGAM2/PYGM/PHKG1/ALDH1L1/PKM/GPD2/PGK2/AKR1B1/ADSL/ENO2/ACTN3/GAPDH/PFKL",24
"GO:1901135","BP","GO:1901135","carbohydrate derivative metabolic process","24/81","228/2737",1.23455357304418e-08,6.90856179475524e-07,6.23254624875779e-07,"AK1/GPD1/PGK1/PFKM/LDHA/FBP2/ALDOA/ENO3/GPI/PGM1/PGAM2/PKM/GPD2/PGK2/AKR1B1/ADSL/ENO2/ACTN3/GAPDH/TECR/PFKL/HINT1/NT5C1A/DNPH1",24
"GO:0019319","BP","GO:0019319","hexose biosynthetic process","9/81","28/2737",4.86663861760218e-08,2.52163978741684e-06,2.27489267154192e-06,"GPD1/PGK1/FBP2/GPI/PGM1/PGAM2/PGK2/AKR1B1/ENO2",9
"GO:0046034","BP","GO:0046034","ATP metabolic process","17/81","134/2737",1.72625718957277e-07,7.79043163939454e-06,7.02812349846436e-06,"AK1/GPD1/PGK1/PFKM/LDHA/ALDOA/ENO3/GPI/PGM1/PGAM2/MYH4/PKM/PGK2/ENO2/ACTN3/GAPDH/PFKL",17
"GO:0050879","BP","GO:0050879","multicellular organismal movement","8/81","29/2737",1.07723226117882e-06,3.96591561418202e-05,3.57784343809807e-05,"ATP2A1/TNNC2/TNNI2/TNNT3/CASQ1/ACTN3/STAC3/JSRP1",8
"GO:0050881","BP","GO:0050881","musculoskeletal movement","8/81","29/2737",1.07723226117882e-06,3.96591561418202e-05,3.57784343809807e-05,"ATP2A1/TNNC2/TNNI2/TNNT3/CASQ1/ACTN3/STAC3/JSRP1",8
"GO:0055001","BP","GO:0055001","muscle cell development","12/81","75/2737",1.14612304443195e-06,4.11134907477001e-05,3.70904596565158e-05,"TNNT3/ENG/RYR1/ACTA1/CASQ1/TPM1/DYSF/ACTN3/STAC3/BIN1/ADPRHL1/MYOM2",12
"GO:0019674","BP","GO:0019674","NAD metabolic process","6/81","14/2737",1.38734011448956e-06,4.85222205042722e-05,4.37742315071836e-05,"GPD1/PFKM/GPD2/ENO2/ACTN3/PFKL",6
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","11/81","68/2737",2.99774681614647e-06,0.000102288970628998,9.22798057139825e-05,"ATP2A1/RYR1/CACNA1S/JPH1/CASQ1/CACNB1/STAC3/HSPA2/CACNA2D1/BIN1/JSRP1",11
