"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006635","BP","GO:0006635","fatty acid beta-oxidation","16/75","34/2737",2.86357990700178e-17,3.32747985193607e-14,3.09568059420088e-14,"HADHB/ETFB/ETFA/ACAT1/CRAT/ACADVL/HADHA/CPT1B/ACADS/ACAA2/ECI2/ETFDH/DECR1/ECHS1/CPT2/HADH",16
"GO:0022900","BP","GO:0022900","electron transport chain","19/75","91/2737",7.86716169353349e-13,1.01573798754288e-10,9.44979539094608e-11,"ETFB/ETFA/NDUFS1/MAOB/ALDH2/ME2/ETFDH/NDUFA7/NDUFV1/NDUFA8/NDUFB8/ALDH4A1/NDUFS2/SOD2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/NDUFA4",19
"GO:0044282","BP","GO:0044282","small molecule catabolic process","20/75","130/2737",7.13658871743714e-11,5.86526710951522e-09,5.45668024410919e-09,"HADHB/ETFB/ETFA/ACAT1/CRAT/ACADVL/HADHA/CPT1B/ACADS/ALDH5A1/ACAA2/ECI2/ALDH2/ETFDH/DECR1/ACADSB/ALDH4A1/ECHS1/CPT2/HADH",20
"GO:0044281","BP","GO:0044281","small molecule metabolic process","32/75","490/2737",3.60008633886422e-07,1.60896166375393e-05,1.49687800405407e-05,"IDH2/HADHB/LDHB/ETFB/MDH1/ETFA/ACAT1/FABP3/CRAT/ACADVL/HADHA/CPT1B/ACADS/ALDH5A1/ACAA2/ECI2/ALDH2/ME2/ETFDH/DECR1/ACADSB/IDI2/MDH2/ALDH1A1/ALDH4A1/AK3/ACSL1/SUCLG2/ECHS1/CPT2/HADH/PGM5",32
"GO:0043501","BP","GO:0043501","skeletal muscle adaptation","6/75","13/2737",5.1053457384364e-07,2.04565922347003e-05,1.90315429160587e-05,"ATP2A2/TNNC1/TNNT1/TNNI1/MYOZ2/MYH7",6
"GO:0003208","BP","GO:0003208","cardiac ventricle morphogenesis","5/75","11/2737",5.49372048504709e-06,0.000187755976577198,0.000174676499632921,"MYL2/TNNC1/MYL3/TNNI1/MYH7",5
"GO:0003229","BP","GO:0003229","ventricular cardiac muscle tissue development","5/75","11/2737",5.49372048504709e-06,0.000187755976577198,0.000174676499632921,"MYL2/TNNC1/MYL3/TNNI1/MYH7",5
"GO:0055010","BP","GO:0055010","ventricular cardiac muscle tissue morphogenesis","5/75","11/2737",5.49372048504709e-06,0.000187755976577198,0.000174676499632921,"MYL2/TNNC1/MYL3/TNNI1/MYH7",5
"GO:0006936","BP","GO:0006936","muscle contraction","14/75","134/2737",9.96204031935181e-06,0.0003215525236413,0.00029915249730919,"CASQ2/ATP2A2/MYL2/TNNC1/MYL3/TPM3/MYOT/TNNT1/CKMT2/TNNI1/MYL6B/MYH7/GPD1L/MYOM3",14
"GO:0060048","BP","GO:0060048","cardiac muscle contraction","8/75","51/2737",5.37723848139889e-05,0.00160214131163731,0.00149053277203689,"CASQ2/ATP2A2/MYL2/TNNC1/MYL3/TNNI1/MYH7/GPD1L",8
