"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TPM3",4.19086005853016,18.5079944323899,71.5900111725149,1.78491305429969e-15,5.2744180754556e-12,24.2613648042202
"ATP2A2",4.47990767792305,15.7098364265975,50.5423019095112,6.85869519300918e-14,1.01337221476711e-10,21.798740192429
"MYBPC2",-4.60845318815601,16.8000661274984,-38.3350659059012,1.23482633128341e-12,1.21630393631416e-09,19.4277772671581
"TNNT1",5.72437608392599,17.5837024983775,33.3774135577641,5.23486788157726e-12,3.8672586475152e-09,18.1326603568745
"TNNC2",-4.84196667253907,16.442071217865,-32.07653538965,7.9199757567286e-12,4.57756726155743e-09,17.7501523253348
"MYH7",2.84736363623291,21.2576159396657,31.5871615617973,9.29455281534503e-12,4.57756726155743e-09,17.6010720004028
"ZC3H8",-3.54750449796927,13.2498917473271,-30.6617388716676,1.26648496746492e-11,5.34637582694119e-09,17.31098990954
"SUB1",2.38197011970575,13.7326867074934,29.1559827415915,2.13779307975779e-11,7.89647318835532e-09,16.8147919948618
"TNNC1",5.00899484565723,17.1849464049225,26.0811690388805,6.79544723060959e-11,2.23117184071682e-08,15.6969614534587
"DPYSL3",1.90091321225968,13.621758675231,23.1063281798972,2.37802219693495e-10,7.02705559194277e-08,14.4570723102324
"TNNT3",-3.87458793820442,19.3588002394991,-22.3188642341672,3.40064484340518e-10,9.13536864751118e-08,14.0982054210043
"TNNI1",5.41066973797347,18.6127792471296,21.4107111362777,5.21674673896657e-10,1.28462388447052e-07,13.6663941518269
"MYH2",-6.36000360573179,19.5012959549163,-21.2137311459814,5.73727347007236e-10,1.30412639262029e-07,13.5700645517159
"PDLIM1",2.32611702184562,13.6209156095919,21.0127621610546,6.32744331025907e-10,1.33554249870111e-07,13.470767893879
"MYL3",5.28158010677193,19.8006563130381,20.6370848106872,7.61678437555893e-10,1.50050652198511e-07,13.282336277873
"MYL2",4.41519703026026,19.2924164829994,19.8317230137845,1.14621063615845e-09,2.03304978379626e-07,12.8655326228203
"MPO",2.4044973439616,13.6100733148467,19.7926945631036,1.16960562857991e-09,2.03304978379626e-07,12.8448727460754
"KIF1C",-3.78573069070598,13.6852056405335,-19.3692483275257,1.45988407562986e-09,2.39664302415902e-07,12.6178746264205
"TNNI2",-5.06644034457348,16.9463569263171,-18.7526363022729,2.03307520618865e-09,3.02001482511639e-07,12.2776996029765
"MYOZ2",3.09816968372916,14.6321887787242,18.7428104228186,2.04400326573021e-09,3.02001482511639e-07,12.2721834386919
"FASTKD5",-3.18187435088045,14.4227053290601,-18.5327166025773,2.29371531360833e-09,3.22758511986316e-07,12.153503904006
"USP28",-4.22364484064912,13.6800939128206,-16.7395429187469,6.47089559077382e-09,8.69158930488029e-07,11.0796032568093
"TPM1",-0.883688207208106,20.0741598628966,-16.3730718810659,8.10136820252236e-09,1.04084969732407e-06,10.845614166414
"MYL6B",3.74158578482323,15.2807071794577,16.2617542414509,8.68172719529714e-09,1.06893766092096e-06,10.7734866652211
"ATP2A1",-1.72943055120764,19.0188675338622,-15.5642270996545,1.35317042122828e-08,1.59944743789183e-06,10.3099004880503
"OXCT1",1.37536115986903,10.3320697826666,15.0594512636839,1.88747352949065e-08,2.14518626140188e-06,9.96130967209756
"PRR33",-1.14294226046198,13.1509778269687,-14.6198372456733,2.54346385888865e-08,2.78367989000591e-06,9.64819956593718
"PFKM",-1.20676644086707,18.0933060236999,-13.9192381512888,4.16310872281588e-08,4.39356652711462e-06,9.12972444805132
"PHKB",-1.13751930148701,14.0333334242373,-13.6558876061907,5.03954189176295e-08,5.13511941039984e-06,8.92830094434087
"ENG",-3.64564457584597,13.6443125162859,-13.5988898823332,5.25459525643685e-08,5.1757763275903e-06,8.88421748669301
"C8A",-1.79804380602343,12.5210211842717,-13.5531807906919,5.43428938811262e-08,5.1801048844751e-06,8.84873744181493
"PRPS1",-1.16194095851984,13.3930237664131,-13.4539478451155,5.84789734895246e-08,5.40016770817329e-06,8.77131766751008
"MYL1",-1.30242938482148,21.2685298893367,-13.41087343363,6.03801036727328e-08,5.40676382887653e-06,8.73754270802556
"YIPF3",-1.08072344766858,12.1590269989105,-13.0662026679513,7.82593538773904e-08,6.80165855022614e-06,8.46352493163536
"ACTA1",-0.526284311253388,22.1801449370896,-12.7780461208229,9.76712100759491e-08,8.24624073641227e-06,8.22916545672977
"MYLPF",-4.70108372250382,18.1091493707364,-12.4710128789551,1.24293196107976e-07,1.02023998471963e-05,7.97396425344747
"PGM5",1.00898605891195,12.9196324391858,12.3975109078026,1.31778793212785e-07,1.0524495511994e-05,7.91200692745755
"ARHGAP5",-1.14847062691775,12.6029128474456,-11.9475269785067,1.89796915935269e-07,1.47289779684124e-05,7.52516908861629
"PFKFB2",1.49747711463743,11.5558086364738,11.9126313754652,1.95341157907944e-07,1.47289779684124e-05,7.49461652944323
"PHKA1",-1.0362255360712,14.4137980175039,-11.8879009898994,1.99377028337224e-07,1.47289779684124e-05,7.47291472490808
"SNRPA1",1.44269336477573,10.4477167282836,11.6859139781293,2.35951963587675e-07,1.66914236598621e-05,7.29411496155798
"CKB",1.77398586892707,15.8942056004326,11.679442944131,2.37238508871136e-07,1.66914236598621e-05,7.28834069119334
"MYH6",1.42168601179555,16.2101390044972,11.597028557751,2.54309131990504e-07,1.74763601170218e-05,7.2145468057833
"GPD1",-1.05637376936543,17.0359580978471,-11.5488543479771,2.64903463090831e-07,1.75009611125337e-05,7.1711926793493
"TECR",-0.689477690950707,13.8860351654973,-11.5412207809894,2.66625867705011e-07,1.75009611125337e-05,7.16430797784281
