ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,foldEnrich
BP,GO:0010257,NADH dehydrogenase complex assembly,24/240,45/2705,1.3238563499645923e-14,1.4430034214614056e-11,1.4367325229615735e-11,NDUFB8/NDUFA6/NDUFB11/NDUFA8/NDUFA12/NDUFS5/BCS1L/NDUFAF7/NDUFAB1/NDUFA2/NDUFS1/NDUFB3/NDUFA13/NDUFC2/NUBPL/NDUFS2/NDUFS8/NDUFS7/NDUFB9/TIMM21/NDUFS3/NDUFS4/NDUFB1/TMEM126A,24,6.011111111111112
BP,GO:0032981,mitochondrial respiratory chain complex I assembly,24/240,45/2705,1.3238563499645923e-14,1.4430034214614056e-11,1.4367325229615735e-11,NDUFB8/NDUFA6/NDUFB11/NDUFA8/NDUFA12/NDUFS5/BCS1L/NDUFAF7/NDUFAB1/NDUFA2/NDUFS1/NDUFB3/NDUFA13/NDUFC2/NUBPL/NDUFS2/NDUFS8/NDUFS7/NDUFB9/TIMM21/NDUFS3/NDUFS4/NDUFB1/TMEM126A,24,6.011111111111112
BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,21/240,41/2705,1.8874106137658807e-12,1.3715183793365398e-9,1.3655581352930687e-9,NDUFB8/NDUFA6/NDUFB11/NDUFA8/NDUFA12/NDUFS5/NDUFAB1/NDUFA2/NDUFA7/NDUFS1/NDUFB3/NDUFA13/NDUFC2/NDUFV1/NDUFS2/NDUFS8/NDUFS7/NDUFB9/NDUFS3/NDUFS4/NDUFB1,21,5.772865853658536
BP,GO:0022900,electron transport chain,32/240,96/2705,5.6204483155601375e-12,2.042096221320183e-9,2.033221829242983e-9,ME2/NDUFB8/ALDH4A1/NDUFA4/COX7A2/NDUFA6/ME1/POR/NDUFA8/NDUFA12/COX5A/NDUFS5/AKR7A2/NDUFAB1/NDUFA2/NDUFA7/NDUFS1/NDUFB3/GHITM/NDUFC2/COX5B/NDUFV1/NDUFS2/NDUFS8/NDUFS7/NDUFB9/NDUFS3/NDUFS4/SOD2/NDUFB1/COX7C/FDX1,32,3.7569444444444446
BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",19/240,38/2705,3.968004782147489e-11,1.2357500607259324e-8,1.2303798286899432e-8,NDUFB8/NDUFA4/NDUFA6/NDUFA8/NDUFS5/NDUFAB1/NDUFA2/NDUFA7/NDUFS1/NDUFB3/NDUFC2/NDUFV1/NDUFS2/NDUFS8/NDUFS7/NDUFB9/NDUFS3/NDUFS4/NDUFB1,19,5.635416666666666
BP,GO:0007005,mitochondrion organization,45/240,220/2705,2.053483556181772e-8,2.2382970762381312e-6,2.2285700488667446e-6,LETM1/NDUFB8/TIMM23/GABARAPL2/COX7A2/NDUFA6/NDUFB11/SLIRP/UQCC2/NDUFA8/NDUFA12/NDUFS5/BCS1L/NDUFAF7/DNM1L/PPP2CB/NDUFAB1/NDUFA2/NDUFS1/NDUFB3/NDUFA13/GHITM/NDUFC2/FUNDC2/MTCH2/SLC25A5/NUBPL/TIMM9/NDUFS2/HSD17B10/MARCKS/NDUFS8/VDAC2/NDUFS7/TIMM50/NDUFB9/TIMM21/UQCC1/NDUFS3/OPA1/NDUFS4/SOD2/NDUFB1/TMEM126A/TIMM13,45,2.305397727272727
BP,GO:0032543,mitochondrial translation,21/240,70/2705,2.541304247997692e-7,2.6381158383976043e-5,2.6266513079555095e-5,MRPL15/MRPS23/MRPS22/UQCC2/MRPS21/MRPS9/MRPL12/MRPS17/TUFM/NDUFA7/LRPPRC/MRPL38/MRPS27/MRPS11/MRPS34/YARS2/MRPL49/MRPS33/TSFM/MRPS14/MRPS28,21,3.3812499999999996
BP,GO:0140053,mitochondrial gene expression,22/240,81/2705,8.906413824946076e-7,8.441731364514107e-5,8.405045907111583e-5,MRPL15/MRPS23/MRPS22/UQCC2/MRPS21/MRPS9/MRPL12/MRPS17/TUFM/NDUFA7/LRPPRC/MRPL38/MRPS27/MRPS11/MRPS34/HSD17B10/YARS2/MRPL49/MRPS33/TSFM/MRPS14/MRPS28,22,3.0612139917695473
BP,GO:0046034,ATP metabolic process,24/240,105/2705,8.020460664140138e-6,6.9938416991302e-4,6.963448374508196e-4,MYH6/NDUFB8/NDUFA6/NDUFB11/NDUFA8/NDUFA12/NDUFS5/DNM1L/NDUFAB1/NDUFA2/NDUFA7/NDUFS1/NDUFB3/NDUFA13/NDUFC2/NDUFV1/NDUFS2/NDUFS8/NDUFS7/NDUFB9/NDUFS3/NDUFS4/NDUFB1/MYH3,24,2.5761904761904764
BP,GO:0046390,ribose phosphate biosynthetic process,23/240,105/2705,2.6401656819524493e-5,0.0016444460533303828,0.001637299740206301,NDUFB8/NDUFA6/NDUFB11/NDUFA8/NDUFA12/NDUFS5/NDUFAB1/NDUFA2/NDUFA7/NDUFS1/NDUFB3/NDUFA13/NDUFC2/NDUFV1/NDUFS2/HSD17B12/NDUFS8/NDUFS7/NDUFB9/AMPD3/NDUFS3/NDUFS4/NDUFB1,23,2.4688492063492067
