ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,foldEnrich
BP,GO:0002181,cytoplasmic translation,25/418,118/6364,1.1697528804714146e-7,4.05202397795298e-4,3.6988817399327684e-4,YBX1/RPLP2/FAU/YBX3/RPL41/RPLP0/RPS29/RPL4/RPS2/RPL23A/RPL27/RPL38/RPS16/RPS19/RPL31/RPS21/RPL32/RPL14/RPL29/CPEB2/RACK1/RPS18/RPS10/RPL30/RPL7A,25,3.2256102505879487
BP,GO:0043269,regulation of monoatomic ion transport,33/418,206/6364,1.2176318743694e-6,0.002108938406407801,0.0019251400792661465,PARK7/LRRC38/NKAIN1/AHCYL1/ANK3/TMEM109/SLN/THY1/TMBIM6/CD63/NOS1/HSPA2/CALM1/NEDD4/VAMP2/DHRS7C/KCNJ12/SCN4A/NEDD4L/BCL2/CACNG6/KCNS3/CALM2/BIN1/SCN1A/CAV3/RHOA/HES1/EGF/KCNQ5/CNKSR3/WNK2/FGF13,33,2.4389371486969846
BP,GO:0034765,regulation of monoatomic ion transmembrane transport,28/418,164/6364,2.230215485126106e-6,0.002575155480158944,0.0023507253744978326,PARK7/LRRC38/ANK3/TMEM109/SLN/THY1/TMBIM6/CD63/NOS1/HSPA2/CALM1/NEDD4/VAMP2/DHRS7C/KCNJ12/SCN4A/NEDD4L/BCL2/CACNG6/KCNS3/CALM2/BIN1/SCN1A/CAV3/KCNQ5/CNKSR3/WNK2/FGF13,28,2.599369821449411
BP,GO:0071805,potassium ion transmembrane transport,15/418,60/6364,4.884810696385557e-6,0.004230246063069892,0.003861571403142688,LRRC38/KCNN3/KCNT2/ANK3/CD63/NEDD4/VAMP2/KCNJ12/NEDD4L/KCNS3/BIN1/SLC24A3/CAV3/SLC12A2/KCNQ5,15,3.80622009569378
BP,GO:0006813,potassium ion transport,16/418,71/6364,1.0063987683596534e-5,0.006972330667195679,0.006364677684531366,LRRC38/KCNN3/KCNT2/ANK3/CD63/NOS1/NEDD4/VAMP2/KCNJ12/NEDD4L/KCNS3/BIN1/SLC24A3/CAV3/SLC12A2/KCNQ5,16,3.4309589594986183
BP,GO:0048729,tissue morphogenesis,32/418,241/6364,9.068457024871991e-5,0.03160784684799289,0.028853157873881933,CTNNBIP1/PDPN/AHDC1/LMO4/DEAF1/LGR4/PAK1/HMGA2/MDM2/MYF6/GPC6/ASB2/RGMA/IRX3/BCL2/RAB10/NPHP1/FZD7/ERBB4/IGFBP5/CAV3/RHOA/ROBO2/HES1/SLIT2/GRSF1/EGF/GDNF/PDGFA/EGFR/CSMD1/AR,32,2.021560880700431
BP,GO:0042325,regulation of phosphorylation,54/418,494/6364,1.0270715692219673e-4,0.03234341741622632,0.02952462195160565,PARK7/LMO4/HAX1/CACUL1/HRAS/OSBP/TRPT1/PAK1/THY1/HMGA2/NOS1/HSPA2/CALM1/MLST8/AKTIP/ARL2BP/STAT3/HEXIM1/HEXIM2/BCL2/MAPRE3/CALM2/MOB1A/NCK2/FZD7/ERBB4/IRS1/EP300/CAV3/RAF1/SH3BP5/RHOA/DUSP7/PIK3CB/TNIK/HES1/TNK2/SLIT2/EGF/EGR1/CCNG1/RACK1/KLHL31/CNKSR3/PDGFA/EGFR/HSPB1/IKBKB/DEPTOR/TRIB1/SEMA4D/PFKFB1/AR/OGT,54,1.6642581794936366
BP,GO:0030041,actin filament polymerization,15/418,78/6364,1.3421595212489748e-4,0.032524884685956046,0.029690273974903352,HAX1/LMOD1/SPTB/MLST8/PSTPIP2/NCK2/BIN1/NCKAP1/ARPC2/RHOA/SLIT2/DAAM2/TMOD1/ARHGAP6/DIAPH2,15,2.9278616120721384
BP,GO:0034220,monoatomic ion transmembrane transport,39/418,327/6364,1.6959459493969754e-4,0.036717229804444515,0.033517247578871805,PARK7/LRRC38/KCNN3/KCNT2/ANK3/TMEM109/UCP2/UCP3/GRIA4/SLN/THY1/TMBIM6/CD63/NOS1/HSPA2/CALM1/NEDD4/VAMP2/DHRS7C/KCNJ12/SCN4A/NEDD4L/BCL2/CACNG6/KCNS3/CALM2/PCYOX1/BIN1/SCN1A/CHRND/SLC24A3/CAV3/SLC12A2/KCNQ5/CNKSR3/SLC25A37/WWP1/WNK2/FGF13,39,1.8158114217988675
BP,GO:0032870,cellular response to hormone stimulus,37/418,308/6364,2.1597114807849586e-4,0.03740620284719548,0.03414617520146325,PARK7/AHCYL1/RXRG/HRAS/PDE3B/MYOD1/SLC29A2/UCP2/UCP3/PAK1/NR4A1/CALCOCO1/FOXO1/SOS2/MYO5A/NEDD4/VAMP2/SREBF1/STAT3/ZFP36/LPIN1/RAB10/IRS1/NCOA3/EP300/RAF1/RHOA/ROBO2/CPEB2/SLIT2/EIF4E/SLIT3/SGK1/HDAC9/RXRA/AR/OGT,37,1.8289629031255825
