ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,foldEnrich
BP,GO:0072359,circulatory system development,74/541,476/6364,1.0996173320970082e-7,0.00036103433014539853,3.3082724955040986e-4,HSPB7/HSPG2/ACADM/S100A1/ADAM15/PRRX1/MDM4/PROX1/TGFB2/EGLN1/ACTN2/NRP1/NRAP/CSRP3/VEGFB/EFEMP2/AMOTL1/ROBO4/ETS1/PTPRB/BTG1/IGF1/FLT1/COL4A2/AKAP6/CLEC14A/SIX1/ZFP36L1/FLRT2/TJP1/ACTC1/CTSH/ALPK3/MYLK3/KDM6B/TCAP/PECAM1/ACTG1/ALPK2/STK11/KLF2/HIF3A/RASIP1/ROCK2/SOS1/EPAS1/NEB/XIRP2/CFLAR/NCL/RAMP1/ID1/CLDN5/MB/PPARA/HEG1/CCDC39/CPE/THBS4/MEF2C/PAM/MATR3/PDGFRB/SGCD/NOTCH4/VEGFA/ADGRF5/PLN/RSPO3/SASH1/QKI/HOXA7/HIPK2/PDLIM2,74,1.8287640379626897
BP,GO:0048646,anatomical structure formation involved in morphogenesis,72/541,466/6364,2.1507173250200206e-7,0.00036103433014539853,3.3082724955040986e-4,MFN2/HSPG2/PHACTR4/SSBP3/S100A1/ADAM15/PROX1/TGFB2/OBSCN/EGLN1/ACTN2/NRP1/LDB1/SH3PXD2A/NRAP/CSRP3/VEGFB/EHD1/AMOTL1/ROBO4/ETS1/PTPRB/BTG1/FLT1/COL4A2/CFL2/CLEC14A/SIX1/TJP1/ACTC1/HERC1/CTSH/MYLK3/KDM6B/TCAP/ACTG1/PKN1/KLF2/HIF3A/RASIP1/FUZ/RDH13/ROCK2/EPAS1/NEB/SLC40A1/CFLAR/NCL/RAMP1/GPC1/TCF15/ID1/MYL9/MAFB/SDC4/COL6A1/CLDN5/PPARA/LMOD3/THBS4/MEF2C/MATR3/PDGFRB/NOTCH4/VEGFA/PLN/RSPO3/SASH1/HOXA7/FLNC/HIPK2/NFIB,72,1.8175212013994113
BP,GO:0048514,blood vessel morphogenesis,45/541,242/6364,2.9217776920318194e-7,0.00036103433014539853,3.3082724955040986e-4,HSPG2/S100A1/ADAM15/PRRX1/PROX1/TGFB2/EGLN1/NRP1/VEGFB/EFEMP2/AMOTL1/ROBO4/ETS1/PTPRB/BTG1/FLT1/COL4A2/CLEC14A/SIX1/ZFP36L1/TJP1/CTSH/ACTG1/KLF2/HIF3A/RASIP1/ROCK2/SOS1/EPAS1/NCL/RAMP1/ID1/CLDN5/HEG1/THBS4/PDGFRB/SGCD/NOTCH4/VEGFA/ADGRF5/RSPO3/SASH1/QKI/HOXA7/HIPK2,45,2.187409297138754
BP,GO:0048871,multicellular organismal-level homeostasis,52/541,308/6364,8.17749743749927e-7,5.303171641362729e-4,4.859464991318708e-4,MFN2/ACOT11/LAMC1/ESRRG/LDB1/GPAM/ETS1/LPCAT3/TNS2/ZFP36L1/TJP1/B2M/CTSH/KDM6B/MLLT6/PECAM1/ACTG1/STK11/PRDX2/PKN1/KLF2/SLC27A1/TMEM18/SOS1/EPAS1/KDM3A/SLC40A1/CFLAR/ID1/TP53INP2/MAFB/GNAS/CLDN5/MB/LYAR/APBB2/EMCN/HMGB2/ACSL1/MEF2C/ARRDC3/SLC22A5/CD74/VEGFA/ADGRF5/MYCT1/MLXIPL/ACHE/HIPK2/TMEM64/HSF1/JAK2,52,1.9860287586720118
BP,GO:0030029,actin filament-based process,61/541,385/6364,8.433212079646893e-7,5.303171641362729e-4,4.859464991318708e-4,PHACTR4/FNBP1L/PROX1/ENAH/OBSCN/ACTN2/FAM171A1/SVIL/NRP1/PRKG1/SORBS1/NRAP/CSRP3/SMTNL1/AMOTL1/SCN4B/ARHGDIB/HSP90B1/CFL2/EVL/CYFIP1/TJP1/ACTC1/MYLK3/MYO18A/CORO6/TCAP/ACTG1/ARHGDIA/BST2/TRPM4/MYH14/ROCK2/RHOQ/TMSB10/NEB/XIRP2/CFLAR/ID1/EPB41L1/MYL9/SDC4/PARVB/TWF2/NISCH/LMOD3/CAMK2D/SYNPO2/PAM/PDGFRB/SYNPO/SGCD/DBN1/MYO6/PLN/EPB41L2/WIPF3/FLNC/PDLIM2/JAK2/GSN,61,1.8638116042921957
BP,GO:0003013,circulatory system process,43/541,235/6364,8.58349874512446e-7,5.303171641362729e-4,4.859464991318708e-4,HSPB7/PPCS/GCLM/SLC16A1/S100A1/TGFB2/PRKG1/GSTO1/CSRP3/SMTNL1/VEGFB/SCN4B/WNK1/PDE3A/SPX/SLC38A2/ATP2B1/TJP1/ACTC1/MYLK3/RASL10B/TCAP/KLF2/SLC27A1/DMPK/TRPM4/ROCK2/EPAS1/TBC1D8/CLDN5/PPARA/SLC6A6/THRB/HEG1/ABCC5/CAMK2D/ITGA1/SLC22A5/SGCD/VEGFA/PLN/JAK2/GSN,43,2.1524521178275062
BP,GO:0031032,actomyosin structure organization,27/541,118/6364,1.300534352937477e-6,6.026351057924034e-4,5.522137311748998e-4,PROX1/OBSCN/ACTN2/FAM171A1/NRP1/SORBS1/NRAP/CSRP3/CFL2/EVL/TJP1/ACTC1/MYLK3/MYO18A/TCAP/ACTG1/MYH14/ROCK2/NEB/CFLAR/EPB41L1/MYL9/SDC4/LMOD3/PDGFRB/EPB41L2/FLNC,27,2.691625677496162
BP,GO:0055013,cardiac muscle cell development,16/541,52/6364,3.4281996720313717e-6,0.001064551886659648,9.754827817218302e-4,PROX1/ACTN2/NRAP/CSRP3/IGF1/AKAP6/ACTC1/ALPK3/MYLK3/TCAP/ALPK2/NEB/PPARA/PDGFRB/SGCD/VEGFA,16,3.6195080335560927
BP,GO:0055007,cardiac muscle cell differentiation,19/541,70/6364,3.446081100597727e-6,0.001064551886659648,9.754827817218302e-4,ACADM/PROX1/ACTN2/NRAP/CSRP3/IGF1/AKAP6/ACTC1/ALPK3/MYLK3/KDM6B/TCAP/ALPK2/NEB/PPARA/MEF2C/PDGFRB/SGCD/VEGFA,19,3.192923158172696
BP,GO:0030239,myofibril assembly,16/541,53/6364,4.531152601545169e-6,0.0011997844781377102,0.0010994007101643806,PROX1/OBSCN/ACTN2/NRAP/CSRP3/CFL2/ACTC1/MYLK3/TCAP/ACTG1/NEB/CFLAR/MYL9/LMOD3/PDGFRB/FLNC,16,3.551215429149374
