fiberID,seurat_clusters
FOR9_fibNumberE6,0
FOR9_fibNumberE5,1
FOR9_fibNumberE4,1
FOR9_fibNumberE3,3
FOR9_fibNumberE1,2
FOR9_fibNumber99,5
FOR9_fibNumber98,2
FOR9_fibNumber97,2
FOR9_fibNumber96,0
FOR9_fibNumber95,3
FOR9_fibNumber94,0
FOR9_fibNumber93,0
FOR9_fibNumber92,0
FOR9_fibNumber91,0
FOR9_fibNumber90,0
FOR9_fibNumber9,0
FOR9_fibNumber89,0
FOR9_fibNumber88,0
FOR9_fibNumber87,0
FOR9_fibNumber86,0
FOR9_fibNumber85,1
FOR9_fibNumber84,5
FOR9_fibNumber83,0
FOR9_fibNumber82,5
FOR9_fibNumber81,0
FOR9_fibNumber80,0
FOR9_fibNumber8,3
FOR9_fibNumber79,1
FOR9_fibNumber78,2
FOR9_fibNumber77,1
FOR9_fibNumber76,0
FOR9_fibNumber75,0
FOR9_fibNumber74,0
FOR9_fibNumber73,1
FOR9_fibNumber72,1
FOR9_fibNumber71,0
FOR9_fibNumber70,0
FOR9_fibNumber7,1
FOR9_fibNumber69,2
FOR9_fibNumber68,1
FOR9_fibNumber67,1
FOR9_fibNumber65,0
FOR9_fibNumber64,3
FOR9_fibNumber63,1
FOR9_fibNumber62,2
FOR9_fibNumber61,0
FOR9_fibNumber60,3
FOR9_fibNumber6,1
FOR9_fibNumber59,1
FOR9_fibNumber58,4
FOR9_fibNumber57,2
FOR9_fibNumber56,0
FOR9_fibNumber55,0
FOR9_fibNumber54,0
FOR9_fibNumber53,2
FOR9_fibNumber52,1
FOR9_fibNumber51,0
FOR9_fibNumber50,4
FOR9_fibNumber5,2
FOR9_fibNumber49,0
FOR9_fibNumber48,2
FOR9_fibNumber47,0
FOR9_fibNumber46,0
FOR9_fibNumber45,0
FOR9_fibNumber44,1
FOR9_fibNumber43,0
FOR9_fibNumber42,1
FOR9_fibNumber41,2
FOR9_fibNumber40,4
FOR9_fibNumber4,4
FOR9_fibNumber39,0
FOR9_fibNumber38,4
FOR9_fibNumber37,0
FOR9_fibNumber36,0
FOR9_fibNumber35,4
FOR9_fibNumber34,0
FOR9_fibNumber33,1
FOR9_fibNumber32,0
FOR9_fibNumber31,0
FOR9_fibNumber30,0
FOR9_fibNumber3,2
FOR9_fibNumber29,2
FOR9_fibNumber28,2
FOR9_fibNumber27,1
FOR9_fibNumber26,0
FOR9_fibNumber25,0
FOR9_fibNumber24,0
FOR9_fibNumber23,0
FOR9_fibNumber22,0
FOR9_fibNumber21,4
FOR9_fibNumber200,0
FOR9_fibNumber20,0
FOR9_fibNumber2,0
FOR9_fibNumber199,0
FOR9_fibNumber198,5
FOR9_fibNumber197,0
FOR9_fibNumber196,3
FOR9_fibNumber195,1
FOR9_fibNumber194,0
FOR9_fibNumber193,0
FOR9_fibNumber192,1
FOR9_fibNumber191,0
FOR9_fibNumber190,0
FOR9_fibNumber19,0
FOR9_fibNumber189,0
FOR9_fibNumber188,2
FOR9_fibNumber187,3
FOR9_fibNumber186,3
FOR9_fibNumber185,5
FOR9_fibNumber184,0
FOR9_fibNumber183,2
FOR9_fibNumber182,3
FOR9_fibNumber181,2
FOR9_fibNumber180,1
FOR9_fibNumber18,1
FOR9_fibNumber179,3
FOR9_fibNumber178,0
FOR9_fibNumber177,0
FOR9_fibNumber176,0
FOR9_fibNumber175,0
FOR9_fibNumber174,3
FOR9_fibNumber173,2
FOR9_fibNumber172,0
FOR9_fibNumber171,2
FOR9_fibNumber170,0
FOR9_fibNumber17,2
FOR9_fibNumber169,0
FOR9_fibNumber168,1
FOR9_fibNumber167,2
FOR9_fibNumber166,2
FOR9_fibNumber165,1
FOR9_fibNumber164,2
FOR9_fibNumber163,0
FOR9_fibNumber162,3
FOR9_fibNumber161,0
FOR9_fibNumber160,5
FOR9_fibNumber16,0
FOR9_fibNumber159,1
FOR9_fibNumber158,4
FOR9_fibNumber157,1
FOR9_fibNumber156,2
FOR9_fibNumber155,2
FOR9_fibNumber154,2
FOR9_fibNumber153,2
FOR9_fibNumber152,5
FOR9_fibNumber151,5
FOR9_fibNumber150,5
FOR9_fibNumber15,3
FOR9_fibNumber149,2
FOR9_fibNumber148,0
FOR9_fibNumber147,2
FOR9_fibNumber146,0
FOR9_fibNumber145,0
FOR9_fibNumber144,0
FOR9_fibNumber143,2
FOR9_fibNumber142,1
FOR9_fibNumber141,0
FOR9_fibNumber140,3
FOR9_fibNumber14,1
FOR9_fibNumber139,1
FOR9_fibNumber138,0
FOR9_fibNumber137,0
FOR9_fibNumber136,0
FOR9_fibNumber135,1
FOR9_fibNumber134,3
FOR9_fibNumber133,2
FOR9_fibNumber132,5
FOR9_fibNumber131,0
FOR9_fibNumber130,2
FOR9_fibNumber13,0
FOR9_fibNumber129,0
FOR9_fibNumber128,3
FOR9_fibNumber127,0
FOR9_fibNumber126,0
FOR9_fibNumber125,1
FOR9_fibNumber124,2
FOR9_fibNumber123,3
FOR9_fibNumber122,0
FOR9_fibNumber121,3
FOR9_fibNumber120,0
FOR9_fibNumber12,0
FOR9_fibNumber119,0
FOR9_fibNumber118,5
FOR9_fibNumber117,2
FOR9_fibNumber116,0
FOR9_fibNumber115,0
FOR9_fibNumber114,0
FOR9_fibNumber113,1
FOR9_fibNumber112,0
FOR9_fibNumber111,0
FOR9_fibNumber110,5
FOR9_fibNumber11,0
FOR9_fibNumber109,0
FOR9_fibNumber108,0
FOR9_fibNumber107,0
FOR9_fibNumber106,4
FOR9_fibNumber105,0
FOR9_fibNumber104,2
FOR9_fibNumber103,5
FOR9_fibNumber102,4
FOR9_fibNumber101,1
FOR9_fibNumber100,0
FOR9_fibNumber10,3
FOR9_fibNumber1,1
FOR4_fibNumberE4,0
FOR4_fibNumberE2,3
FOR4_fibNumberE1,3
FOR4_fibNumber99,3
FOR4_fibNumber98,1
FOR4_fibNumber97,4
FOR4_fibNumber96,1
FOR4_fibNumber95,1
FOR4_fibNumber94,1
FOR4_fibNumber93,1
FOR4_fibNumber92,0
FOR4_fibNumber91,2
FOR4_fibNumber90,1
FOR4_fibNumber9,0
FOR4_fibNumber89,3
FOR4_fibNumber88,0
FOR4_fibNumber87,1
FOR4_fibNumber86,5
FOR4_fibNumber85,1
FOR4_fibNumber84,0
FOR4_fibNumber83,0
FOR4_fibNumber82,0
FOR4_fibNumber81,0
FOR4_fibNumber80,0
FOR4_fibNumber8,4
FOR4_fibNumber79,1
