"","order_7","order_2","order_1","fiber_ID","MYHs","values"
"1",448,375,345,"FOR9_fibNumberE6","MYH7",26.3958939531262
"2",448,375,345,"FOR9_fibNumberE6","MYH2",71.5304896940887
"3",448,375,345,"FOR9_fibNumberE6","MYH1",2.07361635278509
"4",81,883,899,"FOR9_fibNumberE5","MYH7",99.3595836070419
"5",81,883,899,"FOR9_fibNumberE5","MYH2",0.504356974948011
"6",81,883,899,"FOR9_fibNumberE5","MYH1",0.13605941801014
"7",97,881,822,"FOR9_fibNumberE4","MYH7",99.2911435677738
"8",97,881,822,"FOR9_fibNumberE4","MYH2",0.506486433367501
"9",97,881,822,"FOR9_fibNumberE4","MYH1",0.202369998858677
"10",104,870,811,"FOR9_fibNumberE3","MYH7",99.2438289821732
"11",104,870,811,"FOR9_fibNumberE3","MYH2",0.546823538576489
"12",104,870,811,"FOR9_fibNumberE3","MYH1",0.209347479250253
"13",550,253,407,"FOR9_fibNumberE1","MYH7",19.610619722121
"14",550,253,407,"FOR9_fibNumberE1","MYH2",78.9199805140349
"15",550,253,407,"FOR9_fibNumberE1","MYH1",1.46939976384405
"16",597,213,499,"FOR9_fibNumber99","MYH7",17.7240131910516
"17",597,213,499,"FOR9_fibNumber99","MYH2",81.3092142078529
"18",597,213,499,"FOR9_fibNumber99","MYH1",0.96677260109551
"19",631,188,426,"FOR9_fibNumber98","MYH7",16.3426672683112
"20",631,188,426,"FOR9_fibNumber98","MYH2",82.2848067406752
"21",631,188,426,"FOR9_fibNumber98","MYH1",1.37252599101364
"22",422,394,550,"FOR9_fibNumber97","MYH7",29.674647132675
"23",422,394,550,"FOR9_fibNumber97","MYH2",69.5581599807124
"24",422,394,550,"FOR9_fibNumber97","MYH1",0.767192886612623
"25",617,282,254,"FOR9_fibNumber96","MYH7",16.982353666559
"26",617,282,254,"FOR9_fibNumber96","MYH2",77.5955490676486
"27",617,282,254,"FOR9_fibNumber96","MYH1",5.4220972657924
"28",154,934,586,"FOR9_fibNumber95","MYH7",98.9817365765411
"29",154,934,586,"FOR9_fibNumber95","MYH2",0.351357509343748
"30",154,934,586,"FOR9_fibNumber95","MYH1",0.666905914115164
"31",756,246,194,"FOR9_fibNumber94","MYH7",11.8339828051723
"32",756,246,194,"FOR9_fibNumber94","MYH2",79.1080262601306
"33",756,246,194,"FOR9_fibNumber94","MYH1",9.05799093469713
"34",444,369,476,"FOR9_fibNumber93","MYH7",26.7980384359322
"35",444,369,476,"FOR9_fibNumber93","MYH2",72.1052165656707
"36",444,369,476,"FOR9_fibNumber93","MYH1",1.09674499839715
"37",563,226,623,"FOR9_fibNumber92","MYH7",19.0730740309671
"38",563,226,623,"FOR9_fibNumber92","MYH2",80.3719202459481
"39",563,226,623,"FOR9_fibNumber92","MYH1",0.55500572308479
"40",613,468,128,"FOR9_fibNumber91","MYH7",17.0359987873996
"41",613,468,128,"FOR9_fibNumber91","MYH2",61.1484893787959
"42",613,468,128,"FOR9_fibNumber91","MYH1",21.8155118338046
"43",961,537,34,"FOR9_fibNumber90","MYH7",6.68649933777755
"44",961,537,34,"FOR9_fibNumber90","MYH2",50.9334276333157
"45",961,537,34,"FOR9_fibNumber90","MYH1",42.3800730289068
"46",471,381,283,"FOR9_fibNumber9","MYH7",24.5495397996262
"47",471,381,283,"FOR9_fibNumber9","MYH2",70.9745701936613
"48",471,381,283,"FOR9_fibNumber9","MYH1",4.4758900067125
"49",619,305,215,"FOR9_fibNumber89","MYH7",16.9140074359107
