"","Gene.name","ribosomal_clusters"
"1","APOD","ribosomal_cluster_3"
"2","RPLP1","ribosomal_cluster_3"
"3","RPLP0","ribosomal_cluster_2"
"4","RPS17","ribosomal_cluster_3"
"5","RPSA","ribosomal_cluster_1"
"6","RPS2","ribosomal_cluster_2"
"7","RPL35A","ribosomal_cluster_1"
"8","RPL7","ribosomal_cluster_3"
"9","RPL17","ribosomal_cluster_2"
"10","RPS3","ribosomal_cluster_2"
"11","RPS12","ribosomal_cluster_3"
"12","RPL13","ribosomal_cluster_3"
"13","RPL10","ribosomal_cluster_2"
"14","RPL12","ribosomal_cluster_1"
"15","RPL9","ribosomal_cluster_3"
"16","RPL22","ribosomal_cluster_1"
"17","RPL4","ribosomal_cluster_1"
"18","RPS19","ribosomal_cluster_2"
"19","RPL3","ribosomal_cluster_3"
"20","RPL13A","ribosomal_cluster_2"
"21","RPS27","ribosomal_cluster_3"
"22","RPL35","ribosomal_cluster_1"
"23","RPL27A","ribosomal_cluster_3"
"24","RPL5","ribosomal_cluster_3"
"25","RPL21","ribosomal_cluster_1"
"26","RPL28","ribosomal_cluster_3"
"27","RPS9","ribosomal_cluster_1"
"28","RPS5","ribosomal_cluster_3"
"29","RPS10","ribosomal_cluster_1"
"30","RPL29","ribosomal_cluster_3"
"31","RPL14","ribosomal_cluster_1"
"32","RPS20","ribosomal_cluster_2"
"33","RPS3A","ribosomal_cluster_2"
"34","RPL15","ribosomal_cluster_3"
"35","RPL27","ribosomal_cluster_3"
"36","RPL37A","ribosomal_cluster_3"
"37","RPS7","ribosomal_cluster_3"
"38","RPS8","ribosomal_cluster_2"
"39","RPS15A","ribosomal_cluster_2"
"40","RPS16","ribosomal_cluster_1"
"41","RPS14","ribosomal_cluster_3"
"42","RPS23","ribosomal_cluster_1"
"43","RPS18","ribosomal_cluster_2"
"44","RPS13","ribosomal_cluster_2"
"45","RPS11","ribosomal_cluster_3"
"46","RPL7A","ribosomal_cluster_1"
"47","RPS4X","ribosomal_cluster_1"
"48","RPL23A","ribosomal_cluster_3"
"49","RPS6","ribosomal_cluster_3"
"50","RPL23","ribosomal_cluster_2"
"51","RPS15","ribosomal_cluster_3"
"52","RPS24","ribosomal_cluster_3"
"53","RPS25","ribosomal_cluster_1"
"54","RPL30","ribosomal_cluster_3"
"55","RPL31","ribosomal_cluster_1"
"56","RPL10A","ribosomal_cluster_1"
"57","RPL32","ribosomal_cluster_3"
"58","RPL11","ribosomal_cluster_3"
"59","RPL8","ribosomal_cluster_1"
"60","RPS27A","ribosomal_cluster_2"
"61","RPL38","ribosomal_cluster_1"
"62","RPS21","ribosomal_cluster_3"
"63","RPL24","ribosomal_cluster_1"
"64","RPL19","ribosomal_cluster_1"
"65","RPL18A","ribosomal_cluster_1"
"66","RPL6","ribosomal_cluster_1"
"67","RPL18","ribosomal_cluster_2"
"68","RPL36","ribosomal_cluster_1"
