Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_1_S2-A1_1_9734.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_2_S2-A2_1_9735.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_3_S2-A3_1_9736.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_1_S2-A4_1_9737.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_2_S2-A5_1_9738.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_3_S2-A6_1_9739.d
A0A075B6H7	A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	5425.94	3445.69	3887.24	9473.99	5681.06	18709.9
A0A075B6P5	A0A075B6P5	KV228_HUMAN	IGKV2-28	Immunoglobulin kappa variable 2-28	3529.14					
A0A075B6S5	A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	2176.15	2172.46	1907.97	5300.83	5724.14	12749.1
A0A087WSY6	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	255.538		315.002			484.969
A0A0A0MRZ8	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	7944.66	1650.16	2329.68	12386.7	10921.8	11424.6
A0A0B4J1V2	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26					1173.92	1404.82
A0A0B4J2D5	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	57312.3	72183.1	46368.6	19037.7	45136.8	19815.4
A0A0C4DH25	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	1388.63					
A0A1B0GVR7	A0A1B0GVR7	F240C_HUMAN	FAM240C	Protein FAM240C			154.891			
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1192.4	1532.11	1168.15	1049.27	2270.25	2038.15
